Date,Open,High,Low,Close,Volume
2022-01-01 09:00:00,41.96,41.98,41.96,41.98,2407.4855
2022-01-01 09:15:00,41.97,42.2,41.97,42.2,77725.1819
2022-01-01 09:30:00,42.2,42.2,41.98,41.98,56079.1927
2022-01-01 09:45:00,41.99,41.99,41.98,41.98,17259.5988
2022-01-01 10:00:00,42.2,42.2,41.98,41.98,27403.0657
2022-01-01 10:45:00,42.2,42.2,42.2,42.2,15004.692
2022-01-01 11:30:00,42.2,42.2,42.2,42.2,62724.5897
2022-01-01 11:45:00,42.2,42.2,42.2,42.2,20.0
2022-01-01 12:00:00,42.2,42.2,41.97,42.2,26200.6719
2022-01-01 12:45:00,42.2,42.2,42.2,42.2,123.0
2022-01-01 13:30:00,42.2,42.2,41.81,41.81,17286.7754
2022-01-01 13:45:00,42.2,42.28,42.2,42.28,89976.0397
2022-01-01 14:00:00,42.28,42.32,42.28,42.32,142.5206
2022-01-01 14:15:00,42.0,42.21,41.81,42.21,17841.0897
2022-01-01 14:30:00,42.21,42.21,42.21,42.21,4161.6469
2022-01-01 14:45:00,42.0,42.0,42.0,42.0,3031.9262
2022-01-01 15:30:00,42.0,42.0,42.0,42.0,11266.5119
2022-01-01 15:45:00,42.0,42.0,42.0,42.0,1457.6904761904761
2022-01-01 16:30:00,41.99,42.41,41.81,42.41,28079.399223809523
2022-01-01 16:45:00,42.01,42.01,42.01,42.01,2109.0946
2022-01-01 17:00:00,42.01,42.41,42.01,42.41,263.1996
2022-01-01 17:45:00,42.41,42.41,42.41,42.41,250.8112
2022-01-01 18:00:00,42.41,42.41,42.41,42.41,2212.0558
2022-01-01 18:45:00,42.21,42.21,42.21,42.21,2212.0558
2022-01-01 19:00:00,42.21,42.21,41.99,41.99,41220.2049
2022-01-01 19:15:00,41.99,42.21,41.99,41.99,10837.876060388533
2022-01-01 19:30:00,41.99,41.99,41.99,41.99,24123.7298
2022-01-01 19:45:00,42.21,42.21,42.21,42.21,2500.0
2022-01-01 20:00:00,42.0,42.0,41.99,41.99,35787.983238095236
2022-01-01 20:15:00,41.99,41.99,41.99,41.99,2700.0
2022-01-01 20:30:00,41.99,41.99,41.96,41.96,4261.5989
2022-01-01 20:45:00,41.99,41.99,41.84,41.84,93845.029
2022-01-01 21:00:00,41.84,42.41,41.84,42.41,23699.205149422305
2022-01-01 21:15:00,42.41,42.41,42.41,42.41,30.0
2022-01-01 21:30:00,42.41,42.41,42.2,42.2,3787.5597
2022-01-01 21:45:00,42.2,42.2,42.2,42.2,322.8157
2022-01-01 22:00:00,42.42,42.42,42.42,42.42,13.0743
2022-01-01 22:15:00,42.2,42.2,42.0,42.2,3705.0832118483413
2022-01-01 23:00:00,42.2,42.2,42.2,42.2,236.96682464454977
2022-01-01 23:15:00,42.2,42.2,42.01,42.2,7674.3467
2022-01-01 23:30:00,42.2,42.41,42.02,42.41,15816.498766808218
2022-01-01 23:45:00,42.41,42.42,42.02,42.41,91282.80166195113
2022-01-02 00:00:00,42.41,42.42,42.2,42.41,15042.184
2022-01-02 00:15:00,42.2,42.2,42.2,42.2,0.4062
2022-01-02 00:30:00,42.01,42.01,41.87,41.87,63643.6259
2022-01-02 01:15:00,42.15,42.15,41.85,42.15,8281.9337
2022-01-02 02:00:00,41.69,41.96,41.69,41.96,108.0982
2022-01-02 02:45:00,41.96,41.96,41.96,41.96,211.9534
2022-01-02 03:00:00,41.89,41.89,41.89,41.89,23.872
