Date,Open,High,Low,Close,Volume
2023-01-01 09:45:00,9.887,9.887,9.857,9.857,40000.0
2023-01-01 10:00:00,9.884,9.884,9.884,9.884,46797.8558
2023-01-01 11:45:00,9.917,9.917,9.917,9.917,2923.3721
2023-01-01 13:00:00,9.96,9.96,9.96,9.96,51.0
2023-01-01 14:15:00,9.94,9.94,9.904,9.904,2347.1517
2023-01-01 22:45:00,9.992,9.992,9.982,9.982,31000.0
2023-01-02 00:15:00,10.01,10.01,10.01,10.01,14274.7518
2023-01-02 03:15:00,9.971,10.01,9.946,10.01,60000.0
2023-01-02 09:30:00,9.993,10.03,9.993,10.03,230000.0
2023-01-02 10:30:00,9.945,9.945,9.943,9.943,103164.4466
2023-01-02 11:45:00,10.17,10.24,10.17,10.17,345716.9829
2023-01-02 12:00:00,10.18,10.18,10.06,10.1,68358.3239
2023-01-02 12:15:00,10.1,10.14,10.1,10.14,123802.4011
2023-01-02 12:30:00,10.1,10.1,10.05,10.05,32113.3688
2023-01-02 12:45:00,10.09,10.1,10.07,10.07,110090.0
2023-01-02 13:00:00,10.16,10.16,10.16,10.16,24544.8583
2023-01-02 13:15:00,10.16,10.17,10.13,10.13,211091.8199
2023-01-02 13:30:00,10.17,10.2,10.15,10.15,85125.0598
2023-01-02 15:45:00,10.09,10.09,10.08,10.08,101347.9241
2023-01-02 16:00:00,10.1,10.1,10.1,10.1,1.349
2023-01-02 16:15:00,10.12,10.12,10.12,10.12,2658.0
2023-01-02 16:30:00,10.13,10.13,10.13,10.13,150000.0
2023-01-02 16:45:00,10.13,10.22,10.13,10.21,680735.4234
2023-01-02 17:30:00,10.18,10.22,10.18,10.22,10750.0264
2023-01-02 17:45:00,10.25,10.27,10.25,10.27,150.0
2023-01-02 19:15:00,10.22,10.22,10.22,10.22,14745.0036
2023-01-02 19:30:00,10.22,10.27,10.22,10.27,106803.0
2023-01-02 23:00:00,10.19,10.19,10.15,10.15,26752.0871
2023-01-02 23:15:00,10.15,10.18,10.15,10.18,96806.7306
2023-01-03 00:15:00,10.26,10.26,10.26,10.26,165.0
2023-01-03 00:30:00,10.27,10.27,10.19,10.19,144444.9246
2023-01-03 00:45:00,10.2,10.2,10.2,10.2,27813.6043
2023-01-03 05:15:00,10.23,10.24,10.23,10.24,53043.5525
2023-01-03 05:30:00,10.3,10.35,10.3,10.31,46901.7498
2023-01-03 06:15:00,10.24,10.25,10.22,10.25,118953.2502
2023-01-03 07:00:00,10.29,10.29,10.27,10.27,391473.9995
2023-01-03 07:15:00,10.3,10.31,10.3,10.31,16179.8183
2023-01-03 07:30:00,10.26,10.3,10.25,10.3,20050.0
2023-01-03 08:15:00,10.34,10.34,10.34,10.34,50.0
2023-01-03 09:00:00,10.23,10.26,10.23,10.26,29260.0
2023-01-03 09:15:00,10.24,10.28,10.24,10.28,134090.0
2023-01-03 09:30:00,10.32,10.32,10.32,10.32,50.0
2023-01-03 09:45:00,10.32,10.32,10.3,10.3,41514.9826
2023-01-03 10:00:00,10.34,10.34,10.32,10.33,42834.0895
2023-01-03 10:15:00,10.33,10.33,10.31,10.31,14622.5264
2023-01-03 10:30:00,10.3,10.3,10.27,10.27,31417.5
2023-01-03 10:45:00,10.28,10.28,10.28,10.28,2821.0117
2023-01-03 11:00:00,10.28,10.28,10.25,10.25,35034.8551
2023-01-03 11:15:00,10.23,10.24,10.22,10.24,180119.8813
2023-01-03 11:30:00,10.24,10.24,10.24,10.24,6660.0
2023-01-03 15:00:00,10.32,10.32,10.31,10.31,20000.0
2023-01-03 15:15:00,10.36,10.41,10.36,10.41,40000.0
2023-01-03 15:30:00,10.4,10.4,10.37,10.37,14120.5622
2023-01-03 15:45:00,10.4,10.41,10.36,10.36,31274.8845
2023-01-03 16:00:00,10.37,10.37,10.36,10.36,54450.5815
2023-01-03 17:00:00,10.41,10.41,10.41,10.41,50.0
2023-01-03 17:45:00,10.22,10.22,10.22,10.22,41275.8216
2023-01-03 18:00:00,10.28,10.3,10.27,10.3,69976.6877
2023-01-03 18:15:00,10.3,10.3,10.3,10.3,15557.3622
2023-01-03 18:30:00,10.3,10.31,10.27,10.28,221321.6886
2023-01-03 18:45:00,10.31,10.32,10.31,10.32,1063.5691
2023-01-03 21:30:00,10.23,10.23,10.2,10.2,24467.8307
2023-01-03 21:45:00,10.23,10.23,10.23,10.23,50.0
2023-01-03 22:00:00,10.22,10.22,10.22,10.22,20000.0
2023-01-03 22:45:00,10.18,10.21,10.18,10.21,171767.2889
2023-01-03 23:45:00,10.2,10.2,10.12,10.12,120453.397
2023-01-04 00:00:00,10.13,10.13,10.13,10.13,50.0
2023-01-04 00:15:00,10.11,10.12,10.11,10.12,74040.0603
2023-01-04 01:00:00,10.09,10.16,10.09,10.16,52917.9425
2023-01-04 02:00:00,10.02,10.04,10.02,10.04,63749.5462
2023-01-04 02:45:00,10.08,10.08,10.08,10.08,14240.6632
2023-01-04 07:15:00,10.05,10.05,10.04,10.04,4960.6731
2023-01-04 07:30:00,10.08,10.09,10.04,10.08,92975.3508
2023-01-04 09:00:00,10.1,10.1,10.1,10.1,50.0
2023-01-04 09:15:00,10.11,10.11,10.11,10.11,50.0
2023-01-04 09:30:00,10.12,10.12,10.12,10.12,50.0
2023-01-04 09:45:00,10.12,10.12,10.12,10.12,703.2103
2023-01-04 10:00:00,10.1,10.1,10.1,10.1,120388.9739
2023-01-04 10:15:00,10.1,10.18,10.1,10.18,49201.4787
2023-01-04 10:30:00,10.09,10.09,10.09,10.09,100855.9981
2023-01-04 10:45:00,10.09,10.09,10.09,10.09,18141.8412
2023-01-04 11:00:00,10.13,10.14,10.13,10.14,100.0
2023-01-04 11:15:00,10.14,10.14,10.1,10.1,27890.9867
2023-01-04 11:30:00,10.17,10.17,10.17,10.17,5000.0
2023-01-04 11:45:00,10.18,10.18,10.18,10.18,50.0
2023-01-04 12:30:00,10.25,10.25,10.25,10.25,9756.0976
2023-01-04 13:15:00,10.28,10.28,10.28,10.28,97895.4931
2023-01-04 13:30:00,10.28,10.28,10.28,10.28,13995.4022
2023-01-04 13:45:00,10.28,10.3,10.27,10.3,168636.8452
2023-01-04 14:00:00,10.3,10.36,10.28,10.36,38725.6116
2023-01-04 14:15:00,10.32,10.32,10.22,10.28,96127.2089
2023-01-04 16:00:00,10.31,10.32,10.31,10.32,1987.9845
2023-01-04 17:30:00,10.2,10.2,10.2,10.2,200000.0
2023-01-04 17:45:00,10.16,10.16,10.16,10.16,8000.0
2023-01-04 18:45:00,10.15,10.15,10.15,10.15,3646.5793
2023-01-04 21:00:00,10.25,10.25,10.25,10.25,973.1768
2023-01-04 21:15:00,10.25,10.25,10.25,10.25,1946.3536
2023-01-04 21:30:00,10.21,10.21,10.21,10.21,4520.4278
2023-01-04 22:45:00,10.23,10.23,10.23,10.23,975.0794
2023-01-05 00:30:00,10.19,10.19,10.19,10.19,50.0
2023-01-05 00:45:00,10.24,10.25,10.24,10.25,100.0
2023-01-05 01:00:00,10.26,10.26,10.26,10.26,50.0
2023-01-05 01:15:00,10.22,10.22,10.22,10.22,16000.0
2023-01-05 01:30:00,10.26,10.26,10.26,10.26,14112.6642
2023-01-05 02:45:00,10.24,10.24,10.24,10.24,49554.0139
2023-01-05 03:00:00,10.24,10.26,10.24,10.24,743517.5906
2023-01-05 03:15:00,10.24,10.24,10.24,10.24,20000.0
2023-01-05 04:15:00,10.26,10.29,10.24,10.24,121896.0273
2023-01-05 04:30:00,10.24,10.24,10.21,10.21,98016.8334
2023-01-05 05:30:00,10.37,10.51,10.37,10.42,45710.1564
2023-01-05 05:45:00,10.4,10.59,10.39,10.45,996566.0256
2023-01-05 06:00:00,10.51,10.51,10.35,10.42,856245.9232
2023-01-05 06:15:00,10.35,10.44,10.33,10.44,227767.4483
2023-01-05 06:30:00,10.45,10.5,10.43,10.43,430761.3629
2023-01-05 06:45:00,10.44,10.44,10.44,10.44,36807.3147
2023-01-05 07:00:00,10.46,10.46,10.38,10.38,315863.513
2023-01-05 07:15:00,10.38,10.45,10.38,10.42,371137.3467
2023-01-05 07:30:00,10.39,10.39,10.33,10.37,92910.3189
2023-01-05 08:15:00,10.36,10.38,10.36,10.38,54758.723
2023-01-05 08:30:00,10.34,10.37,10.34,10.37,4929.4364
2023-01-05 08:45:00,10.38,10.38,10.34,10.34,150806.5939
2023-01-05 09:00:00,10.34,10.35,10.34,10.35,749944.9496
2023-01-05 09:15:00,10.35,10.36,10.35,10.36,15530.443
2023-01-05 09:30:00,10.44,10.52,10.44,10.52,111289.0132
2023-01-05 09:45:00,10.47,10.47,10.47,10.47,955.10983763
2023-01-05 10:00:00,10.46,10.46,10.43,10.43,22715.27
2023-01-05 10:15:00,10.4,10.41,10.35,10.41,110147.83773467
2023-01-05 10:30:00,10.4,10.4,10.4,10.4,9606.148
2023-01-05 10:45:00,10.43,10.45,10.43,10.44,414.46360153
2023-01-05 11:00:00,10.4,10.44,10.4,10.41,70161.9814
2023-01-05 11:15:00,10.41,10.41,10.36,10.4,29597.5582
2023-01-05 11:30:00,10.37,10.37,10.37,10.37,51041.8027
2023-01-05 11:45:00,10.37,10.41,10.37,10.41,6923.8599
2023-01-05 12:00:00,10.36,10.36,10.36,10.36,8440.4807
2023-01-05 12:15:00,10.36,10.39,10.36,10.39,30960.0
2023-01-05 12:30:00,10.34,10.38,10.34,10.38,345.5083
2023-01-05 13:45:00,10.33,10.33,10.33,10.33,6549.5
2023-01-05 14:00:00,10.31,10.31,10.3,10.3,135733.8032
2023-01-05 14:15:00,10.32,10.39,10.32,10.39,5915.8442
2023-01-05 14:30:00,10.38,10.38,10.36,10.36,66681.9801
2023-01-05 14:45:00,10.39,10.39,10.33,10.35,111546.5312
2023-01-05 15:00:00,10.36,10.36,10.36,10.36,17447.4249
2023-01-05 15:15:00,10.35,10.37,10.35,10.37,46309.9067
2023-01-05 15:30:00,10.35,10.36,10.35,10.36,16466.4394
2023-01-05 16:15:00,10.3,10.3,10.2,10.2,150236.7829
2023-01-05 16:30:00,10.19,10.23,10.16,10.23,144109.9131
2023-01-05 17:15:00,10.26,10.39,10.26,10.38,40342.7885
2023-01-05 17:30:00,10.33,10.33,10.33,10.33,40000.0
2023-01-05 17:45:00,10.34,10.34,10.34,10.34,6587.0
2023-01-05 18:00:00,10.31,10.31,10.31,10.31,2089.7503
2023-01-05 18:15:00,10.3,10.3,10.3,10.3,1482.4104
2023-01-05 19:00:00,10.22,10.22,10.21,10.21,12210.6969
2023-01-05 19:15:00,10.22,10.22,10.22,10.22,264.4636
2023-01-05 19:30:00,10.26,10.26,10.2,10.2,47412.7716
2023-01-05 19:45:00,10.24,10.24,10.24,10.24,330.8408
2023-01-05 20:00:00,10.19,10.23,10.19,10.19,72992.6953
2023-01-05 20:15:00,10.24,10.28,10.24,10.26,24986.8083
2023-01-05 20:30:00,10.24,10.26,10.24,10.26,1096.5625
2023-01-05 20:45:00,10.2,10.2,10.2,10.2,274406.5256
2023-01-05 21:00:00,10.21,10.21,10.21,10.21,44407.3736
2023-01-05 21:45:00,10.22,10.22,10.22,10.22,50.0
2023-01-05 23:15:00,10.22,10.22,10.22,10.22,976.0334
2023-01-06 00:00:00,10.19,10.2,10.16,10.16,51701.6414
2023-01-06 02:30:00,10.16,10.16,10.16,10.16,50.0
2023-01-06 06:30:00,10.09,10.09,10.09,10.09,115596.0338
2023-01-06 06:45:00,10.15,10.19,10.15,10.19,135441.9271
2023-01-06 07:00:00,10.21,10.22,10.21,10.22,76406.3091
2023-01-06 07:15:00,10.22,10.22,10.22,10.22,6874.2039
2023-01-06 07:30:00,10.17,10.21,10.17,10.21,61186.2616
2023-01-06 08:30:00,10.15,10.18,10.15,10.18,121245.6189
2023-01-06 08:45:00,10.15,10.15,10.15,10.15,280.8408
2023-01-06 09:00:00,10.18,10.18,10.18,10.18,5507.169
2023-01-06 09:45:00,10.25,10.26,10.24,10.26,1074.1271
2023-01-06 10:00:00,10.27,10.27,10.26,10.26,45614.4359
2023-01-06 10:15:00,10.22,10.22,10.22,10.22,181157.6033
2023-01-06 10:30:00,10.25,10.25,10.21,10.21,69131.5027
2023-01-06 10:45:00,10.2,10.26,10.2,10.26,73676.3385
2023-01-06 11:00:00,10.16,10.16,10.12,10.12,243839.198
