date,open,high,low,close,volume
2024-01-01 09:00:00,38.5,38.9,38.4,38.7,3519443.29092608
2024-01-01 09:15:00,38.7,38.9,38.6,38.6,6509593.89704661
2024-01-01 09:30:00,38.6,38.8,38.6,38.8,1928760.91697039
2024-01-01 09:45:00,38.8,38.9,38.7,38.8,1216811.75141547
2024-01-01 10:00:00,38.8,38.8,38.6,38.6,441051.73762901
2024-01-01 10:15:00,38.7,38.7,38.6,38.7,277871.88434037
2024-01-01 10:30:00,38.7,38.7,38.6,38.7,957653.47753137
2024-01-01 10:45:00,38.7,38.8,38.6,38.8,335327.89898879
2024-01-01 11:00:00,38.7,38.7,38.6,38.6,1070539.71625799
2024-01-01 11:15:00,38.7,38.8,38.6,38.7,394950.90478367
2024-01-01 11:30:00,38.7,38.8,38.6,38.6,2257232.14741666
2024-01-01 11:45:00,38.8,38.9,38.7,38.8,1488918.17603591
2024-01-01 12:00:00,38.8,39.0,38.6,38.7,3098097.46810092
2024-01-01 12:15:00,38.8,38.8,38.7,38.7,524288.76063873
2024-01-01 12:30:00,38.8,38.8,38.5,38.5,1512109.92474683
2024-01-01 12:45:00,38.5,38.7,38.5,38.6,791893.44649871
2024-01-01 13:00:00,38.6,38.8,38.5,38.5,3351361.11885996
2024-01-01 13:15:00,38.5,38.5,38.2,38.3,3428231.10631145
2024-01-01 13:30:00,38.3,38.5,38.3,38.4,520727.34669382
2024-01-01 13:45:00,38.3,38.3,38.2,38.3,1102394.21959297
2024-01-01 14:00:00,38.3,38.5,38.3,38.4,798091.95837694
2024-01-01 14:15:00,38.5,38.6,38.3,38.3,193769.37228161
2024-01-01 14:30:00,38.3,38.4,38.2,38.3,1435122.59216909
2024-01-01 14:45:00,38.3,38.3,38.1,38.1,1253728.555732
2024-01-01 15:00:00,38.1,38.4,38.1,38.3,555223.5768997
2024-01-01 15:15:00,38.3,38.4,38.2,38.3,637589.52889224
2024-01-01 15:30:00,38.3,38.4,38.3,38.4,96886.87094902
2024-01-01 15:45:00,38.3,38.4,38.3,38.4,1024893.95253212
2024-01-01 16:00:00,38.4,38.4,38.4,38.4,459934.83443614
2024-01-01 16:15:00,38.3,38.4,38.2,38.2,1928966.12396775
2024-01-01 16:30:00,38.2,38.4,38.2,38.3,1063691.99685862
2024-01-01 16:45:00,38.2,38.3,38.2,38.3,1490683.15337441
2024-01-01 17:00:00,38.3,38.4,38.3,38.4,781980.34362648
2024-01-01 17:15:00,38.4,38.4,38.3,38.3,2729411.40851898
2024-01-01 17:30:00,38.3,38.4,38.2,38.2,881803.08202937
2024-01-01 17:45:00,38.2,38.3,38.1,38.3,447457.13405727
2024-01-01 18:00:00,38.2,38.3,38.1,38.1,1880108.24164955
2024-01-01 18:15:00,38.1,38.3,38.1,38.2,1731297.90887296
2024-01-01 18:30:00,38.2,38.4,38.2,38.3,547231.65942048
2024-01-01 18:45:00,38.3,38.4,38.3,38.3,211329.34717447
2024-01-01 19:00:00,38.3,38.4,38.3,38.3,645659.93252711
2024-01-01 19:15:00,38.4,38.4,38.2,38.2,906152.97019949
2024-01-01 19:30:00,38.2,38.3,38.2,38.3,603338.51245742
2024-01-01 19:45:00,38.3,38.4,38.2,38.2,1119513.65981758
2024-01-01 20:00:00,38.2,38.4,38.2,38.4,605429.52674539
2024-01-01 20:15:00,38.4,38.4,38.2,38.3,1190183.41683308
2024-01-01 20:30:00,38.3,38.4,38.3,38.3,317442.46656788
2024-01-01 20:45:00,38.3,38.4,38.3,38.3,1867380.38150935
2024-01-01 21:00:00,38.3,38.4,38.3,38.3,157792.6983253
2024-01-01 21:15:00,38.4,38.4,38.3,38.3,152356.55775936
2024-01-01 21:30:00,38.4,38.4,38.3,38.3,1025678.64821339
2024-01-01 21:45:00,38.3,38.4,38.2,38.3,1187250.69217829
2024-01-01 22:00:00,38.3,38.4,38.3,38.4,503491.75299725
2024-01-01 22:15:00,38.4,38.5,38.4,38.4,1903996.05426804
2024-01-01 22:30:00,38.5,38.5,38.4,38.5,117136.93478096
2024-01-01 22:45:00,38.5,38.6,38.5,38.6,569489.19225282
2024-01-01 23:00:00,38.6,38.6,38.2,38.3,2151844.57684618
2024-01-01 23:15:00,38.4,38.5,38.4,38.4,322893.80547477
2024-01-01 23:30:00,38.4,38.5,38.3,38.4,539200.36343807
2024-01-01 23:45:00,38.4,38.4,38.2,38.2,2231668.63045917
2024-01-02 00:00:00,38.3,38.4,38.2,38.3,1516443.78512557
2024-01-02 00:15:00,38.4,38.6,38.3,38.5,1795696.72856333
2024-01-02 00:30:00,38.6,38.6,38.3,38.4,5408663.45124871
2024-01-02 00:45:00,38.6,38.7,38.4,38.7,3779923.33293001
2024-01-02 01:00:00,38.7,38.8,38.7,38.7,1364146.85140778
2024-01-02 01:15:00,38.7,38.8,38.6,38.6,862925.73925546
2024-01-02 01:30:00,38.7,38.9,38.7,38.9,871980.56121822
2024-01-02 01:45:00,38.9,38.9,38.8,38.8,541791.94136213
2024-01-02 02:00:00,38.8,39.0,38.8,38.9,972791.62005272
2024-01-02 02:15:00,38.9,39.0,38.9,38.9,284295.92342246
2024-01-02 02:30:00,39.0,39.0,39.0,39.0,96828.8713848
2024-01-02 02:45:00,38.9,39.0,38.9,39.0,150039.13534546
2024-01-02 03:00:00,39.0,39.2,38.9,39.2,1649554.06718101
2024-01-02 03:15:00,39.2,39.4,39.2,39.3,1521206.53670614
2024-01-02 03:30:00,39.2,39.3,39.2,39.3,305170.54309929
2024-01-02 03:45:00,39.3,39.4,39.2,39.3,316817.07988539
2024-01-02 04:00:00,39.3,39.6,39.3,39.4,1426277.83766182
2024-01-02 04:15:00,39.5,39.5,39.3,39.4,1885276.88631508
2024-01-02 04:30:00,39.3,39.5,39.3,39.3,531004.11419352
2024-01-02 04:45:00,39.4,39.5,39.4,39.5,349912.85355069
2024-01-02 05:00:00,39.5,39.5,39.4,39.5,1615382.55915727
2024-01-02 05:15:00,39.5,39.5,39.4,39.4,407880.34227824
2024-01-02 05:30:00,39.4,39.5,39.3,39.3,462064.58772104
2024-01-02 05:45:00,39.4,39.5,39.2,39.3,2028144.16275154
2024-01-02 06:00:00,39.3,39.4,39.2,39.2,534578.04117103
2024-01-02 06:15:00,39.2,39.3,39.1,39.1,960180.71145232
2024-01-02 06:30:00,39.1,39.3,39.1,39.3,1331159.54637194
2024-01-02 06:45:00,39.2,39.4,39.1,39.4,250964.49374736
2024-01-02 07:00:00,39.3,39.4,39.2,39.2,876547.9386225
2024-01-02 07:15:00,39.2,39.3,39.1,39.2,299795.1023592
2024-01-02 07:30:00,39.1,39.4,39.1,39.4,2400029.37783182
2024-01-02 07:45:00,39.4,39.4,39.3,39.3,307376.83572352
2024-01-02 08:00:00,39.4,39.6,39.4,39.5,3456979.75479692
2024-01-02 08:15:00,39.4,39.5,39.2,39.5,1520072.06719686
2024-01-02 08:30:00,39.4,39.7,39.4,39.6,1251727.86998872
2024-01-02 08:45:00,39.5,39.7,39.4,39.6,2367278.06345519
2024-01-02 09:00:00,39.6,39.8,39.4,39.7,4022619.97656965
2024-01-02 09:15:00,39.7,40.0,39.5,39.7,5741900.11674364
2024-01-02 09:30:00,39.6,39.8,39.5,39.7,2089310.56115295
2024-01-02 09:45:00,39.7,39.9,39.7,39.8,2404779.03363973
2024-01-02 10:00:00,39.9,40.0,39.7,39.8,4116725.82930991
2024-01-02 10:15:00,39.7,39.9,39.7,39.8,1687829.09490791
2024-01-02 10:30:00,39.8,40.1,39.8,40.0,2244518.56431173
2024-01-02 10:45:00,40.0,40.0,39.8,39.8,2946476.23220733
2024-01-02 11:00:00,39.9,40.0,39.9,39.9,1536389.41224747
2024-01-02 11:15:00,39.9,40.0,39.8,39.9,1921897.12210315
2024-01-02 11:30:00,40.0,40.1,39.9,40.0,2333666.84881524
2024-01-02 11:45:00,40.0,40.1,40.0,40.1,1749597.60637896
