Date,Open,High,Low,Close,Volume
2023-01-01 10:15:00,33.11,33.11,33.11,33.11,61.4251
2023-01-01 15:15:00,33.5,34.5,33.5,34.5,12067.0
2023-01-01 19:45:00,33.54,33.55,33.54,33.55,22561.7972
2023-01-02 00:15:00,33.75,33.75,33.75,33.75,95.1119
2023-01-02 10:00:00,33.57,33.57,33.5,33.5,20000.0
2023-01-02 10:15:00,33.5,33.5,33.23,33.23,5000.0
2023-01-02 11:00:00,33.44,33.44,33.34,33.34,186303.5672
2023-01-02 16:15:00,33.46,33.98,33.46,33.98,4170.97
2023-01-02 16:30:00,33.99,33.99,33.99,33.99,147.10208884966167
2023-01-02 17:45:00,33.93,34.12,33.93,34.12,28677.6789
2023-01-02 18:00:00,34.0,34.0,33.99,34.0,132486.3813
2023-01-02 21:45:00,34.2,34.2,33.91,33.91,19557.7738
2023-01-02 22:00:00,34.15,34.15,34.15,34.15,8421.3624
2023-01-02 23:15:00,34.0,34.0,34.0,34.0,29411.7648
2023-01-03 13:00:00,33.81,34.06,33.81,34.06,69109.9924
2023-01-03 18:15:00,34.17,34.17,34.09,34.09,5655.0067
2023-01-03 18:30:00,34.17,34.17,34.17,34.17,16094.6724
2023-01-03 18:45:00,34.17,34.17,34.17,34.17,27418.6867
2023-01-04 02:00:00,33.87,33.87,33.86,33.86,27598.3165
2023-01-04 03:45:00,33.81,33.97,33.81,33.97,17585.742163467767
2023-01-04 04:00:00,33.81,33.81,33.78,33.78,54395.7446
2023-01-04 09:45:00,33.83,33.83,33.83,33.83,22.0
2023-01-04 10:30:00,34.06,34.06,34.06,34.06,615.3777
2023-01-04 12:45:00,34.46,34.47,34.46,34.47,9440.7903
2023-01-04 13:00:00,34.47,34.51,34.47,34.51,58760.4527
2023-01-04 13:15:00,34.51,34.51,34.51,34.51,28.9772
2023-01-04 13:30:00,34.51,34.56,34.51,34.56,5000.0
2023-01-04 16:15:00,34.56,34.56,34.56,34.56,290.4040004411765
2023-01-04 16:30:00,34.64,34.64,34.64,34.64,173.2102013856813
2023-01-04 16:45:00,34.61,34.63,34.61,34.63,9030.1242
2023-01-04 17:00:00,34.63,34.63,34.63,34.63,20.2137
2023-01-04 17:45:00,34.5,34.64,34.5,34.64,22041.77349861432
2023-01-04 18:30:00,34.65,34.73,34.65,34.73,86.3558
2023-01-04 22:45:00,34.73,34.75,34.58,34.58,23153.9086
2023-01-05 07:00:00,34.58,34.58,34.58,34.58,10312.1317
2023-01-05 08:30:00,34.92,34.94,34.92,34.94,75902.0504
2023-01-05 09:15:00,34.94,34.94,34.94,34.94,1946.5745
2023-01-05 13:15:00,34.69,34.69,34.69,34.69,124.3875
2023-01-06 07:30:00,34.66,34.67,34.66,34.67,27358.3131
2023-01-06 07:45:00,34.67,34.67,34.67,34.67,10429.8238
2023-01-06 08:00:00,34.46,34.46,34.46,34.46,9425.4591
2023-01-06 08:15:00,34.46,34.46,34.46,34.46,129412.6935
2023-01-06 08:30:00,34.46,34.46,34.27,34.27,27358.3131
2023-01-06 09:30:00,34.35,34.55,34.35,34.44,28587.3125
2023-01-06 11:15:00,34.28,34.28,34.2,34.2,30050.486
2023-01-06 11:30:00,34.2,34.2,34.2,34.2,28358.7984
2023-01-06 12:45:00,34.0,34.0,33.87,33.87,12617.0
2023-01-06 13:30:00,33.72,33.72,33.5,33.5,20205.0
2023-01-06 13:45:00,33.88,33.89,33.88,33.89,31489.577
2023-01-06 14:45:00,33.77,33.77,33.77,33.77,13333.0
2023-01-06 15:45:00,33.44,33.52,33.42,33.52,89918.4829
2023-01-06 16:00:00,33.42,33.42,33.39,33.39,5013.7526
2023-01-06 20:30:00,33.03,33.27,33.03,33.27,59476.1488
2023-01-06 21:30:00,33.0,33.07,33.0,33.07,41125.7999
2023-01-06 21:45:00,33.01,33.01,33.0,33.0,239886.4121
2023-01-06 22:00:00,33.0,33.01,33.0,33.0,333065.7621
2023-01-06 22:15:00,33.02,33.02,33.0,33.0,28266.0
2023-01-06 22:30:00,33.0,33.33,33.0,33.33,144377.2825
2023-01-06 22:45:00,33.5,33.5,33.37,33.37,21194.007
2023-01-06 23:00:00,33.06,33.06,33.06,33.06,5000.0
2023-01-06 23:45:00,33.01,33.01,33.0,33.0,3994.007
2023-01-07 01:30:00,33.38,33.38,33.38,33.38,3013.7730571000598
2023-01-07 05:00:00,33.52,33.66,33.52,33.66,12947.0
2023-01-07 08:45:00,33.8,33.8,33.8,33.8,288702.9084
2023-01-07 09:00:00,33.8,33.8,33.8,33.8,178.8254
2023-01-07 18:15:00,34.49,34.49,34.24,34.24,352.6729
2023-01-07 18:30:00,34.24,34.24,34.24,34.24,6562.1122
2023-01-07 18:45:00,34.24,34.24,34.24,34.24,1474.9263
2023-01-07 23:00:00,34.32,34.5,34.32,34.5,8814.0
2023-01-07 23:15:00,34.23,34.23,34.23,34.23,96.791
2023-01-07 23:30:00,34.42,34.44,34.42,34.44,13024.0
2023-01-07 23:45:00,34.37,34.47,34.37,34.47,24608.928818537857
2023-01-08 09:45:00,33.8,33.95,33.65,33.68,98703.0166
2023-01-08 10:00:00,33.69,33.85,33.69,33.85,190898.8683
2023-01-08 10:15:00,33.85,33.89,33.85,33.89,74255.8424
2023-01-09 00:45:00,34.38,34.38,34.38,34.38,6702.238
2023-01-09 04:30:00,34.72,34.73,34.52,34.6,31414.0685
2023-01-09 04:45:00,34.54,34.54,34.54,34.54,107.6051
2023-01-09 05:00:00,34.53,34.92,34.02,34.72,269091.7323
2023-01-09 05:15:00,34.72,34.84,34.72,34.84,10786.0
2023-01-09 05:30:00,34.84,34.84,34.84,34.84,22.9555
2023-01-09 05:45:00,34.6,34.6,34.6,34.6,111.2484
2023-01-09 06:00:00,34.86,34.86,34.86,34.86,313.5924
2023-01-09 07:45:00,34.89,35.0,34.89,35.0,350343.3518571429
2023-01-09 08:00:00,35.0,35.0,35.0,35.0,135.13854285714285
2023-01-09 08:15:00,35.0,35.0,35.0,35.0,63.4
2023-01-09 08:30:00,34.91,34.91,34.91,34.91,67.5692
2023-01-09 08:45:00,34.91,34.91,34.91,34.91,50.6769
2023-01-09 09:00:00,35.03,35.33,35.03,35.33,17984.0
2023-01-09 09:15:00,35.03,35.03,35.03,35.03,104.2559
2023-01-09 09:30:00,35.03,35.2,35.03,35.2,197304.71219874395
2023-01-09 09:45:00,35.2,35.36,35.13,35.36,34298.249
2023-01-09 11:00:00,35.5,35.57,35.5,35.57,5639.7332
2023-01-09 11:15:00,35.5,35.5,35.22,35.22,2751.6294
2023-01-09 11:30:00,35.57,35.57,35.57,35.57,78.9984
2023-01-09 11:45:00,35.26,35.26,35.26,35.26,485.0379
2023-01-09 12:00:00,35.11,35.11,35.11,35.11,955.7566
2023-01-09 12:15:00,35.04,35.04,35.04,35.04,144.3418
2023-01-09 17:15:00,35.78,36.1,35.78,36.1,41468.2353
2023-01-09 17:30:00,36.02,36.26,36.02,36.26,2009.4345
2023-01-09 17:45:00,36.06,36.06,36.02,36.02,12813.1061
2023-01-09 18:45:00,36.14,36.5,36.14,36.5,52286.8748
2023-01-09 19:00:00,36.4,36.48,36.4,36.48,35704.2228
2023-01-09 19:15:00,36.41,36.45,36.41,36.45,1371.592
2023-01-09 19:30:00,36.46,36.47,36.27,36.27,2129.5777
2023-01-09 19:45:00,36.13,36.13,36.01,36.01,33292.7817
2023-01-09 20:00:00,36.37,36.37,36.35,36.36,5698.1133
2023-01-09 20:15:00,36.4,36.4,36.4,36.4,47732.5549
2023-01-09 20:30:00,36.25,36.25,36.24,36.24,28497.0451
2023-01-09 20:45:00,36.24,36.45,36.24,36.45,101.7546
2023-01-09 22:45:00,36.5,36.5,35.81,36.15,90586.0563
2023-01-09 23:00:00,35.83,36.18,35.81,35.81,136416.8954
2023-01-10 01:30:00,36.86,36.99,36.51,36.99,58239.2538
2023-01-10 01:45:00,37.0,37.06,37.0,37.06,77785.6177
2023-01-10 03:30:00,37.27,37.27,36.17,36.17,175187.3104
2023-01-10 03:45:00,36.31,36.67,36.31,36.59,3832.5683
