Date,Open,High,Low,Close,Volume
2023-01-01 09:00:00,9.756,9.756,9.756,9.756,110000.0
2023-01-01 09:45:00,9.693,9.754,9.693,9.754,11787.9205
2023-01-01 10:30:00,9.7,9.7,9.7,9.7,14801.6042
2023-01-01 10:45:00,9.7,9.749,9.7,9.749,17388.3442
2023-01-01 11:00:00,9.749,9.749,9.749,9.749,6294.2448
2023-01-01 12:00:00,9.71,9.749,9.71,9.749,19644.3538
2023-01-01 12:45:00,9.774,9.774,9.773,9.773,156.0
2023-01-01 13:30:00,9.77,9.77,9.77,9.77,10080.8484
2023-01-01 13:45:00,9.73,9.73,9.73,9.73,2570.0
2023-01-01 14:00:00,9.77,9.78,9.747,9.78,10135.0185
2023-01-01 14:15:00,9.75,9.78,9.75,9.78,27839.4079
2023-01-01 14:30:00,9.78,9.78,9.78,9.78,103494.6821
2023-01-01 14:45:00,9.787,9.85,9.752,9.752,7656.0
2023-01-01 15:00:00,9.752,9.884,9.752,9.884,92896.141
2023-01-01 15:15:00,9.882,9.884,9.882,9.882,7416.7716
2023-01-01 15:30:00,9.882,9.882,9.882,9.882,4700.0
2023-01-01 17:00:00,9.802,9.802,9.802,9.802,4000.0
2023-01-01 17:15:00,9.88,9.881,9.8,9.881,3212.8267
2023-01-01 17:30:00,9.88,9.88,9.88,9.88,29357.662
2023-01-01 17:45:00,9.88,9.88,9.88,9.88,499.7814497975709
2023-01-01 18:00:00,9.815,9.88,9.813,9.813,17803.1446
2023-01-01 18:15:00,9.815,9.815,9.81,9.81,7451.0
2023-01-01 18:30:00,9.876,9.878,9.876,9.878,146.3242
2023-01-01 19:30:00,9.867,9.87,9.714,9.87,41751.6586
2023-01-01 20:15:00,9.776,9.8,9.776,9.8,1070.6177
2023-01-01 20:30:00,9.799,9.799,9.702,9.79,20842.1364
2023-01-01 21:15:00,9.815,9.815,9.771,9.771,69341.4406
2023-01-01 21:30:00,9.771,9.771,9.702,9.768,58013.9736
2023-01-01 21:45:00,9.77,9.771,9.67,9.67,672568.0051
2023-01-01 22:00:00,9.688,9.763,9.688,9.76,56551.4776
2023-01-01 22:15:00,9.758,9.758,9.66,9.66,2958.5919
2023-01-01 22:30:00,9.736,9.736,9.736,9.736,51.3558
2023-01-01 22:45:00,9.736,9.745,9.736,9.744,27970.0985
2023-01-01 23:00:00,9.674,9.73,9.674,9.73,11976.613622918809
2023-01-01 23:45:00,9.729,9.88,9.729,9.88,206384.80407708118
2023-01-02 00:00:00,9.877,9.877,9.875,9.875,17629.5634
2023-01-02 00:15:00,9.786,9.876,9.786,9.876,65990.1375
2023-01-02 00:30:00,9.877,9.877,9.795,9.861,295365.8774
2023-01-02 01:45:00,9.836,9.836,9.836,9.836,60239.0775
2023-01-02 02:30:00,9.872,9.872,9.872,9.872,13383.6348
2023-01-02 04:45:00,9.923,9.923,9.923,9.923,1520.0
2023-01-02 05:00:00,9.923,9.923,9.923,9.923,30000.0
2023-01-02 05:15:00,9.878,9.878,9.878,9.878,8079.0
2023-01-02 05:30:00,9.878,9.878,9.877,9.877,15363.0
2023-01-02 06:15:00,9.837,9.837,9.835,9.835,34207.622
2023-01-02 06:30:00,9.835,9.835,9.835,9.835,61956.5674
2023-01-02 06:45:00,9.847,9.847,9.817,9.817,17106.0
2023-01-02 08:30:00,9.761,9.848,9.761,9.848,54083.9508
2023-01-02 08:45:00,9.848,9.85,9.776,9.848,26639.0561
2023-01-02 09:00:00,9.848,9.85,9.848,9.85,2112.6241
2023-01-02 09:15:00,9.845,9.899,9.838,9.899,355521.8257
2023-01-02 09:30:00,9.897,9.901,9.897,9.9,166120.0605
2023-01-02 09:45:00,9.9,9.91,9.812,9.908,170771.4981
2023-01-02 10:00:00,9.908,9.92,9.814,9.894,186604.9779
