Date,Open,High,Low,Close,Volume
2023-01-01 09:30:00,2.956,2.956,2.956,2.956,3374.5136
2023-01-01 09:45:00,2.922,2.922,2.922,2.922,96000.0
2023-01-01 10:00:00,2.951,2.951,2.935,2.935,89252.3122
2023-01-01 10:15:00,2.951,2.951,2.951,2.951,200.0
2023-01-01 14:15:00,2.949,2.949,2.922,2.922,2940469.5223
2023-01-01 17:45:00,2.925,2.926,2.925,2.926,50638.99459931647
2023-01-01 18:00:00,2.926,2.926,2.926,2.926,402403.14600068354
2023-01-01 18:15:00,2.947,2.947,2.896,2.947,1503.3702
2023-01-01 21:15:00,2.899,2.899,2.899,2.899,16704.8279
2023-01-01 23:15:00,2.924,2.924,2.924,2.924,200.0
2023-01-02 01:00:00,2.91,2.913,2.91,2.912,2441203.3197
2023-01-02 05:30:00,2.936,2.937,2.936,2.937,312033.2032
2023-01-02 10:00:00,2.917,2.917,2.917,2.917,13374.6274
2023-01-02 11:15:00,2.918,2.918,2.918,2.918,168712.1374
2023-01-02 13:15:00,2.917,2.917,2.917,2.917,1714.0899
2023-01-02 13:30:00,2.917,2.917,2.912,2.912,3568529.0693
2023-01-02 15:00:00,2.912,2.912,2.901,2.901,35107.1255
2023-01-02 16:15:00,2.933,2.933,2.933,2.933,18911.1265
2023-01-02 17:30:00,2.948,2.95,2.948,2.95,420821.9812
2023-01-02 18:15:00,2.953,2.99,2.953,2.974,827639.3067
2023-01-02 18:30:00,2.973,2.975,2.948,2.975,495891.8173
2023-01-02 23:00:00,2.95,2.95,2.95,2.95,33233.6324
2023-01-02 23:15:00,2.952,2.97,2.952,2.963,1611719.8136
2023-01-03 00:00:00,2.952,2.952,2.952,2.952,16190.9179
2023-01-03 00:15:00,2.952,2.958,2.952,2.957,356889.6806
2023-01-03 00:30:00,2.971,2.979,2.959,2.979,2887102.4551
2023-01-03 00:45:00,2.979,2.979,2.958,2.958,258000.0
2023-01-03 01:00:00,2.96,2.96,2.957,2.957,1221956.7009
2023-01-03 01:15:00,2.951,2.951,2.947,2.947,1346134.6443
2023-01-03 01:30:00,2.947,2.947,2.947,2.947,925328.1303020021
2023-01-03 01:45:00,2.947,2.947,2.947,2.947,338741.0921
2023-01-03 02:00:00,2.947,2.947,2.947,2.947,156000.0
2023-01-03 02:15:00,2.947,2.947,2.947,2.947,202000.0
2023-01-03 02:30:00,2.947,2.947,2.934,2.934,1752231.2947
2023-01-03 04:15:00,2.95,2.951,2.95,2.951,92000.0
2023-01-03 04:30:00,2.95,2.952,2.95,2.952,512622.3214
2023-01-03 04:45:00,2.952,2.952,2.952,2.952,1071.7861
2023-01-03 05:45:00,2.952,2.952,2.952,2.952,54000.0
2023-01-03 06:30:00,2.952,2.952,2.952,2.952,50000.0
2023-01-03 07:30:00,2.952,2.952,2.952,2.952,720497.0497
2023-01-03 07:45:00,2.942,2.952,2.942,2.952,22361.9771
2023-01-03 08:00:00,2.952,2.952,2.952,2.952,61689.543
2023-01-03 09:15:00,2.945,2.945,2.945,2.945,42254.4953
2023-01-03 11:00:00,2.951,2.952,2.951,2.952,206549.7706
2023-01-03 13:15:00,2.951,2.952,2.951,2.952,444.0
2023-01-03 14:00:00,2.952,2.952,2.943,2.943,51119.5836
2023-01-03 14:15:00,2.943,2.943,2.941,2.941,25092.8564
2023-01-03 15:00:00,2.95,2.951,2.95,2.951,20000.0
2023-01-03 15:15:00,2.933,2.933,2.933,2.933,123670.8234
2023-01-03 15:30:00,2.932,2.935,2.93,2.93,203781.582
2023-01-03 16:30:00,2.927,2.927,2.927,2.927,136500.0
2023-01-03 17:45:00,2.939,2.939,2.938,2.938,58226.5371
2023-01-03 18:00:00,2.948,2.948,2.948,2.948,333.0
2023-01-03 19:00:00,2.948,2.952,2.937,2.937,1081477.951083943
2023-01-03 19:15:00,2.948,2.948,2.948,2.948,222.0
2023-01-03 19:30:00,2.948,2.948,2.948,2.948,16565.5987
2023-01-03 19:45:00,2.952,2.952,2.908,2.936,149939.8947
2023-01-03 21:00:00,2.934,2.934,2.934,2.934,222.0
2023-01-03 21:15:00,2.934,2.934,2.934,2.934,392.4159
2023-01-03 21:30:00,2.923,2.923,2.907,2.907,292000.0
2023-01-03 22:30:00,2.925,2.926,2.925,2.926,18795.1316
2023-01-03 23:45:00,2.917,2.917,2.907,2.907,862206.0406
2023-01-04 00:00:00,2.907,2.907,2.907,2.907,2123543.3297
2023-01-04 00:15:00,2.907,2.907,2.907,2.907,222.0
2023-01-04 04:30:00,2.906,2.907,2.906,2.907,192659.2659
2023-01-04 10:15:00,2.906,2.906,2.906,2.906,48278.047
2023-01-04 10:30:00,2.892,2.906,2.85,2.906,1396830.0315
2023-01-04 10:45:00,2.891,2.891,2.89,2.89,91234.4494
2023-01-04 12:00:00,2.92,2.92,2.92,2.92,1712.3287671232877
2023-01-04 12:15:00,2.92,2.92,2.901,2.902,114772.2018
2023-01-04 12:30:00,2.919,2.919,2.919,2.919,854321.5445
2023-01-04 12:45:00,2.921,2.921,2.921,2.921,93910.892
2023-01-04 13:30:00,2.926,3.137,2.922,2.946,1597234.5617605993
2023-01-04 16:00:00,2.92,2.946,2.92,2.946,217541.7459
2023-01-04 16:15:00,2.933,2.933,2.933,2.933,806.054
2023-01-04 16:30:00,2.945,2.945,2.945,2.945,1697.792869269949
2023-01-04 17:15:00,2.942,2.942,2.942,2.942,339.9049
2023-01-04 17:30:00,2.916,2.916,2.916,2.916,4589.0916
2023-01-04 18:45:00,2.921,2.922,2.91,2.91,39432.405
2023-01-04 19:00:00,2.909,2.909,2.901,2.901,100000.0
2023-01-04 21:00:00,2.908,2.908,2.908,2.908,91584.7978
2023-01-04 21:45:00,2.91,2.921,2.91,2.91,302087.7247
2023-01-04 22:30:00,2.923,2.923,2.923,2.923,32740.731
2023-01-04 23:15:00,2.925,2.925,2.925,2.925,180835.7056
2023-01-05 00:15:00,2.914,2.914,2.914,2.914,3431.709
2023-01-05 00:30:00,2.89,2.91,2.885,2.91,153887.6906
2023-01-05 01:30:00,2.92,2.937,2.92,2.936,125342.1197
2023-01-05 01:45:00,2.954,2.954,2.934,2.935,1036872.6048
2023-01-05 02:00:00,2.924,2.924,2.924,2.924,239.3981
2023-01-05 04:30:00,2.915,2.916,2.915,2.916,86564.2096
2023-01-05 09:15:00,2.955,2.955,2.955,2.955,3384.09475465313
2023-01-05 12:00:00,2.94,2.94,2.94,2.94,921.609
2023-01-05 13:00:00,2.901,2.901,2.901,2.901,1530.486
2023-01-05 14:45:00,2.907,2.919,2.907,2.907,1175068.123
2023-01-05 15:00:00,2.906,2.906,2.906,2.906,54109.6176
2023-01-05 17:15:00,2.912,2.913,2.912,2.913,64025.3343
2023-01-05 17:30:00,2.912,2.912,2.912,2.912,17170.3297
2023-01-05 17:45:00,2.912,2.912,2.912,2.912,7471.408
2023-01-05 18:00:00,2.912,2.912,2.912,2.912,27889.8347
2023-01-05 19:30:00,2.889,2.889,2.887,2.887,284000.0
2023-01-05 19:45:00,2.887,2.887,2.887,2.887,172345.6153
2023-01-05 20:00:00,2.887,2.887,2.885,2.885,106000.0
2023-01-05 22:30:00,2.902,2.902,2.902,2.902,119120.9515
2023-01-05 22:45:00,2.902,2.902,2.902,2.902,50504.4502
2023-01-05 23:00:00,2.906,2.906,2.906,2.906,173.0
2023-01-05 23:15:00,2.91,2.91,2.91,2.91,3000.0
2023-01-05 23:30:00,2.909,3.044,2.909,2.976,4653039.9996
2023-01-05 23:45:00,2.999,3.295,2.999,3.25,43660131.75857681
2023-01-06 00:00:00,3.25,3.348,3.028,3.322,55694212.8102
2023-01-06 00:15:00,3.334,3.388,3.084,3.212,8580703.82298626
2023-01-06 00:30:00,3.215,3.245,3.066,3.131,2452987.4492
2023-01-06 00:45:00,3.155,3.287,3.155,3.287,3091147.1471
2023-01-06 01:00:00,3.296,3.296,3.103,3.218,3577321.3367
2023-01-06 01:15:00,3.163,3.183,3.119,3.156,1317575.543
2023-01-06 01:30:00,3.122,3.176,3.121,3.128,5254801.1643
2023-01-06 01:45:00,3.127,3.127,3.062,3.095,2696425.9677
2023-01-06 02:00:00,3.096,3.1,3.093,3.095,225417.7048
2023-01-06 02:15:00,3.095,3.11,3.095,3.109,417319.3023
2023-01-06 02:30:00,3.1,3.23,3.095,3.212,1453343.8992
2023-01-06 02:45:00,3.211,3.241,3.152,3.241,228904.7709
2023-01-06 03:00:00,3.182,3.182,3.182,3.182,201225.7186
2023-01-06 03:45:00,3.141,3.15,3.119,3.119,744180.7971
2023-01-06 04:00:00,3.135,3.137,3.118,3.118,55600.8266
2023-01-06 04:15:00,3.178,3.212,3.178,3.208,470357.0368
2023-01-06 04:30:00,3.207,3.643,3.187,3.528,20658902.92961895
2023-01-06 04:45:00,3.531,3.572,3.39,3.523,6565675.5123
2023-01-06 05:00:00,3.521,3.57,3.34,3.422,9453354.0406
2023-01-06 05:15:00,3.445,3.452,3.397,3.401,1508553.4562194669
2023-01-06 05:30:00,3.401,3.465,3.322,3.341,2348563.1956
2023-01-06 05:45:00,3.323,3.377,3.321,3.329,4725484.4629
2023-01-06 06:00:00,3.329,3.337,3.272,3.305,1226168.5059
2023-01-06 06:15:00,3.295,3.444,3.28,3.408,2033303.5506
2023-01-06 06:30:00,3.387,3.396,3.319,3.319,743014.8588
2023-01-06 06:45:00,3.306,3.4,3.305,3.4,4706235.3804
2023-01-06 07:00:00,3.383,3.388,3.374,3.374,1435754.4855
2023-01-06 07:15:00,3.373,3.375,3.345,3.345,245195.7582
2023-01-06 07:30:00,3.346,3.349,3.319,3.319,514522.3744
2023-01-06 07:45:00,3.314,3.314,3.313,3.313,2474.5589
2023-01-06 08:00:00,3.345,3.496,3.345,3.449,4655182.345117099
2023-01-06 08:15:00,3.467,3.48,3.4,3.418,1879381.542
2023-01-06 08:30:00,3.411,3.411,3.37,3.383,1110194.5166
2023-01-06 08:45:00,3.385,3.385,3.311,3.383,478605.2628
2023-01-06 09:00:00,3.382,3.383,3.306,3.359,1740479.8143
2023-01-06 09:15:00,3.35,3.351,3.319,3.351,1893350.3894
2023-01-06 09:30:00,3.359,3.38,3.359,3.38,146972.3691
2023-01-06 09:45:00,3.321,3.321,3.321,3.321,45293.66
2023-01-06 10:00:00,3.363,3.363,3.361,3.362,171550.094
2023-01-06 10:15:00,3.373,3.414,3.373,3.414,2361982.9993
2023-01-06 10:30:00,3.414,3.414,3.39,3.39,355705.024896778
2023-01-06 10:45:00,3.402,3.402,3.364,3.364,195283.512
