date,open,high,low,close,volume
2024-01-01 09:00:00,47.4,47.5,47.1,47.3,2275076.62963348
2024-01-01 09:15:00,47.3,47.4,47.1,47.4,548586.09624147
2024-01-01 09:30:00,47.4,47.4,47.2,47.3,620178.82221023
2024-01-01 09:45:00,47.4,47.4,47.3,47.3,331908.92496929
2024-01-01 10:00:00,47.4,47.6,47.4,47.4,411672.84806717
2024-01-01 10:15:00,47.3,47.5,47.3,47.5,474551.65666123
2024-01-01 10:30:00,47.4,47.5,47.4,47.4,104564.69730498
2024-01-01 10:45:00,47.4,47.5,47.4,47.5,136665.7000219
2024-01-01 11:00:00,47.4,47.5,47.4,47.5,47002.01161283
2024-01-01 11:15:00,47.4,47.4,47.3,47.4,333956.01114832
2024-01-01 11:30:00,47.4,47.5,47.4,47.4,136090.65162279
2024-01-01 11:45:00,47.4,47.5,47.4,47.5,434612.55407745
2024-01-01 12:00:00,47.5,47.5,47.4,47.4,86339.90193924
2024-01-01 12:15:00,47.5,47.8,47.5,47.7,2019209.70465456
2024-01-01 12:30:00,47.7,47.7,47.5,47.5,630832.59656982
2024-01-01 12:45:00,47.5,47.5,47.4,47.4,499153.12694914
2024-01-01 13:00:00,47.4,47.5,47.1,47.3,895058.92772839
2024-01-01 13:15:00,47.3,47.4,47.0,47.1,1343940.67199848
2024-01-01 13:30:00,47.3,47.4,47.2,47.2,20512.60451252
2024-01-01 13:45:00,47.3,47.3,47.2,47.2,61228.8352828
2024-01-01 14:00:00,47.3,47.4,47.2,47.4,302815.32658011
2024-01-01 14:15:00,47.4,47.4,47.4,47.4,13095.24794564
2024-01-01 14:30:00,47.3,47.4,47.3,47.3,331385.74780603
2024-01-01 14:45:00,47.3,47.3,47.2,47.3,244472.30190146
2024-01-01 15:00:00,47.3,47.3,47.2,47.3,105733.85336036
2024-01-01 15:15:00,47.3,47.3,47.2,47.2,340316.6631376
2024-01-01 15:30:00,47.3,47.3,47.2,47.2,39376.73945271
2024-01-01 15:45:00,47.3,47.4,47.1,47.1,364111.28816815
2024-01-01 16:00:00,47.2,47.3,47.1,47.1,594481.3399001
2024-01-01 16:15:00,47.2,47.3,47.1,47.2,600193.25570423
2024-01-01 16:30:00,47.2,47.3,47.1,47.2,217077.14527246
2024-01-01 16:45:00,47.2,47.3,47.2,47.2,103361.90969035
2024-01-01 17:00:00,47.2,47.3,47.1,47.2,139989.39859153
2024-01-01 17:15:00,47.2,47.4,47.2,47.3,389631.25145401
2024-01-01 17:30:00,47.3,47.4,47.0,47.4,586982.42236479
