Date,Open,High,Low,Close,Volume
2023-01-01 09:00:00,13.99,14.14,13.9,13.91,456626.7886
2023-01-01 09:15:00,13.91,14.02,13.91,14.0,255976.1844
2023-01-01 09:30:00,13.97,14.04,13.87,13.91,446886.0692
2023-01-01 09:45:00,13.92,13.92,13.8,13.86,566186.5417
2023-01-01 10:00:00,13.87,14.02,13.8,13.94,442587.8397
2023-01-01 10:15:00,13.83,13.94,13.81,13.89,256010.864
2023-01-01 10:30:00,13.86,13.9,13.8,13.85,388101.7349
2023-01-01 10:45:00,13.82,13.9,13.82,13.9,42042.8907
2023-01-01 11:00:00,13.9,13.9,13.88,13.89,263647.5088
2023-01-01 11:15:00,13.9,13.9,13.9,13.9,404031.4427
2023-01-01 11:30:00,13.9,13.96,13.88,13.95,479693.5692
2023-01-01 11:45:00,13.91,13.95,13.91,13.95,262391.519
2023-01-01 12:00:00,13.95,13.95,13.89,13.91,347935.9729
2023-01-01 12:15:00,13.91,13.92,13.9,13.91,446298.1992
2023-01-01 12:30:00,13.9,13.94,13.82,13.9,474900.2173
2023-01-01 12:45:00,13.93,13.95,13.83,13.9,237172.2326
2023-01-01 13:00:00,13.91,13.92,13.85,13.89,269093.3095
2023-01-01 13:15:00,13.89,14.09,13.89,14.04,373796.4806
2023-01-01 13:30:00,14.04,14.09,14.0,14.08,342907.0286
2023-01-01 13:45:00,14.08,14.09,14.01,14.09,353357.5648
2023-01-01 14:00:00,14.09,14.09,14.04,14.08,183571.9023
2023-01-01 14:15:00,14.08,14.1,14.0,14.09,590311.8683
2023-01-01 14:30:00,14.06,14.09,14.06,14.07,233236.6713
2023-01-01 14:45:00,14.06,14.09,14.03,14.05,250555.3394
2023-01-01 15:00:00,14.05,14.08,14.02,14.06,253577.9033
2023-01-01 15:15:00,14.05,14.08,14.03,14.05,202220.8265
2023-01-01 15:30:00,14.04,14.04,14.01,14.03,297866.3455
2023-01-01 15:45:00,14.04,14.04,14.03,14.03,255789.4489
2023-01-01 16:00:00,14.03,14.1,14.02,14.07,328878.5935542553
2023-01-01 16:15:00,14.06,14.08,14.06,14.07,255554.0066
2023-01-01 16:30:00,14.08,14.08,14.06,14.08,250226.848
2023-01-01 16:45:00,14.08,14.08,14.01,14.05,283350.2538
2023-01-01 17:00:00,14.03,14.08,14.0,14.05,536708.0718
2023-01-01 17:15:00,14.05,14.09,14.04,14.08,278280.4611
2023-01-01 17:30:00,14.08,14.08,14.08,14.08,257276.5599
2023-01-01 17:45:00,14.08,14.16,14.07,14.1,200337.99214158978
2023-01-01 18:00:00,14.15,14.15,14.03,14.09,292756.729
2023-01-01 18:15:00,14.08,14.13,14.04,14.13,259953.3097
2023-01-01 18:30:00,14.08,14.12,14.08,14.08,92146.4177
2023-01-01 18:45:00,14.07,14.08,14.04,14.06,257346.9954
2023-01-01 19:00:00,14.08,14.09,14.04,14.09,45215.9894
2023-01-01 19:15:00,14.09,14.09,14.09,14.09,46041.8128
2023-01-01 19:30:00,14.14,14.15,14.14,14.15,299750.71370339225
2023-01-01 19:45:00,14.15,14.15,14.15,14.15,1982.0
2023-01-01 21:00:00,14.13,14.14,14.13,14.14,25132.0
2023-01-01 21:15:00,14.13,14.14,14.05,14.12,513624.0657
2023-01-01 21:30:00,14.13,14.13,14.04,14.08,74498.7145
2023-01-01 21:45:00,14.1,14.12,14.03,14.09,458504.2468
2023-01-01 22:00:00,14.1,14.12,14.09,14.11,404035.3839
2023-01-01 22:15:00,14.11,14.11,14.02,14.08,585325.5815
2023-01-01 22:30:00,14.08,14.09,14.08,14.09,972.7492
2023-01-01 22:45:00,14.08,14.08,14.08,14.08,140637.2145
2023-01-01 23:30:00,14.08,14.08,14.08,14.08,177.0
2023-01-01 23:45:00,14.07,14.12,14.06,14.12,15702.7745
2023-01-02 00:00:00,14.06,14.11,14.06,14.07,66335.8872
2023-01-02 00:15:00,14.08,14.1,14.06,14.08,685788.576
2023-01-02 00:30:00,14.1,14.1,14.0,14.08,668731.5071
2023-01-02 01:15:00,14.01,14.01,14.01,14.01,72189.7853
2023-01-02 02:00:00,14.1,14.1,14.1,14.1,191.5141
2023-01-02 02:45:00,14.05,14.07,14.01,14.07,145185.6341
2023-01-02 03:00:00,14.09,14.09,14.09,14.09,39811.4437
2023-01-02 06:00:00,13.96,14.04,13.96,14.04,600.0
2023-01-02 06:45:00,14.08,14.08,14.08,14.08,100.0
2023-01-02 08:15:00,13.95,14.06,13.95,14.06,474775.009741394
2023-01-02 08:30:00,13.97,13.97,13.97,13.97,35773.1298
2023-01-02 08:45:00,13.96,13.96,13.95,13.95,85929.208
2023-01-02 09:00:00,13.96,13.96,13.92,13.93,203378.803
2023-01-02 09:15:00,13.92,13.92,13.89,13.89,228785.6024
2023-01-02 09:30:00,13.88,13.89,13.85,13.87,304514.12
2023-01-02 09:45:00,13.86,13.9,13.85,13.88,467701.4175
2023-01-02 10:00:00,13.89,13.89,13.8,13.84,606227.5014
2023-01-02 10:15:00,13.86,13.87,13.69,13.69,1247509.5987184057
2023-01-02 10:30:00,13.7,13.86,13.69,13.75,592754.0258
2023-01-02 10:45:00,13.79,13.81,13.7,13.7,503845.952
2023-01-02 11:00:00,13.7,13.76,13.7,13.74,489321.7961
2023-01-02 11:15:00,13.73,13.83,13.73,13.78,474797.79624647787
2023-01-02 11:30:00,13.79,13.85,13.75,13.79,480867.513
2023-01-02 11:45:00,13.86,13.86,13.75,13.8,241693.86967215006
2023-01-02 12:00:00,13.8,13.8,13.75,13.77,498570.2099
2023-01-02 12:15:00,13.79,13.8,13.77,13.8,550821.6348
