Date,Open,High,Low,Close,Volume
2023-01-10 17:15:00,52.02,52.99,49.0,50.32,20410980.090806726
2023-01-10 17:30:00,50.32,51.99,49.93,51.2,8948291.652371129
2023-01-10 17:45:00,51.2,51.55,49.67,50.02,7149016.896862335
2023-01-10 18:00:00,50.02,50.51,45.2,45.34,14458059.136829382
2023-01-10 18:15:00,45.34,46.45,44.3,46.41,12390398.461430283
2023-01-10 18:30:00,46.41,47.68,45.8,47.53,7525618.194303218
2023-01-10 18:45:00,47.53,48.76,47.05,48.76,5004656.385770807
2023-01-10 19:00:00,48.76,52.18,48.28,51.7,15498026.728106437
2023-01-10 19:15:00,51.96,54.95,49.55,50.24,18191149.589864098
2023-01-10 19:30:00,50.06,51.1,49.1,50.43,6229098.654361872
2023-01-10 19:45:00,50.42,50.78,49.6,49.75,3266639.734155757
2023-01-10 20:00:00,49.74,50.71,49.11,50.39,3620149.8667283203
2023-01-10 20:15:00,50.23,52.0,49.72,52.0,2186309.4154667803
2023-01-10 20:30:00,52.0,52.44,50.42,51.33,8206377.688159661
2023-01-10 20:45:00,51.3,52.01,50.67,51.17,2813319.524923567
2023-01-10 21:00:00,51.16,52.0,50.07,51.79,5052225.024722457
2023-01-10 21:15:00,51.6,51.91,50.49,51.74,2386151.1350662485
2023-01-10 21:30:00,51.74,52.6,50.89,52.55,3258534.543242881
2023-01-10 21:45:00,52.55,57.5,52.3,56.52,18516003.090259038
2023-01-10 22:00:00,56.74,57.31,55.02,56.46,14309253.589406108
2023-01-10 22:15:00,56.46,60.0,56.26,57.63,18227642.145145226
2023-01-10 22:30:00,57.63,59.9,56.33,58.28,12062477.729577594
2023-01-10 22:45:00,57.91,59.4,52.4,53.13,20086378.039693907
2023-01-10 23:00:00,53.13,54.2,51.4,52.6,14218556.530073188
2023-01-10 23:15:00,52.59,52.75,50.81,51.82,7751492.162947449
2023-01-10 23:30:00,51.8,52.76,51.26,52.59,3452789.1654299707
2023-01-10 23:45:00,52.59,52.75,51.33,51.9,6295640.453191653
2023-01-11 00:00:00,51.89,54.0,48.61,48.99,20395670.53649285
2023-01-11 00:15:00,48.96,50.65,48.79,50.27,4940341.211473674
2023-01-11 00:30:00,50.19,51.59,49.8,50.79,5901833.030298
2023-01-11 00:45:00,50.74,50.81,49.2,49.64,3489803.992942926
2023-01-11 01:00:00,49.48,49.62,46.74,47.0,7290140.1127742445
2023-01-11 01:15:00,47.0,47.33,45.56,45.78,4785814.31878218
2023-01-11 01:30:00,45.78,46.68,45.5,45.5,3514722.5586055713
2023-01-11 01:45:00,45.5,46.68,45.12,46.24,3053555.227670081
2023-01-11 02:00:00,46.19,46.24,43.9,44.2,6055391.063946468
2023-01-11 02:15:00,44.03,45.2,43.92,45.0,1533290.999243635
2023-01-11 02:30:00,45.0,45.25,44.4,44.91,1459654.1828639933
2023-01-11 02:45:00,44.92,45.26,44.49,44.49,821786.1651411686
2023-01-11 03:00:00,44.49,44.96,43.83,44.17,2013420.3852127246
2023-01-11 03:15:00,44.17,44.59,43.98,44.03,782067.411007628
2023-01-11 03:30:00,44.22,44.53,44.02,44.46,637166.1439109093
2023-01-11 03:45:00,44.26,46.52,44.21,46.24,2455903.079255282
2023-01-11 04:00:00,46.32,46.65,45.0,46.45,2011551.030690321
2023-01-11 04:15:00,46.44,46.86,46.08,46.79,746726.0676
2023-01-11 04:30:00,46.79,49.5,46.64,49.25,2008237.5864264641
2023-01-11 04:45:00,49.19,49.5,47.4,49.49,1005793.7156304764
2023-01-11 05:00:00,49.5,49.7,47.91,48.45,1264499.93883185
2023-01-11 05:15:00,48.5,48.99,48.38,48.71,520259.0395272997
2023-01-11 05:30:00,48.86,48.86,48.22,48.65,568718.3520810062
2023-01-11 05:45:00,48.49,49.2,48.27,49.2,395165.62296791526
2023-01-11 06:00:00,49.2,50.93,48.61,50.71,1756396.4897883432
2023-01-11 06:15:00,50.71,51.0,49.9,50.56,1650436.7772201556
2023-01-11 06:30:00,50.33,50.66,49.6,50.0,905747.865
2023-01-11 06:45:00,49.99,50.1,49.2,49.94,1217615.7579722432
2023-01-11 07:00:00,50.07,50.4,49.72,50.31,552004.1846
2023-01-11 07:15:00,50.31,52.49,50.3,52.4,3453529.044190255
2023-01-11 07:30:00,52.4,52.68,51.42,51.89,3297329.733715022
2023-01-11 07:45:00,52.11,52.11,50.37,50.59,1461654.9961095413
2023-01-11 08:00:00,50.56,51.54,50.5,51.3,1398517.4651819086
2023-01-11 08:15:00,51.11,51.55,50.97,51.47,1536001.7174953022
2023-01-11 08:30:00,51.3,51.59,50.91,50.91,1132823.4827149145
2023-01-11 08:45:00,50.94,51.4,50.93,51.34,994069.1741738494
2023-01-11 09:00:00,51.21,54.2,51.2,54.19,6655839.997350488
2023-01-11 09:15:00,54.25,55.37,53.45,54.46,6079868.636496268
2023-01-11 09:30:00,54.5,54.5,52.61,52.74,3705277.2794054397
2023-01-11 09:45:00,52.84,53.77,52.59,53.77,3031639.1065574177
2023-01-11 10:00:00,53.79,54.19,53.51,53.51,2715219.08065134
2023-01-11 10:15:00,53.56,54.83,53.4,54.21,4900758.591428784
2023-01-11 10:30:00,54.21,54.3,53.61,54.16,3541829.649741674
2023-01-11 10:45:00,54.16,54.42,54.06,54.16,1734047.957520175
2023-01-11 11:00:00,54.16,54.33,53.68,53.68,1347182.4386467305
2023-01-11 11:15:00,53.7,56.99,53.64,56.78,8224920.543435225
2023-01-11 11:30:00,56.77,56.77,55.2,55.54,3805734.3609509887
2023-01-11 11:45:00,55.53,55.53,53.6,54.13,3200672.3189192936
2023-01-11 12:00:00,53.91,54.2,52.21,52.79,4759667.5439721355
2023-01-11 12:15:00,52.79,52.79,51.74,52.45,3988970.506916998
2023-01-11 12:30:00,52.45,53.26,52.23,53.26,2248897.1266999533
2023-01-11 12:45:00,53.26,54.14,52.97,54.14,1224044.520183424
2023-01-11 13:00:00,54.14,54.15,53.36,53.59,2444489.978128407
2023-01-11 13:15:00,53.59,53.78,52.2,52.2,2543256.3832547474
2023-01-11 13:30:00,52.2,52.2,50.5,50.51,5805483.759406451
2023-01-11 13:45:00,50.51,51.31,48.55,49.31,6858309.729634909
2023-01-11 14:00:00,48.75,49.65,47.76,48.86,2742423.563101391
2023-01-11 14:15:00,48.55,50.76,48.55,50.18,2284450.570405955
2023-01-11 14:30:00,50.71,52.61,50.18,52.61,2683908.4484421406
2023-01-11 14:45:00,52.61,52.86,50.67,51.24,3778911.898581801
2023-01-11 15:00:00,51.25,52.06,51.25,51.94,1709073.2497508288
2023-01-11 15:15:00,51.94,52.4,50.59,51.0,2185269.2014607675
2023-01-11 15:30:00,50.66,51.26,50.0,50.54,884973.9121849926
2023-01-11 15:45:00,50.5,50.5,49.65,50.35,1570670.1622
2023-01-11 16:00:00,50.35,51.25,50.32,51.24,914347.1539858019
2023-01-11 16:15:00,51.24,52.0,51.13,51.49,1263018.3774056067
2023-01-11 16:30:00,51.5,52.0,51.5,51.88,842612.2197551214
2023-01-11 16:45:00,51.86,52.81,51.86,52.59,1835304.6088381235
2023-01-11 17:00:00,52.59,52.59,51.59,51.99,1672328.9002274305
2023-01-11 17:15:00,51.99,52.44,51.78,52.42,605848.2576723074
2023-01-11 17:30:00,52.11,58.47,52.1,58.18,16298504.178029336
2023-01-11 17:45:00,58.18,64.0,55.6,63.0,23025154.117106076
2023-01-11 18:00:00,63.92,69.9,58.98,59.63,36239530.3936914
2023-01-11 18:15:00,59.63,60.89,56.13,57.4,11699527.381078089
2023-01-11 18:30:00,57.4,62.0,57.11,60.04,10168312.546077836
2023-01-11 18:45:00,60.04,61.49,58.5,59.12,5328445.910245689
2023-01-11 19:00:00,58.9,62.69,58.52,60.2,9662116.362064872
2023-01-11 19:15:00,60.11,63.0,60.05,60.33,4686962.549943377
2023-01-11 19:30:00,60.33,60.8,58.9,60.06,5533239.7794362325
2023-01-11 19:45:00,60.0,60.0,58.83,59.83,3901364.214889709
2023-01-11 20:00:00,59.8,60.77,59.61,60.33,2863402.0715340064
2023-01-11 20:15:00,60.42,60.53,57.26,58.02,5175941.630412483
2023-01-11 20:30:00,58.02,58.37,57.2,57.5,2507787.0980265103
2023-01-11 20:45:00,57.3,58.98,57.3,58.97,1825414.7622186048
2023-01-11 21:00:00,58.97,59.4,57.54,58.35,1464519.2967846063
2023-01-11 21:15:00,58.41,58.53,56.5,56.58,3490707.449245859
2023-01-11 21:30:00,56.81,57.25,55.49,56.5,4384200.496126845
2023-01-11 21:45:00,56.71,57.22,55.4,57.14,2210817.7474254402
2023-01-11 22:00:00,57.14,58.43,56.54,58.33,1461992.1282959238
2023-01-11 22:15:00,58.43,60.0,57.0,59.53,4489382.408056877
