Date,Open,High,Low,Close,Volume
2022-01-01 09:00:00,66.1,66.33,66.01,66.28,45518.5313
2022-01-01 09:15:00,66.22,66.22,66.02,66.02,16537.3858
2022-01-01 09:30:00,66.31,66.31,66.31,66.31,21.0242
2022-01-01 09:45:00,66.33,66.33,66.2,66.2,46413.1929
2022-01-01 10:00:00,66.33,66.33,66.11,66.11,94.6947
2022-01-01 10:15:00,66.33,66.33,66.33,66.33,5510.1911
2022-01-01 10:30:00,66.21,66.42,66.21,66.42,31567.8394
2022-01-01 11:15:00,66.65,66.7,66.65,66.7,1621.3395
2022-01-01 11:30:00,66.7,66.7,66.28,66.49,1702.1276
2022-01-01 11:45:00,66.54,66.54,66.34,66.34,14576.1518
2022-01-01 12:00:00,66.34,66.44,66.34,66.44,713.0598
2022-01-01 12:15:00,66.38,66.38,66.38,66.38,3012.9558
2022-01-01 12:30:00,66.28,66.31,66.28,66.31,4601.1179
2022-01-01 12:45:00,66.37,66.37,66.31,66.31,768.8400418261263
2022-01-01 13:00:00,66.31,66.32,66.31,66.32,30150.7841
2022-01-01 13:15:00,66.18,66.18,66.18,66.18,208.3736
2022-01-01 13:30:00,66.19,66.19,66.17,66.17,11822.6329
2022-01-01 14:15:00,66.12,66.12,65.99,65.99,17367.1364
2022-01-01 14:30:00,66.17,66.43,66.17,66.43,1526.2
2022-01-01 14:45:00,66.36,66.36,66.0,66.3,4485.8011
2022-01-01 15:00:00,66.35,66.35,66.35,66.35,100.0
2022-01-01 16:15:00,66.11,66.11,66.1,66.11,96927.2597
2022-01-01 16:30:00,66.11,66.11,66.11,66.11,226.0807
2022-01-01 17:15:00,66.58,66.62,66.38,66.6,1354.2553
2022-01-01 17:30:00,66.44,66.61,66.44,66.61,353.1517
2022-01-01 17:45:00,66.36,66.37,66.36,66.37,27.23
2022-01-01 18:00:00,66.36,66.36,66.36,66.36,421.5961
2022-01-01 18:45:00,66.36,66.36,66.26,66.36,9955.2834
2022-01-01 19:00:00,66.35,66.35,66.35,66.35,5002.4955
2022-01-01 19:15:00,66.32,66.55,66.32,66.55,4345.197923471074
2022-01-01 19:30:00,66.36,66.36,66.32,66.32,7131.7396
2022-01-01 19:45:00,66.41,66.41,66.41,66.41,75.2899
2022-01-01 20:00:00,66.5,66.5,66.28,66.28,4474.4987
2022-01-01 20:15:00,66.32,66.32,66.32,66.32,1175.9247
2022-01-01 20:30:00,66.53,66.53,66.53,66.53,14.5934
2022-01-01 20:45:00,66.2,66.2,66.2,66.2,40.4447
2022-01-01 21:00:00,66.35,66.4,66.19,66.4,21851.332
2022-01-01 21:15:00,66.46,66.46,66.46,66.46,4262.7843
2022-01-01 21:30:00,66.36,66.36,66.36,66.36,135.365
2022-01-01 22:15:00,66.55,66.61,66.55,66.55,214.31866084671972
2022-01-01 23:00:00,66.4,66.64,66.4,66.62,1312.965024009604
2022-01-02 00:00:00,66.67,66.67,66.66,66.66,88.4957
2022-01-02 01:15:00,66.55,66.55,66.55,66.55,7.8651
2022-01-02 01:30:00,66.62,66.62,66.62,66.62,42.4852
2022-01-02 01:45:00,66.57,66.57,66.54,66.54,860.6581
2022-01-02 02:30:00,66.44,66.54,66.37,66.54,43079.3143
2022-01-02 03:15:00,66.74,66.74,66.56,66.56,8038.9835
2022-01-02 04:15:00,66.57,66.57,66.57,66.57,75.109
2022-01-02 07:00:00,66.61,66.61,66.61,66.61,863.0246
2022-01-02 07:15:00,66.39,66.39,66.39,66.39,33016.1973
2022-01-02 07:30:00,66.39,66.39,66.39,66.39,0.0001
2022-01-02 07:45:00,66.58,66.76,66.58,66.76,2348.7340391252246
2022-01-02 08:00:00,66.56,66.56,66.56,66.56,757.4521
2022-01-02 08:15:00,66.76,66.77,66.7,66.7,13427.4308
2022-01-02 09:00:00,66.83,66.83,66.66,66.66,43229.3336
2022-01-02 09:15:00,66.85,66.85,66.85,66.85,728.4132
2022-01-02 09:30:00,66.85,66.85,66.85,66.85,29.8242
2022-01-02 09:45:00,66.87,67.04,66.87,67.04,3551.1536
2022-01-02 10:00:00,67.04,67.04,66.83,66.83,37987.9856
2022-01-02 10:15:00,66.83,66.83,66.75,66.78,10847.6783
2022-01-02 10:30:00,66.83,66.85,66.83,66.85,2374.2178
2022-01-02 10:45:00,67.1,67.1,66.9,66.95,203.8078
2022-01-02 11:00:00,66.91,67.08,66.91,66.95,594.5359
2022-01-02 11:15:00,67.1,67.1,67.0,67.0,819.9922
2022-01-02 11:30:00,66.96,66.96,66.96,66.96,7106.0
2022-01-02 11:45:00,66.95,66.97,66.95,66.97,170.9232
2022-01-02 12:00:00,67.12,67.37,67.12,67.37,33069.122040851384
2022-01-02 12:15:00,67.37,67.38,67.02,67.3,163409.3306
2022-01-02 12:30:00,67.3,67.53,67.26,67.53,114531.7906
2022-01-02 12:45:00,67.51,67.6,67.51,67.6,8670.1545
2022-01-02 13:00:00,67.68,67.82,67.61,67.61,50421.092
2022-01-02 13:15:00,67.64,67.64,67.64,67.64,148.0
