Date,Open,High,Low,Close,Volume
2023-01-01 09:00:00,50.36,50.67,50.12,50.13,105530.34870179594
2023-01-01 09:15:00,50.5,51.02,50.44,51.02,96764.608
2023-01-01 09:30:00,50.98,51.9,50.98,51.46,56542.2154
2023-01-01 09:45:00,51.6,51.6,51.14,51.5,318096.1569
2023-01-01 10:00:00,51.74,51.75,51.4,51.71,452371.7506
2023-01-01 10:15:00,51.42,51.42,51.18,51.18,129151.5636
2023-01-01 10:30:00,51.44,51.46,51.33,51.33,41486.3615
2023-01-01 10:45:00,51.27,51.27,51.24,51.24,32858.8042
2023-01-01 12:30:00,51.21,51.22,51.1,51.22,21671.8817
2023-01-01 12:45:00,51.08,51.08,51.05,51.05,96188.2985
2023-01-01 13:30:00,51.2,51.2,51.02,51.02,222.8671
2023-01-01 13:45:00,51.19,51.19,51.01,51.01,68706.1369
2023-01-01 14:00:00,51.01,51.01,51.01,51.01,1180.6403
2023-01-01 14:15:00,51.2,51.55,51.2,51.55,265428.158
2023-01-01 14:30:00,51.49,51.49,51.38,51.38,9151.1615
2023-01-01 14:45:00,51.44,51.44,51.42,51.44,44639.5947
2023-01-01 15:00:00,51.54,51.54,51.43,51.43,20725.3884
2023-01-01 15:15:00,51.57,52.05,51.57,52.05,22795.2455
2023-01-01 15:30:00,52.05,52.13,51.88,51.98,27675.2266
2023-01-01 15:45:00,52.03,52.31,51.95,52.13,101944.178
2023-01-01 16:00:00,52.2,52.23,51.78,52.01,220798.503
2023-01-01 16:15:00,51.79,52.2,51.74,52.15,43394.2984
2023-01-01 16:30:00,52.09,52.18,52.0,52.0,97325.8986
2023-01-01 16:45:00,52.13,53.01,52.13,52.76,408658.6291
2023-01-01 17:00:00,52.67,52.91,52.38,52.43,99872.3272
2023-01-01 17:15:00,52.3,52.3,51.98,51.98,5997.231
2023-01-01 17:30:00,52.14,52.27,51.97,51.97,28209.07673777054
2023-01-01 18:15:00,51.64,52.07,51.54,51.86,332860.8659
2023-01-01 18:30:00,51.86,52.04,51.86,52.04,2246.8918
2023-01-01 18:45:00,51.99,51.99,51.86,51.86,3913.0
2023-01-01 19:30:00,51.66,51.66,51.66,51.66,6532.8867
2023-01-01 19:45:00,51.66,51.66,51.66,51.66,2358.632
2023-01-01 20:00:00,51.71,51.83,51.71,51.83,27959.9707
2023-01-01 20:15:00,51.8,51.8,51.8,51.8,3223.4543
2023-01-01 20:30:00,51.8,51.85,51.79,51.85,7339.8289
2023-01-01 21:15:00,51.85,51.85,51.85,51.85,1048.3826
2023-01-01 21:30:00,51.79,51.79,51.76,51.76,5000.0001
2023-01-01 21:45:00,51.65,51.73,51.64,51.7,47007.2954
2023-01-01 22:00:00,51.64,51.64,51.63,51.63,19434.3397
2023-01-01 22:45:00,51.08,51.08,51.08,51.08,391.0833
2023-01-01 23:00:00,51.01,51.15,51.01,51.15,46606.09581065494
2023-01-01 23:15:00,51.08,51.08,51.08,51.08,329.9377
2023-01-01 23:30:00,51.2,51.23,51.18,51.23,108372.3298
