Date,Open,High,Low,Close,Volume
2022-01-13 16:15:00,78.0,79.09,74.25,75.18,32339046.680520494
2022-01-13 16:30:00,75.18,77.77,75.17,75.7,14188035.743614865
2022-01-13 16:45:00,75.7,75.99,73.51,73.71,13015937.987153513
2022-01-13 17:00:00,73.72,75.3,73.71,74.65,7239011.7853853
2022-01-13 17:15:00,74.65,75.14,74.0,74.09,5382553.194228756
2022-01-13 17:30:00,74.11,74.35,73.07,73.08,7545545.493516629
2022-01-13 17:45:00,73.08,73.71,71.74,72.17,11832390.77747974
2022-01-13 18:00:00,72.17,73.5,72.17,72.99,5214655.553991645
2022-01-13 18:15:00,72.99,73.38,72.56,72.9,1914408.162472372
2022-01-13 18:30:00,72.96,74.79,72.77,73.72,3139838.208825566
2022-01-13 18:45:00,73.72,73.99,73.37,73.53,3136860.1644175043
2022-01-13 19:00:00,73.52,73.84,72.9,73.05,1363307.5693114705
2022-01-13 19:15:00,73.58,73.6,73.06,73.33,1197929.1248313729
2022-01-13 19:30:00,73.46,73.55,73.15,73.39,1171613.5735296751
2022-01-13 19:45:00,73.2,75.0,73.18,74.22,4898949.035374352
2022-01-13 20:00:00,74.21,74.7,73.69,74.09,3276762.266706668
2022-01-13 20:15:00,74.09,74.09,72.82,73.0,4295743.90899721
2022-01-13 20:30:00,73.0,73.31,72.83,73.31,21824557.388686176
2022-01-13 20:45:00,73.31,73.49,73.0,73.03,42893608.57960967
2022-01-13 21:00:00,73.1,73.1,71.79,72.0,49078192.504109405
2022-01-13 21:15:00,72.0,72.56,72.0,72.29,2526535.47221551
2022-01-13 21:30:00,72.29,72.42,72.07,72.36,2245106.3186014164
2022-01-13 21:45:00,72.37,72.44,70.9,71.8,4921380.473464341
2022-01-13 22:00:00,71.8,72.17,71.52,72.15,81933826.32911271
2022-01-13 22:15:00,72.06,72.96,72.06,72.5,2874709.8385361456
2022-01-13 22:30:00,72.5,72.6,72.11,72.46,907339.0339380812
2022-01-13 22:45:00,72.46,72.96,72.22,72.67,1181531.5573293667
2022-01-13 23:00:00,72.88,72.94,72.03,72.11,83640000.48190373
2022-01-13 23:15:00,72.04,72.21,71.83,72.04,19332690.861341912
2022-01-13 23:30:00,72.08,72.78,71.8,71.93,2480255.8249975108
2022-01-13 23:45:00,71.93,72.48,71.8,72.3,1772168.3348800791
2022-01-14 00:00:00,72.32,72.92,71.61,72.76,5580867.605271785
2022-01-14 00:15:00,72.41,72.93,69.75,69.78,11041134.010357741
2022-01-14 00:30:00,69.78,69.86,69.0,69.5,4053620.834577075
2022-01-14 00:45:00,69.4,69.73,69.04,69.72,1440528.1639904927
2022-01-14 01:00:00,69.72,70.37,69.32,70.24,1506049.9918369595
2022-01-14 01:15:00,70.22,70.23,69.72,69.88,657546.5377131914
2022-01-14 01:30:00,69.89,70.07,69.66,69.97,511613.68351421435
2022-01-14 01:45:00,69.67,69.97,68.94,68.94,1122458.8169451987
2022-01-14 02:00:00,69.14,69.14,68.0,68.2,2234310.0718145664
2022-01-14 02:15:00,68.23,68.52,68.2,68.51,644020.0773520467
2022-01-14 02:30:00,68.51,69.0,68.36,68.63,603314.375470445
2022-01-14 02:45:00,68.92,68.92,68.33,68.36,321538.2836825091
2022-01-14 03:00:00,68.8,69.0,68.34,68.89,330892.791913633
2022-01-14 03:15:00,68.95,68.95,68.54,68.55,353200.93402958254
2022-01-14 03:30:00,68.54,69.08,68.47,68.87,284270.14582435566
2022-01-14 03:45:00,68.91,69.61,68.9,69.24,253267.24157564438
2022-01-14 04:00:00,69.5,70.21,68.93,69.5,345155.89653400605
2022-01-14 04:15:00,69.51,69.51,69.15,69.15,126080.48984383364
2022-01-14 04:30:00,69.15,69.5,68.98,69.23,249451.07397549288
2022-01-14 04:45:00,69.23,69.49,68.9,69.46,280884.45469579793
2022-01-14 05:00:00,69.04,69.44,68.53,68.53,243178.5798
2022-01-14 05:15:00,68.79,69.0,68.54,68.66,359572.4751869565
2022-01-14 05:30:00,69.0,69.31,68.6,69.22,501980.68066425994
