Date,Open,High,Low,Close,Volume
2022-01-01 09:00:00,33.96,34.05,33.79,34.05,166808.5832387353
2022-01-01 09:15:00,33.85,34.04,33.55,33.9,925769.6381510837
2022-01-01 09:30:00,33.9,33.9,33.69,33.7,62158.3305
2022-01-01 09:45:00,33.7,34.01,33.7,34.01,119273.72487398998
2022-01-01 10:00:00,34.01,34.01,33.5,33.5,543009.805018163
2022-01-01 10:15:00,33.7,33.7,33.47,33.49,302716.9952
2022-01-01 10:30:00,33.5,33.84,33.43,33.83,493645.0066761905
2022-01-01 10:45:00,33.62,33.82,33.38,33.81,477376.0916
2022-01-01 11:00:00,33.81,33.84,33.36,33.36,462932.6004
2022-01-01 11:15:00,33.37,33.7,33.35,33.68,956862.5409
2022-01-01 11:30:00,33.67,33.69,33.44,33.6,141258.18
2022-01-01 11:45:00,33.6,33.66,33.52,33.66,74269.3913
2022-01-01 12:00:00,33.66,33.77,33.53,33.6,171935.43768677526
2022-01-01 12:15:00,33.7,33.7,33.54,33.69,55784.1213
2022-01-01 12:30:00,33.56,33.69,33.46,33.69,172875.4634
2022-01-01 12:45:00,33.62,33.66,33.47,33.64,107149.62809497386
2022-01-01 13:00:00,33.64,33.66,33.54,33.66,305850.056968639
2022-01-01 13:15:00,33.66,33.66,33.47,33.6,191635.5285
2022-01-01 13:30:00,33.6,33.65,33.57,33.62,49256.7595820208
2022-01-01 13:45:00,33.65,33.65,33.47,33.47,221385.6952
2022-01-01 14:00:00,33.65,33.65,33.61,33.61,8945.761350222883
2022-01-01 14:15:00,33.61,33.78,33.61,33.78,313020.00802000886
2022-01-01 14:30:00,33.72,33.91,33.72,33.88,165046.02779388803
2022-01-01 14:45:00,33.88,33.89,33.88,33.88,148513.7342220779
2022-01-01 15:00:00,33.75,33.88,33.69,33.7,522480.556
2022-01-01 15:15:00,33.69,33.83,33.36,33.55,1118692.680579991
2022-01-01 15:30:00,33.67,33.73,33.4,33.61,108013.57211557402
2022-01-01 15:45:00,33.79,33.79,33.63,33.76,45424.4753
2022-01-01 16:00:00,33.78,33.78,33.62,33.77,29274.1018
2022-01-01 16:15:00,33.64,33.78,33.62,33.64,845095.665
2022-01-01 16:30:00,33.76,33.77,33.61,33.61,184741.0378
2022-01-01 16:45:00,33.76,33.86,33.58,33.78,312652.7517
2022-01-01 17:00:00,33.61,33.78,33.6,33.65,132104.9224
2022-01-01 17:15:00,33.79,33.91,33.65,33.91,489275.609
2022-01-01 17:30:00,33.91,34.63,33.91,34.01,820500.6174262647
2022-01-01 17:45:00,34.0,34.17,34.0,34.17,89579.9732
2022-01-01 18:00:00,34.0,34.17,33.86,33.86,58241.974
2022-01-01 18:15:00,34.09,34.18,33.91,34.14,89282.72035008777
2022-01-01 18:30:00,33.94,34.14,33.94,33.94,302766.4755
2022-01-01 18:45:00,33.93,34.15,33.73,34.15,162416.7809020205
2022-01-01 19:00:00,34.14,34.15,33.92,33.92,103848.317545356
2022-01-01 19:15:00,34.13,34.14,34.12,34.12,109522.4767407147
2022-01-01 19:30:00,33.95,34.09,33.86,33.86,221261.3153
2022-01-01 19:45:00,33.91,34.04,33.8,33.85,243983.62849991184
2022-01-01 20:00:00,33.85,34.24,33.8,34.23,801463.6225
2022-01-01 20:15:00,34.03,34.24,33.79,34.14,586693.230796802
2022-01-01 20:30:00,34.01,34.1,33.91,33.91,59963.313462785925
2022-01-01 20:45:00,34.1,34.1,34.08,34.09,33933.0069287729
2022-01-01 21:00:00,34.08,34.09,34.08,34.09,65367.5861
2022-01-01 21:15:00,33.97,34.04,33.91,33.93,26162.719
2022-01-01 21:30:00,33.94,34.07,33.91,33.91,386487.9258
2022-01-01 21:45:00,33.86,34.0,33.84,33.91,89455.194
2022-01-01 22:00:00,33.91,34.04,33.89,34.04,137482.27001139836
2022-01-01 22:15:00,33.98,34.05,33.94,34.04,302882.98868860165
2022-01-01 22:30:00,34.04,34.1,33.97,33.97,129937.7155837289
2022-01-01 22:45:00,34.1,34.1,33.91,33.91,59886.2127
2022-01-01 23:00:00,33.91,34.14,33.9,34.14,377098.57179419737
2022-01-01 23:15:00,34.14,34.2,33.85,33.85,601432.6682188379
2022-01-01 23:30:00,33.86,34.03,33.86,34.03,540555.979625793
2022-01-01 23:45:00,34.03,34.38,33.96,34.11,225011.3250524725
2022-01-02 00:00:00,34.18,35.31,33.78,34.17,3952172.557608008
2022-01-02 00:15:00,34.14,34.19,33.77,34.19,990844.378190613
2022-01-02 00:30:00,34.2,37.82,34.2,35.0,19725543.657485727
2022-01-02 00:45:00,34.99,35.0,34.6,34.94,1929861.7419144849
2022-01-02 01:00:00,35.0,35.16,34.75,35.0,1614624.668771482
2022-01-02 01:15:00,34.93,35.21,34.75,35.21,1468288.3510113193
2022-01-02 01:30:00,35.21,35.25,34.94,35.1,572016.7556932183
2022-01-02 01:45:00,35.19,35.92,34.84,35.92,731470.8733257909
2022-01-02 02:00:00,35.92,36.5,34.83,35.5,1866622.5816027126
2022-01-02 02:15:00,35.69,35.69,35.49,35.51,592374.1881041648
2022-01-02 02:30:00,35.51,35.67,35.51,35.67,157351.57460475047
2022-01-02 02:45:00,35.66,35.7,35.66,35.66,591946.114327511
2022-01-02 03:00:00,35.5,36.21,35.5,36.21,724205.2946439775
2022-01-02 03:15:00,36.1,36.2,35.42,35.42,255991.7488
2022-01-02 03:30:00,35.4,35.6,35.35,35.6,260580.6509
2022-01-02 03:45:00,35.62,36.4,35.62,35.97,494173.3919128846
2022-01-02 04:00:00,36.2,36.29,35.5,35.79,423554.0904576977
2022-01-02 04:15:00,35.8,35.92,35.8,35.92,209423.0115
2022-01-02 04:30:00,35.95,36.1,35.92,36.05,29693.71387586685
2022-01-02 04:45:00,36.04,36.1,36.04,36.1,38646.39092413315
2022-01-02 05:00:00,36.12,36.16,35.88,36.08,131840.81173311023
2022-01-02 05:15:00,35.97,35.97,35.53,35.68,226102.43245696413
2022-01-02 05:30:00,35.67,35.93,35.67,35.67,148885.6180462566
2022-01-02 05:45:00,35.68,35.9,35.53,35.53,220777.9935873746
2022-01-02 06:00:00,35.52,35.61,35.5,35.5,65099.3448
2022-01-02 06:15:00,35.52,35.69,35.52,35.55,40785.9921
2022-01-02 06:30:00,35.55,35.55,35.27,35.28,295921.0228
2022-01-02 06:45:00,35.28,35.5,35.26,35.26,129742.3493
2022-01-02 07:00:00,35.25,35.76,35.1,35.76,259849.9297
2022-01-02 07:15:00,35.8,35.89,35.48,35.86,372752.8108502932
2022-01-02 07:30:00,35.85,36.01,35.69,35.89,478156.2080093919
2022-01-02 07:45:00,35.87,35.91,35.5,35.7,779688.9215
2022-01-02 08:00:00,35.61,35.7,35.35,35.59,469274.137
2022-01-02 08:15:00,35.36,35.59,35.0,35.51,628387.1144757514
2022-01-02 08:30:00,35.49,35.51,35.16,35.51,337989.73618959275
2022-01-02 08:45:00,35.46,35.76,35.15,35.37,700803.0076962978
2022-01-02 09:00:00,35.52,36.4,35.15,35.52,1588449.1307508468
2022-01-02 09:15:00,35.3,35.49,35.2,35.21,330310.1474145384
2022-01-02 09:30:00,35.22,35.51,35.17,35.33,1184249.0172
2022-01-02 09:45:00,35.5,35.61,35.21,35.21,414435.5359
2022-01-02 10:00:00,35.25,35.6,35.16,35.3,398115.5200116702
2022-01-02 10:15:00,35.27,35.59,35.27,35.31,785922.1014010897
2022-01-02 10:30:00,35.27,35.32,35.18,35.32,1091923.2162
2022-01-02 10:45:00,35.32,35.68,35.2,35.4,896049.3227298615
2022-01-02 11:00:00,35.42,35.69,35.42,35.69,328607.10140561796
2022-01-02 11:15:00,35.7,35.95,35.52,35.75,576806.8170132329
2022-01-02 11:30:00,35.75,36.43,35.69,36.2,836600.7047686039
2022-01-02 11:45:00,36.21,36.41,36.03,36.08,1674654.8631867499
2022-01-02 12:00:00,36.08,36.27,36.0,36.27,881611.9751499724
2022-01-02 12:15:00,36.27,36.5,36.14,36.49,1321178.0256977724
2022-01-02 12:30:00,36.33,38.1,36.33,38.0,14377193.297645751
2022-01-02 12:45:00,38.0,38.1,36.74,36.8,8615613.83323942
2022-01-02 13:00:00,36.8,37.24,36.08,36.14,4546075.253250568
2022-01-02 13:15:00,36.5,36.62,36.01,36.3,2835435.3762849034
2022-01-02 13:30:00,36.4,36.7,36.31,36.5,1139612.749640105
2022-01-02 13:45:00,36.5,36.59,36.24,36.51,1091090.7932957525
2022-01-02 14:00:00,36.51,36.7,36.23,36.39,1824443.7826392113
2022-01-02 14:15:00,36.38,36.61,36.22,36.61,913925.9178142124
2022-01-02 14:30:00,36.62,36.95,36.49,36.79,793631.0935861839
2022-01-02 14:45:00,36.79,36.9,36.7,36.86,430185.69583126885
2022-01-02 15:00:00,36.72,36.86,36.39,36.69,1077730.5329953097
2022-01-02 15:15:00,36.69,36.83,36.54,36.73,557050.281823079
2022-01-02 15:30:00,36.75,36.9,36.7,36.9,492238.4127339593
2022-01-02 15:45:00,36.89,36.9,36.7,36.85,236074.6424
2022-01-02 16:00:00,36.84,36.85,36.56,36.64,721744.6072432555
2022-01-02 16:15:00,36.57,36.66,36.3,36.52,1363963.7727793665
2022-01-02 16:30:00,36.48,36.5,36.12,36.19,1956994.4209
2022-01-02 16:45:00,36.19,36.29,36.0,36.0,1581952.022188372
2022-01-02 17:00:00,36.0,36.0,35.5,35.74,1621852.6668552572
