date,open,high,low,close,volume
2024-01-01 09:00:00,5.95,5.95,5.93,5.94,2146432.68807656
2024-01-01 09:15:00,5.93,5.95,5.93,5.94,2906787.39057829
2024-01-01 09:30:00,5.94,5.97,5.94,5.97,3617654.68828274
2024-01-01 09:45:00,5.98,5.99,5.96,5.98,5302190.0714062
2024-01-01 10:00:00,5.98,5.98,5.97,5.97,1951539.27269161
2024-01-01 10:15:00,5.96,5.96,5.94,5.96,2481386.39688919
2024-01-01 10:30:00,5.95,5.96,5.94,5.95,5420012.72218731
2024-01-01 10:45:00,5.95,6.06,5.95,6.0,17105820.57779215
2024-01-01 11:00:00,6.01,6.03,6.0,6.02,3292385.10456087
2024-01-01 11:15:00,6.01,6.02,6.0,6.01,692154.24872577
2024-01-01 11:30:00,6.01,6.02,6.0,6.0,1505084.94574608
2024-01-01 11:45:00,6.0,6.01,6.0,6.01,1488501.78957154
2024-01-01 12:00:00,6.01,6.02,6.0,6.0,3442141.29362229
2024-01-01 12:15:00,6.0,6.0,5.99,5.99,3530819.89245021
2024-01-01 12:30:00,5.98,5.99,5.96,5.96,4384164.48049075
2024-01-01 12:45:00,5.97,5.97,5.91,5.95,9291440.80541753
2024-01-01 13:00:00,5.95,5.95,5.93,5.95,2758188.85211498
2024-01-01 13:15:00,5.95,5.95,5.93,5.93,5211967.00499812
2024-01-01 13:30:00,5.92,5.94,5.92,5.94,3266493.58068878
2024-01-01 13:45:00,5.94,5.94,5.92,5.93,3525740.20962737
2024-01-01 14:00:00,5.93,5.94,5.92,5.92,1105700.47704555
2024-01-01 14:15:00,5.92,5.95,5.92,5.94,2248990.67110122
2024-01-01 14:30:00,5.94,5.94,5.93,5.94,620565.33136577
2024-01-01 14:45:00,5.94,5.94,5.91,5.92,4637021.83277441
2024-01-01 15:00:00,5.91,5.92,5.87,5.9,13065259.55513159
2024-01-01 15:15:00,5.9,5.93,5.9,5.93,1534442.11565545
2024-01-01 15:30:00,5.93,5.94,5.93,5.94,243557.99308073
2024-01-01 15:45:00,5.93,5.93,5.91,5.93,1667591.60514921
2024-01-01 16:00:00,5.93,5.93,5.89,5.93,6217134.33131095
2024-01-01 16:15:00,5.92,5.92,5.89,5.91,3088197.52350239
2024-01-01 16:30:00,5.91,5.93,5.89,5.93,2516249.74216872
2024-01-01 16:45:00,5.92,5.92,5.9,5.91,1626750.8113806
2024-01-01 17:00:00,5.91,5.91,5.89,5.89,1973782.15158704
2024-01-01 17:15:00,5.89,5.9,5.89,5.9,660155.15196845
2024-01-01 17:30:00,5.9,5.95,5.89,5.95,5782991.19127549
2024-01-01 17:45:00,5.94,5.95,5.92,5.93,1907186.61210809
2024-01-01 18:00:00,5.94,5.94,5.91,5.92,2091108.34446994
2024-01-01 18:15:00,5.92,5.93,5.91,5.92,1512931.122078
2024-01-01 18:30:00,5.92,5.92,5.9,5.92,3763875.97805391
2024-01-01 18:45:00,5.92,5.93,5.92,5.92,1465867.41899266
2024-01-01 19:00:00,5.92,5.93,5.92,5.93,2251189.40690674
2024-01-01 19:15:00,5.92,5.95,5.91,5.92,7361500.08589343
2024-01-01 19:30:00,5.92,5.93,5.92,5.92,298628.57173754
2024-01-01 19:45:00,5.93,5.99,5.93,5.97,8868077.13700371
2024-01-01 20:00:00,5.96,5.97,5.95,5.97,2740991.42737568
2024-01-01 20:15:00,5.96,5.97,5.95,5.95,2949488.23046374
2024-01-01 20:30:00,5.95,5.95,5.95,5.95,945817.18686351
2024-01-01 20:45:00,5.94,5.96,5.94,5.96,520758.91295009
2024-01-01 21:00:00,5.95,5.96,5.94,5.94,907159.90497956
2024-01-01 21:15:00,5.95,5.96,5.94,5.94,1054609.80890368
2024-01-01 21:30:00,5.96,5.96,5.94,5.95,381985.77466533
2024-01-01 21:45:00,5.95,5.95,5.94,5.94,400757.88827229
2024-01-01 22:00:00,5.94,5.94,5.93,5.93,516898.79155209
2024-01-01 22:15:00,5.93,5.94,5.93,5.94,1284571.21268476
2024-01-01 22:30:00,5.94,5.95,5.94,5.95,463652.00768116
2024-01-01 22:45:00,5.94,5.95,5.94,5.95,1457694.43616015
2024-01-01 23:00:00,5.95,5.95,5.92,5.92,2305509.90657158
2024-01-01 23:15:00,5.94,5.94,5.93,5.93,770585.65954886
2024-01-01 23:30:00,5.93,5.93,5.92,5.92,1798029.17698411
2024-01-01 23:45:00,5.92,5.93,5.92,5.92,2314889.18673959
2024-01-02 00:00:00,5.92,5.94,5.91,5.94,801548.28496914
2024-01-02 00:15:00,5.93,5.94,5.91,5.91,8442787.12502574
2024-01-02 00:30:00,5.9,5.94,5.9,5.93,7146286.6087666
2024-01-02 00:45:00,5.93,5.93,5.92,5.92,2619174.56980894
2024-01-02 01:00:00,5.93,5.96,5.89,5.93,10944840.32237908
2024-01-02 01:15:00,5.95,5.95,5.91,5.91,3327169.61099331
2024-01-02 01:30:00,5.92,5.94,5.92,5.94,1455854.88360929
2024-01-02 01:45:00,5.93,5.94,5.93,5.93,1147885.00656129
2024-01-02 02:00:00,5.92,5.93,5.92,5.92,1700391.10828216
2024-01-02 02:15:00,5.92,5.94,5.92,5.93,878434.99219433
2024-01-02 02:30:00,5.94,5.94,5.94,5.94,344507.18291945
2024-01-02 02:45:00,5.94,5.94,5.93,5.94,167385.15548622
2024-01-02 03:00:00,5.93,5.94,5.92,5.92,1903144.00437084
2024-01-02 03:15:00,5.92,5.93,5.9,5.93,7408961.40920463
2024-01-02 03:30:00,5.93,5.96,5.93,5.94,4234148.09203439
2024-01-02 03:45:00,5.95,5.95,5.95,5.95,492947.5704582
2024-01-02 04:00:00,5.96,5.96,5.95,5.95,820212.10310227
2024-01-02 04:15:00,5.95,5.96,5.93,5.95,890495.49861717
2024-01-02 04:30:00,5.95,5.95,5.94,5.94,662750.51595903
2024-01-02 04:45:00,5.94,5.95,5.94,5.95,3411211.33469264
2024-01-02 05:00:00,5.95,5.95,5.94,5.94,3989047.00426808
2024-01-02 05:15:00,5.94,5.96,5.94,5.96,548717.28098744
2024-01-02 05:30:00,5.95,5.96,5.95,5.96,1965264.84862885
2024-01-02 05:45:00,5.95,5.96,5.95,5.96,922516.32327185
2024-01-02 06:00:00,5.95,5.96,5.95,5.96,733337.93779977
2024-01-02 06:15:00,5.96,5.96,5.95,5.96,430378.12714684
2024-01-02 06:30:00,5.96,5.96,5.96,5.96,2041337.69314702
2024-01-02 06:45:00,5.96,5.97,5.95,5.97,403805.98320925
2024-01-02 07:00:00,5.96,5.97,5.95,5.96,803906.821562
2024-01-02 07:15:00,5.96,5.97,5.95,5.97,1611585.8980334
2024-01-02 07:30:00,5.97,5.99,5.95,5.95,5242153.24917596
2024-01-02 07:45:00,5.96,5.97,5.96,5.96,994180.70842373
2024-01-02 08:00:00,5.96,5.97,5.96,5.96,2658619.41977882
2024-01-02 08:15:00,5.96,5.97,5.95,5.97,3445706.56773026
2024-01-02 08:30:00,5.97,5.98,5.96,5.96,5530803.25908148
2024-01-02 08:45:00,5.97,5.98,5.95,5.97,9888275.47836196
2024-01-02 09:00:00,5.97,5.99,5.96,5.98,21867232.61353539
2024-01-02 09:15:00,5.98,6.0,5.96,5.99,21788442.34071555
2024-01-02 09:30:00,6.0,6.0,5.98,5.98,5299596.58424193
2024-01-02 09:45:00,5.98,5.99,5.97,5.99,2849448.03826483
2024-01-02 10:00:00,5.99,6.01,5.98,6.0,11848617.88582006
2024-01-02 10:15:00,6.0,6.01,5.98,6.0,6772520.69651728
2024-01-02 10:30:00,6.0,6.0,5.98,5.99,4540352.62807716
2024-01-02 10:45:00,5.99,6.0,5.98,6.0,4332057.85298239
2024-01-02 11:00:00,6.0,6.01,5.99,6.0,10491727.80167618
2024-01-02 11:15:00,6.01,6.01,5.98,5.98,4372590.2935141
2024-01-02 11:30:00,5.99,6.01,5.98,6.01,2396900.27452675
2024-01-02 11:45:00,6.0,6.0,5.98,5.99,1631762.54105206
2024-01-02 12:00:00,5.99,6.01,5.98,5.99,7501174.16108791
2024-01-02 12:15:00,5.99,6.01,5.98,6.01,16046577.59814307
2024-01-02 12:30:00,6.0,6.01,5.99,5.99,5486969.97036239
2024-01-02 12:45:00,5.99,6.03,5.99,6.03,11786592.73845877
2024-01-02 13:00:00,6.02,6.03,6.0,6.01,1651141.20225771
2024-01-02 13:15:00,6.0,6.01,5.99,6.0,5417264.99536107
2024-01-02 13:30:00,5.99,6.0,5.99,5.99,3146651.6282398
2024-01-02 13:45:00,5.99,6.0,5.98,5.98,1819478.56234105
2024-01-02 14:00:00,5.99,6.01,5.99,6.0,2159627.58990419
2024-01-02 14:15:00,6.0,6.0,5.99,5.99,5491870.20665088
2024-01-02 14:30:00,5.99,6.02,5.99,6.02,2553506.3546493
2024-01-02 14:45:00,6.02,6.02,6.0,6.01,3096446.4010862
2024-01-02 15:00:00,6.02,6.03,6.01,6.01,1950297.50997147
2024-01-02 15:15:00,6.02,6.03,6.01,6.01,2941323.85637177
2024-01-02 15:30:00,6.01,6.02,6.01,6.02,3498196.44788466
2024-01-02 15:45:00,6.02,6.02,6.01,6.01,10323858.03620252
2024-01-02 16:00:00,6.01,6.01,6.0,6.01,2868036.68073568
2024-01-02 16:15:00,6.01,6.02,6.01,6.02,2483983.91455165
2024-01-02 16:30:00,6.02,6.03,6.01,6.03,1048155.25978396
2024-01-02 16:45:00,6.03,6.05,6.03,6.05,9700512.27557915
2024-01-02 17:00:00,6.04,6.05,6.03,6.03,3173066.31584414
2024-01-02 17:15:00,6.04,6.04,6.03,6.03,2783258.38792407
2024-01-02 17:30:00,6.03,6.04,6.01,6.02,7976120.65166845
2024-01-02 17:45:00,6.02,6.03,6.01,6.03,3479811.07824579
2024-01-02 18:00:00,6.03,6.05,6.02,6.05,2788207.2811963
2024-01-02 18:15:00,6.04,6.06,6.03,6.05,8204626.48857483
2024-01-02 18:30:00,6.05,6.05,6.03,6.05,2916958.44002697
2024-01-02 18:45:00,6.05,6.05,6.01,6.02,6267391.60517756
2024-01-02 19:00:00,6.03,6.06,6.02,6.04,5651817.75088481
2024-01-02 19:15:00,6.04,6.14,6.04,6.13,42861581.61950091
2024-01-02 19:30:00,6.13,6.16,6.06,6.12,25385916.10080555
2024-01-02 19:45:00,6.13,6.14,6.11,6.12,5204419.86119758
2024-01-02 20:00:00,6.12,6.13,6.09,6.1,7771946.4166643
2024-01-02 20:15:00,6.1,6.1,6.06,6.07,11754181.72823882
2024-01-02 20:30:00,6.07,6.07,6.06,6.06,8021452.96255755
2024-01-02 20:45:00,6.07,6.07,6.05,6.07,10701693.32706082
2024-01-02 21:00:00,6.07,6.1,6.06,6.09,3245513.74833479
2024-01-02 21:15:00,6.09,6.11,6.07,6.08,5172500.40517136
2024-01-02 21:30:00,6.08,6.1,6.07,6.08,3653275.81677524
2024-01-02 21:45:00,6.09,6.11,6.08,6.08,2875538.13275604
2024-01-02 22:00:00,6.08,6.1,6.08,6.08,4874495.19123365
2024-01-02 22:15:00,6.08,6.14,6.07,6.13,12011440.42441036
2024-01-02 22:30:00,6.13,6.16,6.13,6.14,16457799.5404734
2024-01-02 22:45:00,6.14,6.17,6.11,6.12,18678009.39667168
2024-01-02 23:00:00,6.12,6.16,6.12,6.16,1207832.43003114
2024-01-02 23:15:00,6.15,6.16,6.12,6.15,5452040.45477612
2024-01-02 23:30:00,6.15,6.19,6.14,6.19,14510158.89742881
2024-01-02 23:45:00,6.17,6.19,6.14,6.14,18070887.60249092
