Date,Open,High,Low,Close,Volume
2023-01-01 09:00:00,28.28,28.28,28.28,28.28,32437.564
2023-01-01 09:15:00,28.29,28.29,28.17,28.17,15208.514590381896
2023-01-01 09:30:00,28.21,28.6,28.15,28.6,207070.99364115912
2023-01-01 09:45:00,28.59,28.59,28.3,28.3,197004.6413
2023-01-01 10:00:00,28.3,28.3,28.08,28.3,158927.9987
2023-01-01 10:15:00,28.34,28.6,28.34,28.6,230183.27010659434
2023-01-01 10:30:00,28.6,28.76,28.41,28.67,929205.4261953147
2023-01-01 10:45:00,28.67,28.67,28.39,28.63,507078.2687393415
2023-01-01 11:00:00,28.7,28.78,28.58,28.65,659566.34
2023-01-01 11:15:00,28.65,28.65,28.57,28.65,63160.0721
2023-01-01 11:30:00,28.71,28.96,28.64,28.8,402285.9092
2023-01-01 11:45:00,28.95,29.39,28.78,29.12,2642949.6357115945
2023-01-01 12:00:00,29.29,29.39,28.63,29.14,3174662.580204541
2023-01-01 12:15:00,29.11,29.14,28.6,28.93,2345645.4993
2023-01-01 12:30:00,28.74,28.74,28.31,28.34,699294.3145
2023-01-01 12:45:00,28.34,28.71,28.34,28.6,312371.0048
2023-01-01 13:00:00,28.58,28.8,28.57,28.66,65677.9775
2023-01-01 13:15:00,28.82,28.82,28.34,28.52,328637.5289
2023-01-01 13:30:00,28.57,28.59,28.35,28.35,402239.4404
2023-01-01 13:45:00,28.36,28.36,28.3,28.34,381662.1575
2023-01-01 14:00:00,28.34,28.46,28.3,28.43,13139.9657
2023-01-01 14:15:00,28.31,28.42,28.27,28.28,35254.3854
2023-01-01 14:30:00,28.29,28.41,27.93,27.93,1084716.5448
2023-01-01 14:45:00,27.92,28.36,27.91,28.36,180215.2161
2023-01-01 15:00:00,28.15,28.15,27.92,28.04,202886.1810350927
2023-01-01 15:15:00,28.03,28.11,28.03,28.11,160162.4275
2023-01-01 15:30:00,27.99,28.86,27.95,28.76,1242120.8424190874
2023-01-01 15:45:00,28.76,28.81,28.28,28.48,367212.9437
2023-01-01 16:00:00,28.37,28.56,27.97,28.16,236120.0893
2023-01-01 16:15:00,28.16,28.2,27.97,28.2,181025.267
2023-01-01 16:30:00,28.14,28.15,28.13,28.14,86028.1775
2023-01-01 16:45:00,28.27,28.29,28.12,28.12,61699.951
2023-01-01 17:00:00,28.03,28.21,27.99,27.99,166222.4273
2023-01-01 17:15:00,28.13,28.15,27.97,27.98,190126.1643
2023-01-01 17:30:00,27.98,28.13,27.98,27.98,54349.571171382864
2023-01-01 17:45:00,27.98,28.14,27.97,28.14,284646.6181
2023-01-01 18:00:00,28.0,28.15,28.0,28.07,35860.4802
2023-01-01 18:15:00,28.16,28.21,28.06,28.06,78414.2108
2023-01-01 18:30:00,28.05,28.09,27.92,28.09,357398.2983
2023-01-01 18:45:00,28.14,28.56,27.9,27.9,637210.7964
2023-01-01 19:00:00,27.92,28.05,27.91,28.0,28851.2032
2023-01-01 19:15:00,27.97,28.15,27.92,28.15,234241.0773
2023-01-01 19:30:00,28.15,28.15,28.1,28.15,2109.9781
2023-01-01 19:45:00,28.15,28.27,28.15,28.22,8366.3521
2023-01-01 20:00:00,28.17,28.17,28.15,28.15,44.5011
2023-01-01 20:15:00,28.15,28.17,28.15,28.17,21.4989
2023-01-01 20:30:00,28.22,28.28,28.1,28.28,91190.9152
2023-01-01 21:15:00,28.05,28.27,28.04,28.27,58379.8417
2023-01-01 21:30:00,28.26,28.27,28.26,28.27,3570.0345
