Date,Open,High,Low,Close,Volume
2023-11-27 16:15:00,26.0,26.73,25.54,25.95,20393871.57959321
2023-11-27 16:30:00,25.95,25.99,25.48,25.87,10865304.8021974
2023-11-27 16:45:00,25.82,26.12,25.64,25.99,4940552.17753789
2023-11-27 17:00:00,25.87,26.17,25.87,26.1,2761790.53264729
2023-11-27 17:15:00,26.1,26.1,25.89,26.04,1321058.51675732
2023-11-27 17:30:00,26.07,26.21,25.75,25.76,3108426.39448002
2023-11-27 17:45:00,25.75,25.75,25.5,25.68,2463765.62497071
2023-11-27 18:00:00,25.67,25.85,25.51,25.85,1260249.15907505
2023-11-27 18:15:00,25.85,26.03,25.67,26.03,694167.4588
2023-11-27 18:30:00,26.03,26.16,25.98,26.16,681921.17602237
2023-11-27 18:45:00,26.08,26.45,26.08,26.25,941046.75815704
2023-11-27 19:00:00,26.25,26.33,25.52,25.6,1403621.37525299
2023-11-27 19:15:00,25.62,25.64,25.3,25.44,1299784.1594
2023-11-27 19:30:00,25.45,25.48,25.14,25.17,2972137.9346
2023-11-27 19:45:00,25.18,25.23,24.66,24.88,3660213.84836753
2023-11-27 20:00:00,24.88,25.09,24.67,24.72,1465494.4681
2023-11-27 20:15:00,24.73,24.93,24.7,24.93,899446.51484743
2023-11-27 20:30:00,24.84,24.97,24.61,24.9,3841896.98485338
2023-11-27 20:45:00,24.96,25.03,24.83,24.91,1370235.5344113
2023-11-27 21:00:00,24.91,25.19,24.84,25.17,679046.71580573
2023-11-27 21:15:00,25.1,25.14,24.86,24.86,673439.98196007
2023-11-27 21:30:00,24.94,24.98,24.75,24.77,1081184.2013
2023-11-27 21:45:00,24.82,25.31,24.79,25.17,816634.09212145
2023-11-27 22:00:00,25.09,25.13,24.98,25.03,647915.9172488
2023-11-27 22:15:00,25.03,25.15,24.9,25.13,547762.31880009
2023-11-27 22:30:00,25.13,25.13,24.88,24.88,580505.52432766
2023-11-27 22:45:00,24.92,25.08,24.86,25.08,1149872.00619686
2023-11-27 23:00:00,25.06,25.06,24.76,24.84,593556.97923333
2023-11-27 23:15:00,24.76,24.83,24.57,24.61,1302950.13687358
2023-11-27 23:30:00,24.64,24.74,24.5,24.74,928965.31195134
2023-11-27 23:45:00,24.7,24.75,24.62,24.73,760222.2898
2023-11-28 00:00:00,24.69,25.0,24.69,24.82,526985.62880423
2023-11-28 00:15:00,24.97,25.18,24.89,25.15,1029338.79426721
2023-11-28 00:30:00,25.15,25.17,24.8,25.0,1595675.53168194
2023-11-28 00:45:00,25.0,25.07,24.68,24.73,662248.41636854
2023-11-28 01:00:00,24.75,24.98,24.75,24.98,479461.2428
2023-11-28 01:15:00,24.99,25.05,24.94,24.97,165119.5731
2023-11-28 01:30:00,25.08,25.11,24.98,25.09,338181.1912
2023-11-28 01:45:00,25.07,25.09,24.98,25.04,722695.5863
2023-11-28 02:00:00,25.05,25.08,24.99,25.08,63687.0792606
2023-11-28 02:15:00,25.02,25.02,24.9,24.98,883402.4191
2023-11-28 02:30:00,24.95,24.98,24.85,24.89,323059.2182
2023-11-28 02:45:00,24.89,24.89,24.73,24.74,50887.9577
2023-11-28 03:00:00,24.7,24.7,24.67,24.68,513225.0187
2023-11-28 03:15:00,24.71,24.86,24.71,24.75,564214.5015
2023-11-28 03:30:00,24.72,24.73,24.64,24.67,253509.89092931
2023-11-28 03:45:00,24.67,24.78,24.5,24.5,934999.4429
2023-11-28 04:00:00,24.55,24.55,24.39,24.41,331886.0748
2023-11-28 04:15:00,24.5,24.51,24.43,24.5,168686.70713602
2023-11-28 04:30:00,24.51,24.51,24.3,24.34,185275.8593
2023-11-28 04:45:00,24.3,24.43,24.13,24.37,425107.9523
2023-11-28 05:00:00,24.38,24.43,24.37,24.37,319698.41426557
2023-11-28 05:15:00,24.35,24.45,24.26,24.26,378217.9165
2023-11-28 05:30:00,24.2,24.23,24.06,24.16,1956312.2618
2023-11-28 05:45:00,24.13,24.21,24.13,24.15,210242.0797
2023-11-28 06:00:00,24.22,24.32,24.16,24.27,120319.437
2023-11-28 06:15:00,24.35,24.43,24.34,24.35,172275.9557
2023-11-28 06:30:00,24.43,24.43,24.35,24.38,63728.4687
2023-11-28 06:45:00,24.38,24.47,24.33,24.44,191635.475
2023-11-28 07:00:00,24.43,24.43,24.21,24.21,617477.0171
2023-11-28 07:15:00,24.3,24.38,24.17,24.38,122645.47339465
2023-11-28 07:30:00,24.38,24.39,24.31,24.39,102489.98656006
2023-11-28 07:45:00,24.35,24.58,24.35,24.58,1698394.37238934
2023-11-28 08:00:00,24.59,24.63,24.59,24.59,1569914.71277795
2023-11-28 08:15:00,24.59,24.72,24.58,24.72,922479.7389
2023-11-28 08:30:00,24.72,24.76,24.6,24.63,2113768.85089935
2023-11-28 08:45:00,24.7,24.81,24.64,24.77,595304.4473
2023-11-28 09:00:00,24.78,24.8,24.45,24.45,1644299.4834
2023-11-28 09:15:00,24.58,24.72,24.47,24.71,453242.4141
2023-11-28 09:30:00,24.71,24.79,24.66,24.71,982329.941
2023-11-28 09:45:00,24.71,24.8,24.63,24.63,778772.53599535
2023-11-28 10:00:00,24.7,24.7,24.5,24.66,1009842.73993122
2023-11-28 10:15:00,24.66,24.66,24.43,24.45,876535.494
2023-11-28 10:30:00,24.5,24.59,24.44,24.59,575946.1278
2023-11-28 10:45:00,24.56,24.59,24.46,24.48,270259.721
2023-11-28 11:00:00,24.46,24.46,24.24,24.29,1006958.5357
2023-11-28 11:15:00,24.33,24.45,24.29,24.44,333601.16551293
2023-11-28 11:30:00,24.44,24.53,24.37,24.53,486587.18597128
2023-11-28 11:45:00,24.56,24.57,24.5,24.51,509105.60347
2023-11-28 12:00:00,24.5,24.63,24.47,24.56,141946.85997447
2023-11-28 12:15:00,24.53,24.59,24.48,24.57,153465.00633287
2023-11-28 12:30:00,24.57,24.62,24.51,24.51,118284.8957
2023-11-28 12:45:00,24.52,24.52,24.39,24.45,182220.38621002
2023-11-28 13:00:00,24.47,24.52,24.37,24.52,223341.4732
