Date,Open,High,Low,Close,Volume
2023-08-15 22:45:00,259.3,261.1,245.0,246.0,4369721.97489102
2023-08-15 23:00:00,246.0,256.9,243.8,255.3,2471957.32953696
2023-08-15 23:15:00,255.3,265.3,253.1,257.0,1490331.77373272
2023-08-15 23:30:00,257.0,265.4,253.9,259.7,3498684.91479958
2023-08-15 23:45:00,258.2,259.7,255.5,256.2,855682.0705085
2023-08-16 00:00:00,257.1,257.1,252.0,256.0,1555116.6185314
2023-08-16 00:15:00,256.0,283.0,255.3,264.5,3820069.51089987
2023-08-16 00:30:00,264.6,264.6,255.1,256.2,1203545.3666604
2023-08-16 00:45:00,256.7,259.8,256.2,258.6,454216.0764438
2023-08-16 01:00:00,258.6,258.6,254.3,257.2,706398.63216584
2023-08-16 01:15:00,255.0,256.4,252.4,252.6,513009.1986
2023-08-16 01:30:00,252.6,255.4,245.1,245.2,2053248.90102139
2023-08-16 01:45:00,247.0,248.3,241.3,242.6,1756097.01674295
2023-08-16 02:00:00,242.6,246.5,240.2,246.5,1132728.33645729
2023-08-16 02:15:00,246.5,248.6,241.0,242.7,1049821.87671825
2023-08-16 02:30:00,241.6,247.7,241.4,246.4,381603.42235592
2023-08-16 02:45:00,244.2,251.9,242.8,247.4,696099.71387566
2023-08-16 03:00:00,246.0,247.8,244.1,246.3,127327.32333373
2023-08-16 03:15:00,246.2,246.2,244.6,245.0,346097.884
2023-08-16 03:30:00,244.7,246.9,244.0,246.9,61180.6992
2023-08-16 03:45:00,246.7,250.7,242.6,242.6,280092.15796817
2023-08-16 04:00:00,242.8,243.0,237.0,240.0,895128.62087284
2023-08-16 04:15:00,239.0,243.3,237.2,242.0,280202.1229
2023-08-16 04:30:00,242.0,243.0,238.2,238.9,134780.6339
2023-08-16 04:45:00,238.9,239.7,235.5,236.0,713532.26418918
2023-08-16 05:00:00,237.5,237.5,235.3,236.6,433211.22475195
2023-08-16 05:15:00,236.4,242.0,235.9,241.0,342831.58242569
2023-08-16 05:30:00,238.0,240.5,235.6,235.7,457300.0248
2023-08-16 05:45:00,237.5,237.5,230.0,230.6,1395610.4293
2023-08-16 06:00:00,230.6,234.9,229.1,229.6,389517.46181322
2023-08-16 06:15:00,229.1,238.3,229.0,230.7,757059.95731389
2023-08-16 06:30:00,230.7,243.0,230.6,235.0,487469.74395091
2023-08-16 06:45:00,235.5,237.5,230.1,230.3,1051926.13880971
2023-08-16 07:00:00,230.3,234.2,228.9,231.0,654588.19090514
2023-08-16 07:15:00,231.7,235.9,231.7,234.4,872863.9526638
2023-08-16 07:30:00,234.4,238.9,228.4,230.0,796619.43650811
2023-08-16 07:45:00,230.0,235.3,228.4,234.0,745426.90434342
2023-08-16 08:00:00,234.0,234.0,228.0,230.9,1476528.63391583
2023-08-16 08:15:00,229.9,232.7,229.2,231.3,1008510.58304198
2023-08-16 08:30:00,232.2,245.0,232.2,244.9,1311022.94024791
2023-08-16 08:45:00,243.2,246.7,238.0,243.2,1306240.90154745
2023-08-16 09:00:00,243.6,246.9,241.0,245.0,1710518.42349365
2023-08-16 09:15:00,245.0,263.0,245.0,261.3,2373919.32866757
2023-08-16 09:30:00,260.1,262.5,256.0,258.7,2001411.47644869
2023-08-16 09:45:00,260.8,260.9,246.5,259.5,1321466.54366485
2023-08-16 10:00:00,259.4,331.0,251.9,325.2,9668927.64019124
2023-08-16 10:15:00,325.5,429.5,325.4,406.7,13077876.97943809
2023-08-16 10:30:00,404.3,464.0,384.6,453.8,7110370.80471043
2023-08-16 10:45:00,453.8,799.9,451.4,667.2,13740941.92305463
2023-08-16 11:00:00,660.0,707.2,555.0,686.1,6341865.17739567
2023-08-16 11:15:00,685.0,741.8,670.0,708.8,4690553.77959402
2023-08-16 11:30:00,707.0,719.0,654.0,683.0,2521055.99196734
2023-08-16 11:45:00,683.0,693.0,640.4,660.2,1935409.44246653
2023-08-16 12:00:00,660.2,668.9,605.0,613.1,2605946.25531101
2023-08-16 12:15:00,615.0,675.0,611.6,649.7,3667056.39840992
2023-08-16 12:30:00,649.7,687.6,635.0,672.0,2456900.01448056
2023-08-16 12:45:00,676.8,685.9,650.0,658.0,2242739.66282479
2023-08-16 13:00:00,658.0,659.9,615.0,627.6,3540906.94473002
2023-08-16 13:15:00,627.6,642.3,555.7,575.9,5430535.27762416
2023-08-16 13:30:00,575.9,576.0,432.0,440.8,8063314.30189468
2023-08-16 13:45:00,440.8,478.7,413.0,429.9,4476987.80691525
2023-08-16 14:00:00,426.7,448.6,404.0,408.7,4796512.89845598
2023-08-16 14:15:00,408.7,410.0,368.1,380.0,5872861.91435721
2023-08-16 14:30:00,379.9,395.0,304.1,312.4,10219234.25960827
2023-08-16 14:45:00,312.5,322.1,295.0,303.2,8087878.53057042
2023-08-16 15:00:00,303.2,307.5,287.0,298.1,5334892.59231875
2023-08-16 15:15:00,297.7,303.0,293.9,295.7,3232702.92813444
2023-08-16 15:30:00,296.4,323.8,295.8,314.9,2862694.74785537
2023-08-16 15:45:00,314.9,324.4,300.9,303.6,2800244.31473372
2023-08-16 16:00:00,302.6,310.1,297.4,300.9,2010040.09895687
2023-08-16 16:15:00,300.9,301.0,292.8,297.1,1932842.71709856
2023-08-16 16:30:00,297.1,308.0,295.0,307.0,1295873.45445894
2023-08-16 16:45:00,306.8,312.7,304.3,311.0,1364941.68189331
2023-08-16 17:00:00,309.9,332.1,309.3,325.0,3941564.5254071
2023-08-16 17:15:00,325.0,359.4,323.6,357.7,4543445.33362916
2023-08-16 17:30:00,357.7,370.0,332.6,337.3,5229638.22548274
2023-08-16 17:45:00,337.3,350.0,334.7,338.2,1332207.38521064
2023-08-16 18:00:00,339.1,359.7,339.0,343.5,1404482.18583173
2023-08-16 18:15:00,343.6,350.0,338.7,345.5,1342405.87820114
2023-08-16 18:30:00,347.4,369.0,343.5,361.7,2028831.44052856
2023-08-16 18:45:00,360.8,364.5,350.0,357.0,1747892.53915236
2023-08-16 19:00:00,358.7,368.5,356.0,356.3,1413258.13537387
2023-08-16 19:15:00,356.3,363.0,356.0,359.0,647780.54639185
2023-08-16 19:30:00,359.0,364.8,357.5,360.0,1087226.55985777
2023-08-16 19:45:00,359.9,377.0,356.9,363.1,2513369.80559517
2023-08-16 20:00:00,362.9,366.9,360.0,361.8,1392496.73695394
2023-08-16 20:15:00,363.0,365.1,330.0,340.4,2636895.40536002
2023-08-16 20:30:00,340.9,350.2,333.0,333.1,2439635.07840565
2023-08-16 20:45:00,333.1,342.8,331.0,338.3,1159572.32959792
2023-08-16 21:00:00,338.4,343.0,313.3,321.3,2683189.25487642
2023-08-16 21:15:00,321.3,327.0,320.1,326.3,985286.49732507
2023-08-16 21:30:00,326.4,326.9,314.9,318.7,1113384.99329862
2023-08-16 21:45:00,317.0,324.0,308.2,309.1,1241928.91266276
2023-08-16 22:00:00,311.3,314.0,307.1,307.1,1069399.10564616
2023-08-16 22:15:00,307.0,310.9,299.1,305.2,1477502.04858527
2023-08-16 22:30:00,305.2,306.5,295.3,297.4,1678424.87310364
2023-08-16 22:45:00,297.3,303.0,296.0,297.9,1240661.69460265
2023-08-16 23:00:00,297.9,303.8,296.4,303.0,1114111.42772774
2023-08-16 23:15:00,300.8,310.0,300.8,308.8,1081376.12761197
2023-08-16 23:30:00,308.8,310.0,300.1,301.6,605637.30550972
2023-08-16 23:45:00,301.5,303.5,296.3,297.7,1013129.5758321
