date,open,high,low,close,volume
2024-01-01 09:00:00,131.0,132.0,130.5,131.5,2605601.356128
2024-01-01 09:15:00,131.5,131.5,131.0,131.5,1255765.6150478
2024-01-01 09:30:00,131.5,132.5,131.0,132.0,800329.7455418
2024-01-01 09:45:00,132.5,133.5,132.0,132.5,1949364.6134115
2024-01-01 10:00:00,133.0,133.5,132.5,133.0,588011.3882358
2024-01-01 10:15:00,133.0,133.5,132.5,132.5,544601.0133074
2024-01-01 10:30:00,133.0,133.0,131.5,133.0,1056077.4858149
2024-01-01 10:45:00,133.0,133.0,132.0,133.0,628455.8407356
2024-01-01 11:00:00,133.0,133.0,132.0,133.0,329956.1342852
2024-01-01 11:15:00,133.0,133.0,132.5,132.5,483705.8607173
2024-01-01 11:30:00,132.5,133.0,132.5,133.0,804474.7717513
2024-01-01 11:45:00,132.5,133.0,132.5,132.5,391059.9453054
2024-01-01 12:00:00,132.5,132.5,132.0,132.5,1119000.8811154
2024-01-01 12:15:00,132.5,132.5,132.0,132.0,303442.0020457
2024-01-01 12:30:00,132.0,132.5,131.5,131.5,1454143.1651892
2024-01-01 12:45:00,131.5,132.0,131.0,131.5,740838.0157373
2024-01-01 13:00:00,131.0,132.0,131.0,131.0,854611.6506341
2024-01-01 13:15:00,131.5,131.5,130.5,131.0,1640479.5529454
2024-01-01 13:30:00,131.0,131.5,130.5,131.5,249730.4825767
2024-01-01 13:45:00,131.5,132.0,131.0,132.0,348355.0313311
2024-01-01 14:00:00,132.0,132.5,131.5,132.5,286577.0863631
2024-01-01 14:15:00,132.0,132.5,131.5,132.0,730227.5233765
2024-01-01 14:30:00,132.0,132.0,131.0,131.5,452017.5586386
2024-01-01 14:45:00,131.5,131.5,131.0,131.0,663776.259793
2024-01-01 15:00:00,131.0,131.5,130.5,131.0,480365.8584709
2024-01-01 15:15:00,131.0,131.5,131.0,131.0,448972.0254005
2024-01-01 15:30:00,131.0,131.5,131.0,131.5,179406.400563
2024-01-01 15:45:00,131.0,131.5,130.5,131.5,1056196.3379734
2024-01-01 16:00:00,131.5,131.5,131.0,131.0,180601.4732506
2024-01-01 16:15:00,131.0,131.0,129.5,130.0,3684897.967928
2024-01-01 16:30:00,130.0,130.5,129.5,130.5,2238040.1749511
2024-01-01 16:45:00,130.5,130.5,130.0,130.0,478105.0351214
2024-01-01 17:00:00,130.0,130.0,129.5,130.0,1605454.0365588
2024-01-01 17:15:00,130.0,130.5,129.0,129.5,2217576.9743308
2024-01-01 17:30:00,129.5,129.5,128.5,129.0,901326.7341622
2024-01-01 17:45:00,129.0,130.0,129.0,130.0,754987.2042765
2024-01-01 18:00:00,130.0,130.0,129.5,129.5,364285.2820485
2024-01-01 18:15:00,129.5,129.5,129.0,129.0,906175.2449462
2024-01-01 18:30:00,129.0,130.0,129.0,129.0,661604.8973573
2024-01-01 18:45:00,129.0,130.0,129.0,129.5,479363.0367882
2024-01-01 19:00:00,130.0,130.0,129.5,130.0,255485.3889375
2024-01-01 19:15:00,130.0,130.0,130.0,130.0,747947.9940886
2024-01-01 19:30:00,130.0,130.5,129.5,130.0,138377.5815422
2024-01-01 19:45:00,130.5,130.5,130.0,130.5,205780.6151618
2024-01-01 20:00:00,130.5,131.0,130.0,130.5,366324.6727523
2024-01-01 20:15:00,130.5,130.5,129.5,130.0,740261.5300224
2024-01-01 20:30:00,130.0,130.0,129.0,129.0,862880.851727
2024-01-01 20:45:00,129.5,130.0,129.0,130.0,568913.0446953
2024-01-01 21:00:00,130.0,131.0,130.0,130.5,1083420.6129383
2024-01-01 21:15:00,131.0,131.5,130.0,131.5,1061745.6713817
2024-01-01 21:30:00,131.0,131.5,131.0,131.5,592196.1505236
2024-01-01 21:45:00,132.0,132.0,131.0,131.5,274714.1634827
2024-01-01 22:00:00,131.5,131.5,130.5,130.5,874316.397073
2024-01-01 22:15:00,131.0,132.5,131.0,132.0,920485.962996
2024-01-01 22:30:00,132.0,132.5,131.5,132.0,1303981.0220887
2024-01-01 22:45:00,132.0,132.0,131.5,132.0,159796.3320523
2024-01-01 23:00:00,132.0,132.0,131.0,131.5,374765.516543
2024-01-01 23:15:00,131.5,132.0,131.5,132.0,169908.3216472
2024-01-01 23:30:00,132.0,132.0,131.0,131.5,314725.188378
2024-01-01 23:45:00,131.5,131.5,131.0,131.5,76639.5218788
2024-01-02 00:00:00,131.5,131.5,130.5,131.0,492301.2120637
2024-01-02 00:15:00,130.5,131.0,130.5,131.0,931832.7169569
2024-01-02 00:30:00,130.5,131.0,130.0,130.5,354807.5117245
2024-01-02 00:45:00,130.5,131.5,130.5,131.5,170715.4518157
