Date,Open,High,Low,Close,Volume
2023-01-01 09:00:00,4.9,4.9,4.845,4.845,539784.9249061225
2023-01-01 10:00:00,4.899,4.899,4.851,4.851,18180.25962823025
2023-01-01 10:15:00,4.88,4.894,4.88,4.894,130000.0
2023-01-01 11:30:00,4.876,4.876,4.876,4.876,17123.5159
2023-01-01 12:15:00,4.852,4.877,4.844,4.844,323823.4015
2023-01-01 12:30:00,4.844,4.844,4.844,4.844,2743.4486
2023-01-01 12:45:00,4.847,4.876,4.847,4.876,31414.8751
2023-01-01 13:00:00,4.876,4.876,4.876,4.876,26978.6976
2023-01-01 14:15:00,4.869,4.869,4.869,4.869,950.3352
2023-01-01 14:30:00,4.85,4.869,4.843,4.869,200786.5045
2023-01-01 14:45:00,4.843,4.843,4.843,4.843,1056.1984
2023-01-01 15:00:00,4.868,4.869,4.868,4.868,59126.6474
2023-01-01 15:15:00,4.844,4.844,4.837,4.837,226140.5576
2023-01-01 15:30:00,4.833,4.833,4.822,4.822,41429.3651
2023-01-01 15:45:00,4.868,4.87,4.868,4.87,240718.2096
2023-01-01 16:00:00,4.883,4.883,4.883,4.883,151599.4083
2023-01-01 16:15:00,4.831,4.884,4.821,4.837,121747.4525
2023-01-01 16:30:00,4.837,4.837,4.837,4.837,16570.856
2023-01-01 16:45:00,4.84,4.85,4.84,4.85,123184.6416
2023-01-01 17:00:00,4.881,4.881,4.881,4.881,39856.9239
2023-01-01 17:15:00,4.879,4.879,4.879,4.879,6557.1189
2023-01-01 17:30:00,4.879,4.881,4.879,4.881,406733.6127
2023-01-01 17:45:00,4.852,4.881,4.85,4.881,1002.6069999795124
2023-01-01 18:00:00,4.846,4.846,4.846,4.846,2063.5576
2023-01-01 18:45:00,4.85,4.85,4.85,4.85,788677.3885
2023-01-01 19:30:00,4.88,4.881,4.88,4.881,1024505.1281
2023-01-01 19:45:00,4.85,4.88,4.85,4.88,218666.9295
2023-01-01 20:00:00,4.88,4.88,4.88,4.88,448607.6415
2023-01-01 20:15:00,4.88,4.88,4.88,4.88,138828.6855
2023-01-01 20:30:00,4.853,4.879,4.843,4.879,649032.8558
2023-01-01 20:45:00,4.845,4.879,4.845,4.879,2416.4592
2023-01-01 21:00:00,4.845,4.879,4.84,4.84,2401895.7674
2023-01-01 21:45:00,4.878,4.879,4.878,4.879,157480.3125
2023-01-01 22:30:00,4.836,4.837,4.836,4.836,190890.339
2023-01-01 22:45:00,4.877,4.877,4.833,4.833,1046556.8294
2023-01-01 23:00:00,4.877,4.878,4.877,4.878,68177.1094
2023-01-01 23:15:00,4.878,4.878,4.878,4.878,57564.6779500205
2023-01-01 23:30:00,4.878,4.996,4.878,4.996,491355.2132840566
2023-01-01 23:45:00,4.931,4.931,4.865,4.927,300478.6677389085
2023-01-02 00:00:00,4.865,4.93,4.845,4.929,636105.5461
2023-01-02 00:15:00,4.87,4.87,4.83,4.83,2314734.232062319
2023-01-02 00:30:00,4.821,4.841,4.819,4.84,489442.0332
2023-01-02 01:30:00,4.868,4.881,4.868,4.877,708169.7565
2023-01-02 01:45:00,4.877,4.93,4.877,4.93,341692.1916
2023-01-02 02:00:00,4.895,4.931,4.895,4.93,38365.8498
2023-01-02 02:15:00,4.884,4.884,4.865,4.865,318468.4558
2023-01-02 07:45:00,4.884,4.884,4.884,4.884,470925.471
2023-01-02 08:00:00,4.881,4.91,4.88,4.881,167963.4915
2023-01-02 08:15:00,4.91,4.937,4.91,4.937,168368.3402006887
2023-01-02 08:30:00,4.91,4.91,4.91,4.91,33740.4175
2023-01-02 08:45:00,4.936,4.937,4.936,4.937,142220.5426
2023-01-02 09:00:00,4.936,4.936,4.855,4.911,1617304.8111
2023-01-02 09:15:00,4.93,4.936,4.93,4.936,45000.0
2023-01-02 09:30:00,4.884,4.91,4.866,4.89,608469.8403
2023-01-02 09:45:00,4.865,4.865,4.865,4.865,21415.1262
2023-01-02 10:00:00,4.856,4.856,4.855,4.856,115688.3323
2023-01-02 10:15:00,4.855,4.886,4.855,4.886,130720.1854
2023-01-02 10:30:00,4.886,4.886,4.849,4.849,184730.8263
2023-01-02 11:15:00,4.879,4.913,4.8,4.894,1325061.3261
2023-01-02 11:30:00,4.906,4.906,4.906,4.906,20379.0504
2023-01-02 11:45:00,4.895,4.919,4.895,4.919,664189.4924
2023-01-02 12:00:00,4.909,4.919,4.909,4.919,398681.355246523
2023-01-02 12:45:00,4.851,4.914,4.836,4.836,594292.0171
2023-01-02 13:00:00,4.853,4.921,4.853,4.921,320551.3235
2023-01-02 13:45:00,4.872,4.873,4.872,4.872,190163.1976
2023-01-02 14:30:00,5.217,5.217,4.97,5.059,5946823.488076787
2023-01-02 14:45:00,5.1,5.204,5.081,5.166,548512.4771
2023-01-02 15:00:00,5.075,5.2,5.075,5.19,1230479.3257253845
2023-01-02 15:15:00,5.12,5.12,5.12,5.12,207.0
2023-01-02 15:30:00,5.121,5.121,5.08,5.08,732321.1759
2023-01-02 15:45:00,5.12,5.121,5.059,5.059,674423.0619
2023-01-02 16:00:00,5.059,5.059,5.001,5.005,414040.3224
2023-01-02 16:15:00,5.005,5.059,4.98,5.002,874947.7848
2023-01-02 16:30:00,5.058,5.086,5.058,5.086,727380.4194675187
2023-01-02 16:45:00,5.088,5.12,5.056,5.12,257879.9774
2023-01-02 17:00:00,5.089,5.089,4.991,5.061,124506.7959
2023-01-02 17:15:00,5.061,5.062,5.061,5.062,5926.9016069142635
2023-01-02 17:30:00,5.062,5.073,5.061,5.073,168671.24585345713
2023-01-02 17:45:00,5.087,5.087,5.087,5.087,1975.8941
2023-01-02 18:00:00,5.092,5.212,5.063,5.133,1244575.5723354567
2023-01-02 18:15:00,5.164,5.164,5.164,5.164,16239.9964
2023-01-02 18:30:00,5.167,5.167,5.09,5.12,448996.4553
