Date,Open,High,Low,Close,Volume
2022-01-01 09:00:00,7.63,7.645,7.57,7.572,554355.0283632439
2022-01-01 09:15:00,7.57,7.629,7.503,7.503,1389482.0163
2022-01-01 09:30:00,7.5,7.508,7.416,7.416,1276701.4678
2022-01-01 09:45:00,7.421,7.528,7.416,7.528,2169363.398081513
2022-01-01 10:00:00,7.524,7.529,7.44,7.527,157563.6477
2022-01-01 10:15:00,7.527,7.566,7.441,7.529,694405.9016529606
2022-01-01 10:30:00,7.5,7.529,7.472,7.529,1780742.4210727322
2022-01-01 10:45:00,7.529,7.529,7.472,7.472,170128.7587
2022-01-01 11:00:00,7.472,7.508,7.46,7.508,246248.6537
2022-01-01 11:15:00,7.461,7.507,7.461,7.507,66667.3949
2022-01-01 11:30:00,7.507,7.565,7.507,7.565,108249.48322460013
2022-01-01 11:45:00,7.565,7.629,7.51,7.629,331417.17713428044
2022-01-01 12:00:00,7.629,7.63,7.55,7.63,151057.7279
2022-01-01 12:15:00,7.583,7.63,7.57,7.619,142095.357865308
2022-01-01 12:30:00,7.619,7.62,7.583,7.583,660421.3543
2022-01-01 12:45:00,7.619,7.619,7.508,7.508,625574.8377
2022-01-01 13:00:00,7.546,7.558,7.546,7.558,99874.17246991268
2022-01-01 13:15:00,7.557,7.558,7.546,7.547,149600.4684
2022-01-01 13:30:00,7.558,7.65,7.558,7.65,1419456.8393226604
2022-01-01 13:45:00,7.65,7.65,7.583,7.583,1052032.6894
2022-01-01 14:00:00,7.65,7.672,7.65,7.67,405031.0646
2022-01-01 14:15:00,7.653,7.653,7.592,7.65,71258.6807875817
2022-01-01 14:30:00,7.67,7.67,7.67,7.67,70028.72659595827
2022-01-01 14:45:00,7.668,7.668,7.6,7.6,415852.8922
2022-01-01 15:00:00,7.649,7.649,7.649,7.649,1307.3605
2022-01-01 15:15:00,7.649,7.667,7.648,7.667,78811.346
2022-01-01 15:30:00,7.666,7.667,7.658,7.658,22707.3487
2022-01-01 15:45:00,7.655,7.655,7.623,7.623,199742.8101
2022-01-01 16:00:00,7.648,7.648,7.623,7.647,23677.10646941284
2022-01-01 16:15:00,7.623,7.647,7.531,7.639,895873.4759
2022-01-01 16:30:00,7.62,7.647,7.502,7.602,716205.8650704866
2022-01-01 16:45:00,7.601,7.603,7.57,7.57,96552.9434
2022-01-01 17:00:00,7.583,7.6,7.55,7.6,854943.978
2022-01-01 17:15:00,7.6,7.6,7.55,7.6,65985.4737
2022-01-01 17:30:00,7.599,7.599,7.573,7.599,161505.53006266613
2022-01-01 17:45:00,7.599,7.599,7.551,7.551,192995.45598105015
2022-01-01 18:00:00,7.551,7.599,7.551,7.599,80952.03986661402
2022-01-01 18:15:00,7.599,7.643,7.553,7.639,182918.6245896697
2022-01-01 18:30:00,7.639,7.655,7.553,7.553,623711.9049
2022-01-01 18:45:00,7.555,7.654,7.555,7.654,258811.1405
2022-01-01 19:00:00,7.654,7.712,7.654,7.658,1007179.6085688797
2022-01-01 19:15:00,7.712,7.712,7.659,7.712,153164.45199384078
2022-01-01 19:30:00,7.712,7.712,7.6,7.672,769034.9739
2022-01-01 19:45:00,7.672,7.8,7.672,7.8,1269214.5687413213
2022-01-01 20:00:00,7.8,7.826,7.602,7.678,1627895.9249409116
2022-01-01 20:15:00,7.71,7.814,7.68,7.793,1301150.046312065
2022-01-01 20:30:00,7.76,7.76,7.7,7.75,480783.4206
2022-01-01 20:45:00,7.76,7.787,7.705,7.705,128545.0079
2022-01-01 21:00:00,7.749,7.797,7.706,7.797,600635.3585
2022-01-01 21:15:00,7.797,7.797,7.75,7.794,1730140.5318
2022-01-01 21:30:00,7.753,7.794,7.752,7.752,204749.7413
2022-01-01 21:45:00,7.752,7.752,7.752,7.752,92426.6233
2022-01-01 22:00:00,7.792,7.792,7.678,7.678,342868.2709
2022-01-01 22:15:00,7.678,7.749,7.678,7.749,221063.185
2022-01-01 22:30:00,7.749,7.786,7.691,7.786,244562.9932095367
2022-01-01 22:45:00,7.786,7.794,7.786,7.793,79236.6731
2022-01-01 23:00:00,7.793,7.793,7.718,7.791,115873.0520552113
2022-01-01 23:15:00,7.783,7.783,7.717,7.783,419627.5634
2022-01-01 23:30:00,7.721,7.783,7.717,7.725,192991.5887
2022-01-01 23:45:00,7.725,7.783,7.7,7.7,570870.1928
2022-01-02 00:00:00,7.742,7.904,7.6,7.732,6461589.802324063
2022-01-02 00:15:00,7.672,7.739,7.603,7.739,592944.2595
2022-01-02 00:30:00,7.672,7.737,7.65,7.737,114894.5625
2022-01-02 00:45:00,7.71,7.739,7.655,7.71,1264968.3932
2022-01-02 01:00:00,7.71,7.71,7.709,7.709,59991.7887
2022-01-02 01:15:00,7.71,7.71,7.67,7.671,172582.79721997405
2022-01-02 01:30:00,7.709,7.78,7.671,7.78,460550.4360800259
2022-01-02 01:45:00,7.78,7.781,7.762,7.781,498432.5656
2022-01-02 02:00:00,7.781,7.799,7.778,7.799,732429.5134454161
2022-01-02 02:15:00,7.799,7.84,7.799,7.824,408393.17145458393
2022-01-02 02:30:00,7.824,7.824,7.61,7.61,1945317.3257
2022-01-02 02:45:00,7.617,7.68,7.617,7.617,631840.1962
2022-01-02 03:00:00,7.617,7.677,7.617,7.677,59744.45103167904
2022-01-02 03:15:00,7.677,7.71,7.677,7.71,406570.28426832095
2022-01-02 04:30:00,7.65,7.65,7.621,7.621,222573.5715
2022-01-02 04:45:00,7.639,7.639,7.608,7.608,521036.8634
2022-01-02 05:00:00,7.68,7.68,7.607,7.607,655.2084
2022-01-02 05:15:00,7.68,7.749,7.68,7.749,193409.5267
2022-01-02 05:30:00,7.749,7.749,7.749,7.749,200000.0
2022-01-02 06:15:00,7.669,7.669,7.663,7.663,186309.6167
2022-01-02 06:30:00,7.669,7.669,7.669,7.669,60655.74445773895
2022-01-02 06:45:00,7.669,7.669,7.665,7.665,110369.0586
2022-01-02 07:00:00,7.664,7.664,7.663,7.663,14311.6548
2022-01-02 07:15:00,7.663,7.669,7.65,7.65,65328.4739
2022-01-02 07:30:00,7.669,7.669,7.669,7.669,37240.86804226105
2022-01-02 07:45:00,7.7,7.709,7.651,7.709,132091.0078
2022-01-02 08:00:00,7.709,7.74,7.652,7.74,69503.5665
2022-01-02 08:15:00,7.742,7.75,7.742,7.75,98401.0909
2022-01-02 08:30:00,7.743,7.752,7.712,7.752,315436.159
2022-01-02 08:45:00,7.752,7.762,7.752,7.762,216931.2399
2022-01-02 09:00:00,7.78,7.824,7.713,7.76,218236.56020573876
2022-01-02 09:15:00,7.8,7.824,7.749,7.8,171365.6176351974
2022-01-02 09:30:00,7.787,7.801,7.787,7.8,895733.8265
2022-01-02 09:45:00,7.799,7.8,7.713,7.8,158640.1646
2022-01-02 10:00:00,7.8,7.8,7.721,7.8,200270.57336153847
2022-01-02 10:15:00,7.8,7.824,7.8,7.824,432850.70243846154
2022-01-02 10:30:00,7.824,7.84,7.824,7.834,2902169.2686667563
2022-01-02 10:45:00,7.834,7.834,7.771,7.826,183271.1477
2022-01-02 11:00:00,7.826,7.889,7.826,7.884,294675.62626090756
2022-01-02 11:15:00,7.884,7.884,7.814,7.882,52181.841
2022-01-02 11:30:00,7.814,7.866,7.713,7.86,1409976.4762
2022-01-02 11:45:00,7.81,7.85,7.713,7.752,102245.74330636943
2022-01-02 12:00:00,7.752,7.866,7.752,7.86,403930.9044
2022-01-02 12:15:00,7.85,7.866,7.72,7.856,825836.7680694268
2022-01-02 12:30:00,7.857,7.857,7.723,7.85,236600.2174108727
2022-01-02 12:45:00,7.849,7.85,7.8,7.8,160991.3497
2022-01-02 13:00:00,7.85,7.85,7.787,7.84,36729.9936
2022-01-02 13:15:00,7.83,7.88,7.83,7.88,1879007.9283594463
2022-01-02 13:30:00,7.872,7.88,7.86,7.88,299045.0978
2022-01-02 13:45:00,7.88,7.88,7.74,7.75,3352644.4074287047
2022-01-02 14:00:00,7.75,7.883,7.75,7.856,477366.4992933205
2022-01-02 14:15:00,7.852,7.883,7.7,7.883,2910339.522398617
2022-01-02 14:30:00,7.781,7.781,7.74,7.74,324022.88571002457
2022-01-02 14:45:00,7.74,7.748,7.695,7.748,620761.419
2022-01-02 15:00:00,7.748,7.748,7.7,7.748,156435.6471
2022-01-02 15:15:00,7.701,7.748,7.701,7.747,10680.1466
2022-01-02 15:30:00,7.747,7.748,7.695,7.748,440109.9321
2022-01-02 15:45:00,7.748,7.748,7.695,7.748,53302.4802
2022-01-02 16:00:00,7.695,7.748,7.695,7.748,117913.14155358802
2022-01-02 16:15:00,7.748,7.749,7.748,7.749,284009.15689253405
2022-01-02 16:30:00,7.749,7.749,7.687,7.695,417261.2935
2022-01-02 16:45:00,7.745,7.749,7.678,7.749,305360.53405367146
2022-01-02 17:00:00,7.749,7.75,7.68,7.687,288069.2
2022-01-02 17:15:00,7.68,7.687,7.655,7.687,1023646.2888
2022-01-02 17:30:00,7.687,7.709,7.66,7.709,823658.6784
2022-01-02 17:45:00,7.661,7.831,7.66,7.831,1445545.522
2022-01-02 18:00:00,7.831,7.841,7.813,7.813,145443.3609
2022-01-02 18:15:00,7.813,7.87,7.799,7.86,1010332.5165
2022-01-02 18:30:00,7.87,7.881,7.68,7.749,2135715.1919
2022-01-02 18:45:00,7.749,7.781,7.749,7.781,84297.8222
2022-01-02 19:00:00,7.781,7.8,7.749,7.8,1229670.7449
2022-01-02 19:15:00,7.75,7.8,7.684,7.787,266135.7341
2022-01-02 19:30:00,7.787,7.787,7.705,7.705,115241.9224601387
2022-01-02 19:45:00,7.749,7.749,7.705,7.74,547348.269
2022-01-02 20:00:00,7.745,7.745,7.687,7.705,370795.6274
2022-01-02 20:15:00,7.687,7.706,7.687,7.704,1020702.5491
2022-01-02 20:30:00,7.704,7.798,7.704,7.798,62826.3823
2022-01-02 20:45:00,7.798,7.812,7.73,7.73,437121.983
2022-01-02 21:00:00,7.73,7.749,7.71,7.71,79014.80477122209
2022-01-02 21:15:00,7.707,7.707,7.705,7.705,1919426.6393
2022-01-02 21:30:00,7.705,7.786,7.7,7.71,669494.4775146857
2022-01-02 21:45:00,7.749,7.787,7.749,7.787,81944.8102
2022-01-02 22:00:00,7.785,7.785,7.696,7.696,1079762.7991
2022-01-02 22:15:00,7.696,7.749,7.682,7.749,1526890.3068
2022-01-02 22:30:00,7.749,7.779,7.71,7.779,123154.8868
2022-01-02 22:45:00,7.779,7.78,7.712,7.779,421525.7
2022-01-02 23:00:00,7.779,7.779,7.713,7.779,1048059.0696832112
2022-01-02 23:15:00,7.779,7.78,7.713,7.779,480506.9914
2022-01-02 23:30:00,7.717,7.786,7.716,7.786,752572.0667227542
2022-01-02 23:45:00,7.781,7.787,7.781,7.787,222684.12943765713
2022-01-03 00:00:00,7.787,7.883,7.72,7.764,2506461.9505221997
2022-01-03 00:15:00,7.76,7.785,7.722,7.778,3164634.4796664226
2022-01-03 00:30:00,7.73,7.778,7.73,7.772,1135093.60655207
2022-01-03 00:45:00,7.767,7.768,7.73,7.765,589803.4051
2022-01-03 01:00:00,7.73,7.765,7.723,7.723,629068.2666
2022-01-03 01:15:00,7.722,7.76,7.716,7.76,1158322.6433
2022-01-03 01:30:00,7.717,7.764,7.717,7.764,354217.1178
2022-01-03 01:45:00,7.717,7.717,7.7,7.7,1935093.3942
2022-01-03 02:00:00,7.749,7.787,7.671,7.787,930903.2229318736
2022-01-03 02:15:00,7.786,7.787,7.749,7.786,170034.15465861722
2022-01-03 02:30:00,7.786,7.787,7.687,7.787,269931.86027495505
2022-01-03 02:45:00,7.714,7.787,7.687,7.787,16984.5576
2022-01-03 03:30:00,7.714,7.786,7.71,7.786,13428.3606
2022-01-03 03:45:00,7.71,7.786,7.687,7.781,18721.3048
2022-01-03 04:00:00,7.71,7.741,7.67,7.741,41753.7341
2022-01-03 05:00:00,7.71,7.8,7.71,7.8,1361959.0466617567
2022-01-03 05:15:00,7.81,7.88,7.81,7.88,483601.0213
2022-01-03 05:30:00,7.88,7.912,7.88,7.912,1361890.9948
2022-01-03 05:45:00,7.86,7.911,7.826,7.91,7052.868967635904
2022-01-03 06:00:00,7.909,7.911,7.908,7.911,162197.7029323641
2022-01-03 06:15:00,7.91,7.91,7.86,7.908,26694.538167635903
2022-01-03 06:30:00,7.908,7.908,7.908,7.908,46597.4883
2022-01-03 06:45:00,7.908,7.908,7.833,7.9,57970.6346
2022-01-03 07:00:00,7.833,7.865,7.785,7.865,468249.33313824324
2022-01-03 07:15:00,7.825,7.825,7.786,7.81,105271.1249
2022-01-03 07:30:00,7.81,7.897,7.81,7.812,147294.12305133595
2022-01-03 07:45:00,7.812,7.825,7.787,7.825,441269.3402
2022-01-03 08:00:00,7.788,7.825,7.788,7.825,324721.3612
2022-01-03 08:15:00,7.825,7.882,7.822,7.882,392293.9695651865
2022-01-03 08:30:00,7.882,7.883,7.77,7.883,304847.0385348135
2022-01-03 08:45:00,7.883,7.9,7.883,7.9,525008.9137349678
2022-01-03 09:00:00,7.895,7.895,7.76,7.883,573732.641
