date,open,high,low,close,volume
2024-01-01 09:00:00,63.4,63.5,62.8,63.2,2394576.52268161
2024-01-01 09:15:00,63.5,64.3,63.3,63.9,1703009.17242173
2024-01-01 09:30:00,63.9,64.5,63.9,64.4,1848159.84925085
2024-01-01 09:45:00,64.3,64.4,63.7,63.7,980823.8957689
2024-01-01 10:00:00,63.7,63.9,63.5,63.8,1335225.31819861
2024-01-01 10:15:00,63.8,64.1,63.6,63.9,374117.03832968
2024-01-01 10:30:00,63.8,64.2,63.5,64.2,919598.6455853
2024-01-01 10:45:00,64.2,64.4,64.2,64.4,377385.20397861
2024-01-01 11:00:00,64.2,64.4,64.2,64.3,329611.1680761
2024-01-01 11:15:00,64.3,64.5,64.2,64.4,1097877.77596595
2024-01-01 11:30:00,64.4,64.6,64.2,64.3,765114.2488065
2024-01-01 11:45:00,64.4,64.9,64.3,64.7,1350488.69337696
2024-01-01 12:00:00,64.7,65.4,64.7,65.1,4865102.78174682
2024-01-01 12:15:00,65.1,65.2,64.7,64.8,2081728.25569526
2024-01-01 12:30:00,64.7,64.7,64.3,64.4,1120311.49895385
2024-01-01 12:45:00,64.4,64.5,64.2,64.5,817158.54594895
2024-01-01 13:00:00,64.5,65.2,64.3,65.0,2753932.18065334
2024-01-01 13:15:00,65.0,65.3,64.5,64.8,2871191.73409998
2024-01-01 13:30:00,64.8,65.0,64.6,64.8,657113.57904088
2024-01-01 13:45:00,64.8,65.5,64.7,65.3,5293728.32953917
2024-01-01 14:00:00,65.2,65.4,64.9,64.9,719969.17884144
2024-01-01 14:15:00,64.9,65.0,64.6,64.8,734389.26903328
2024-01-01 14:30:00,64.8,65.1,64.7,64.8,999924.49850807
2024-01-01 14:45:00,64.7,64.8,64.1,64.4,1551358.25260271
2024-01-01 15:00:00,64.4,64.6,63.8,64.2,1599577.60565409
2024-01-01 15:15:00,64.1,65.2,64.1,65.0,1484439.08458986
2024-01-01 15:30:00,65.2,65.3,64.5,64.7,532182.96282579
2024-01-01 15:45:00,64.7,64.8,64.3,64.3,1231621.33828097
2024-01-01 16:00:00,64.4,64.5,64.3,64.5,326167.15824855
2024-01-01 16:15:00,64.5,64.7,64.2,64.3,916520.68553493
2024-01-01 16:30:00,64.3,64.6,64.2,64.6,417647.34478258
2024-01-01 16:45:00,64.6,65.3,64.6,65.2,1460335.51971109
2024-01-01 17:00:00,65.2,65.3,64.7,65.0,961810.71201274
2024-01-01 17:15:00,65.1,65.3,64.6,65.0,807644.74148494
2024-01-01 17:30:00,65.0,65.0,64.6,64.9,393178.51070443
2024-01-01 17:45:00,64.8,65.5,64.6,65.2,3029742.35112391
2024-01-01 18:00:00,65.2,65.4,64.8,64.8,987884.64108948
2024-01-01 18:15:00,64.9,65.3,64.9,64.9,1038746.97188353
2024-01-01 18:30:00,64.9,65.2,64.9,65.1,415886.10173889
2024-01-01 18:45:00,65.1,65.4,65.1,65.3,762269.52442917
2024-01-01 19:00:00,65.3,65.6,65.2,65.3,1459410.07437503
2024-01-01 19:15:00,65.3,65.4,65.1,65.3,937117.23749735
2024-01-01 19:30:00,65.3,65.3,65.0,65.0,643100.97329651
2024-01-01 19:45:00,65.0,65.1,64.7,65.1,650123.45113225
2024-01-01 20:00:00,65.1,65.6,65.1,65.2,945405.6765901
2024-01-01 20:15:00,65.2,65.2,65.0,65.1,384804.26259077
2024-01-01 20:30:00,65.1,65.3,64.9,65.0,528896.99710579
2024-01-01 20:45:00,65.0,65.2,64.8,65.1,954433.75880281
2024-01-01 21:00:00,65.1,65.2,64.6,64.7,1098748.49932258
2024-01-01 21:15:00,64.8,65.0,64.8,64.9,208561.00259726
2024-01-01 21:30:00,64.9,65.0,64.7,64.9,616052.87413447
2024-01-01 21:45:00,64.8,65.0,64.8,64.9,493379.1182774
2024-01-01 22:00:00,64.9,65.0,64.7,64.9,464798.57078124
2024-01-01 22:15:00,64.8,65.2,64.8,65.1,438805.97400724
2024-01-01 22:30:00,65.2,65.3,65.0,65.0,941987.36614999
2024-01-01 22:45:00,65.1,65.2,65.0,65.1,195901.05020102
2024-01-01 23:00:00,65.2,65.2,64.8,64.9,267096.26042877
2024-01-01 23:15:00,65.0,65.0,64.8,64.8,370390.37383012
2024-01-01 23:30:00,64.8,65.1,64.8,65.1,198105.46406578
2024-01-01 23:45:00,65.1,65.1,65.0,65.1,457675.4085688
2024-01-02 00:00:00,65.1,65.1,65.0,65.0,213189.73014611
2024-01-02 00:15:00,65.0,65.1,64.7,65.1,563613.08458133
2024-01-02 00:30:00,65.0,65.1,64.9,65.0,188903.84070521
2024-01-02 00:45:00,65.1,65.1,65.0,65.1,171363.29814574
2024-01-02 01:00:00,65.2,65.3,65.1,65.1,61454.2625015
2024-01-02 01:15:00,65.1,65.3,65.0,65.3,483900.40486128
2024-01-02 01:30:00,65.3,65.3,65.1,65.1,105425.80394336
2024-01-02 01:45:00,65.2,65.2,65.0,65.0,172564.48715843
2024-01-02 02:00:00,65.0,65.4,64.9,65.4,368749.00368326
2024-01-02 02:15:00,65.4,65.4,65.3,65.4,209951.38356117
2024-01-02 02:30:00,65.3,65.3,65.1,65.2,998720.20983707
2024-01-02 02:45:00,65.2,65.4,65.0,65.2,48872.5854059
2024-01-02 03:00:00,65.3,65.4,65.3,65.4,185755.15138498
2024-01-02 03:15:00,65.5,65.5,65.3,65.5,561382.286928
2024-01-02 03:30:00,65.4,65.7,65.3,65.7,1647489.38927477
2024-01-02 03:45:00,65.6,65.7,65.5,65.6,274479.34662516
2024-01-02 04:00:00,65.6,65.7,65.5,65.6,248189.5833276
2024-01-02 04:15:00,65.6,65.6,65.5,65.6,360509.12423659
2024-01-02 04:30:00,65.6,65.6,65.2,65.3,674046.42262395
2024-01-02 04:45:00,65.3,65.6,65.3,65.6,262487.06392236
2024-01-02 05:00:00,65.6,65.9,65.5,65.9,682795.72150452
2024-01-02 05:15:00,65.7,65.9,65.7,65.8,392847.69639423
2024-01-02 05:30:00,65.8,65.9,65.6,65.8,635416.05353186
2024-01-02 05:45:00,65.8,65.8,65.5,65.7,408812.50073415
2024-01-02 06:00:00,65.5,65.8,65.5,65.7,132553.487983
2024-01-02 06:15:00,65.7,65.8,65.5,65.5,186848.24286629
2024-01-02 06:30:00,65.5,65.6,65.5,65.6,70826.68869131
2024-01-02 06:45:00,65.6,65.8,65.2,65.3,559724.60799741
2024-01-02 07:00:00,65.2,65.6,64.9,65.5,626120.6884249
2024-01-02 07:15:00,65.5,65.5,65.4,65.5,119761.33329501
2024-01-02 07:30:00,65.5,65.5,65.3,65.3,617506.45997987
2024-01-02 07:45:00,65.4,65.6,65.3,65.6,454507.78415275
2024-01-02 08:00:00,65.7,65.7,65.3,65.4,202764.46552709
2024-01-02 08:15:00,65.5,65.9,65.5,65.7,884437.00212909
2024-01-02 08:30:00,65.7,65.8,65.5,65.6,536911.49187858
2024-01-02 08:45:00,65.7,65.7,65.4,65.6,635642.21885209
2024-01-02 09:00:00,65.5,65.5,64.8,65.2,3221511.79542655
2024-01-02 09:15:00,65.2,65.2,64.6,64.6,3583851.03695517
2024-01-02 09:30:00,64.6,65.2,64.6,65.0,2462212.92272926
2024-01-02 09:45:00,65.0,65.3,64.7,65.3,963991.21838537
2024-01-02 10:00:00,65.3,65.8,65.1,65.3,1657113.74930066
2024-01-02 10:15:00,65.5,65.5,65.1,65.3,695179.27314047
2024-01-02 10:30:00,65.3,65.6,65.2,65.4,287918.84129855
2024-01-02 10:45:00,65.4,65.8,65.2,65.7,949560.78828061
2024-01-02 11:00:00,65.7,65.8,65.5,65.7,272501.01205616
2024-01-02 11:15:00,65.7,65.8,65.2,65.7,926751.51079659
2024-01-02 11:30:00,65.7,65.8,65.5,65.6,800792.1804482
2024-01-02 11:45:00,65.6,65.7,65.4,65.5,753706.21873594
2024-01-02 12:00:00,65.6,65.7,65.4,65.5,521566.02240213
2024-01-02 12:15:00,65.6,65.6,65.4,65.5,323732.94958958
2024-01-02 12:30:00,65.6,65.7,65.5,65.6,858852.44045921
2024-01-02 12:45:00,65.6,65.8,65.6,65.8,624583.76941739
2024-01-02 13:00:00,65.8,65.9,65.7,65.8,536096.76605452
2024-01-02 13:15:00,65.8,65.9,65.8,65.9,384002.63188838
2024-01-02 13:30:00,65.9,65.9,65.3,65.5,1541701.04294739
2024-01-02 13:45:00,65.5,65.5,65.1,65.1,1187651.8212576
2024-01-02 14:00:00,65.3,65.6,65.2,65.6,577417.10031469
2024-01-02 14:15:00,65.6,66.3,65.5,66.0,1650502.13403701
2024-01-02 14:30:00,66.1,66.1,65.7,65.9,461692.13042623
2024-01-02 14:45:00,65.8,65.9,65.7,65.9,275921.26874057
2024-01-02 15:00:00,65.7,66.0,65.6,66.0,1159224.9341633
2024-01-02 15:15:00,66.0,66.3,66.0,66.0,953598.49173554
2024-01-02 15:30:00,66.0,66.0,65.5,65.7,509029.97874221
2024-01-02 15:45:00,65.7,65.7,65.4,65.4,1235950.95149555
2024-01-02 16:00:00,65.4,65.5,65.2,65.4,738822.43073173
2024-01-02 16:15:00,65.4,65.6,65.4,65.4,820000.67740899
2024-01-02 16:30:00,65.6,65.8,65.4,65.7,364398.48714521
2024-01-02 16:45:00,65.7,65.8,65.5,65.7,402236.13946838
2024-01-02 17:00:00,65.8,66.0,65.7,66.0,493347.65752235
2024-01-02 17:15:00,66.0,66.1,65.8,66.1,677196.56817669
2024-01-02 17:30:00,66.0,66.1,65.7,66.0,653508.38850406
2024-01-02 17:45:00,65.9,66.2,65.8,65.9,514464.81154826
2024-01-02 18:00:00,65.9,66.1,65.8,65.9,600120.2460802
2024-01-02 18:15:00,66.1,66.2,65.9,66.1,417800.43447177
2024-01-02 18:30:00,66.1,66.2,66.0,66.1,468198.45155896
2024-01-02 18:45:00,66.1,66.2,65.9,66.0,589970.99490109
2024-01-02 19:00:00,66.0,66.2,66.0,66.0,956477.07520643
2024-01-02 19:15:00,66.0,66.5,66.0,66.5,2303774.15175374
2024-01-02 19:30:00,66.5,66.7,66.4,66.7,1702440.18244699
2024-01-02 19:45:00,66.7,67.2,66.3,66.6,3585414.16231927
2024-01-02 20:00:00,66.8,67.1,66.7,66.9,1048575.48890819
2024-01-02 20:15:00,66.9,67.1,66.7,66.9,1082935.75378367
