Date,Open,High,Low,Close,Volume
2022-01-01 09:00:00,92.43,92.62,92.19,92.32,388166.72011017
2022-01-01 09:15:00,92.32,92.49,92.12,92.38,924447.21456552
2022-01-01 09:30:00,92.33,92.61,92.22,92.55,470814.90915603
2022-01-01 09:45:00,92.55,92.86,92.47,92.74,506428.28197704
2022-01-01 10:00:00,92.83,92.84,92.44,92.6,1192307.32742977
2022-01-01 10:15:00,92.65,92.81,92.62,92.71,449499.68595447
2022-01-01 10:30:00,92.79,92.97,92.7,92.79,760942.25043798
2022-01-01 10:45:00,92.71,92.79,92.61,92.64,492892.1178
2022-01-01 11:00:00,92.65,93.0,92.65,92.82,485726.10113167
2022-01-01 11:15:00,92.92,93.06,92.89,92.99,348901.41793955
2022-01-01 11:30:00,92.94,92.94,92.72,92.85,345563.3579
2022-01-01 11:45:00,92.8,93.01,92.78,92.91,351925.23195481
2022-01-01 12:00:00,92.9,92.9,92.64,92.72,685107.89
2022-01-01 12:15:00,92.7,93.02,92.7,92.82,786796.91665302
2022-01-01 12:30:00,92.72,92.85,92.64,92.72,335362.54790509
2022-01-01 12:45:00,92.74,93.0,92.73,92.87,269375.8794925
2022-01-01 13:00:00,92.83,92.98,92.44,92.57,740813.8683268
2022-01-01 13:15:00,92.5,92.55,92.25,92.4,996050.10276201
2022-01-01 13:30:00,92.48,92.61,92.32,92.48,514253.06584845
2022-01-01 13:45:00,92.57,92.7,92.53,92.68,327056.08054334
2022-01-01 14:00:00,92.7,92.84,92.61,92.72,260855.13623148
2022-01-01 14:15:00,92.6,93.14,92.55,93.11,701109.83936537
2022-01-01 14:30:00,93.12,93.3,92.86,93.01,403929.505098
2022-01-01 14:45:00,92.96,93.07,92.85,92.96,372897.5459
2022-01-01 15:00:00,92.91,93.19,92.91,93.18,508504.74867795
2022-01-01 15:15:00,93.16,93.23,92.99,93.13,1123895.35247294
2022-01-01 15:30:00,93.13,93.18,92.82,92.92,593392.78544729
2022-01-01 15:45:00,92.96,93.06,92.86,92.91,371984.68687637
2022-01-01 16:00:00,92.9,92.99,92.8,92.95,166156.46495865
2022-01-01 16:15:00,92.9,93.17,92.8,92.92,1211559.53358658
2022-01-01 16:30:00,92.9,93.1,92.84,93.1,434931.76970842
2022-01-01 16:45:00,93.05,93.19,92.99,93.07,437139.9651
2022-01-01 17:00:00,93.07,93.14,93.0,93.05,476303.80901783
2022-01-01 17:15:00,93.05,93.11,92.92,93.11,602693.25299511
2022-01-01 17:30:00,93.11,93.16,92.94,93.06,371227.06121658
2022-01-01 17:45:00,93.1,93.14,92.88,92.88,619224.44754412
2022-01-01 18:00:00,92.87,92.94,92.72,92.94,652193.29692832
2022-01-01 18:15:00,92.92,92.98,92.73,92.85,410494.27350899
2022-01-01 18:30:00,92.8,92.87,92.56,92.59,346720.27428223
2022-01-01 18:45:00,92.57,92.99,92.57,92.99,116053.07631076
2022-01-01 19:00:00,92.94,93.05,92.85,93.0,275009.07657159
2022-01-01 19:15:00,93.02,93.02,92.7,92.8,427116.57372781
2022-01-01 19:30:00,92.72,92.79,92.56,92.74,502676.60562985
2022-01-01 19:45:00,92.79,92.83,92.67,92.77,400791.50832161
2022-01-01 20:00:00,92.77,92.9,92.72,92.8,354099.94016561
2022-01-01 20:15:00,92.9,92.93,92.78,92.82,190368.42509177
2022-01-01 20:30:00,92.88,92.89,92.7,92.81,377222.73711306
2022-01-01 20:45:00,92.87,92.96,92.81,92.83,274759.84849979
2022-01-01 21:00:00,92.95,92.95,92.76,92.84,443247.18607538
2022-01-01 21:15:00,92.86,92.97,92.77,92.87,340918.22907005
2022-01-01 21:30:00,92.94,93.1,92.74,93.08,626168.29955832
2022-01-01 21:45:00,93.02,93.02,92.81,92.81,824386.81871241
2022-01-01 22:00:00,92.89,92.94,92.81,92.85,360837.29964581
2022-01-01 22:15:00,92.91,92.95,92.82,92.93,232383.97677652
2022-01-01 22:30:00,92.95,93.02,92.88,92.88,284120.35735676
2022-01-01 22:45:00,92.96,93.04,92.88,92.97,262576.78581054
2022-01-01 23:00:00,92.97,93.1,92.88,93.04,219002.22926181
2022-01-01 23:15:00,93.04,93.2,93.04,93.13,218858.44480086
2022-01-01 23:30:00,93.2,93.22,92.97,93.03,1085585.26117741
2022-01-01 23:45:00,93.14,93.14,92.99,93.02,391878.0982
2022-01-02 00:00:00,93.02,93.06,92.94,93.06,247703.7351
2022-01-02 00:15:00,93.06,93.2,92.92,93.13,351199.68473764
2022-01-02 00:30:00,93.11,93.4,93.08,93.4,1047737.51378365
2022-01-02 00:45:00,93.38,93.4,93.12,93.22,172056.27692691
2022-01-02 01:00:00,93.22,93.39,93.17,93.35,235348.97229309
2022-01-02 01:15:00,93.36,93.36,93.15,93.22,356816.3046596
2022-01-02 01:30:00,93.2,93.26,93.12,93.22,308816.3658
