Date,Open,High,Low,Close,Volume
2023-01-05 19:15:00,93.67,93.67,73.1,75.64,33598337.407064356
2023-01-05 19:30:00,75.64,78.44,64.8,67.98,28193463.701284315
2023-01-05 19:45:00,68.04,69.3,58.18,61.35,21577662.03441709
2023-01-05 20:00:00,61.12,65.95,59.39,63.84,12087551.54174327
2023-01-05 20:15:00,63.78,70.66,63.26,68.97,12026422.860764945
2023-01-05 20:30:00,69.29,72.71,68.14,68.99,8472408.588476412
2023-01-05 20:45:00,68.99,69.42,67.25,68.98,3826085.4932762436
2023-01-05 21:00:00,68.92,69.0,67.19,68.85,2488601.2303482117
2023-01-05 21:15:00,68.81,70.98,67.88,68.06,4541325.99750539
2023-01-05 21:30:00,68.27,69.55,68.01,68.95,1937484.6229095345
2023-01-05 21:45:00,68.95,71.39,68.7,70.74,5467916.157682727
2023-01-05 22:00:00,70.74,71.97,69.62,71.92,10849512.614928994
2023-01-05 22:15:00,71.97,73.2,70.0,71.99,29883172.862712994
2023-01-05 22:30:00,71.99,77.33,71.99,76.05,19712946.332940735
2023-01-05 22:45:00,76.05,77.66,75.19,76.33,54832698.008999966
2023-01-05 23:00:00,76.41,76.98,70.22,72.52,65177546.41760647
2023-01-05 23:15:00,72.12,74.48,71.38,72.67,108182684.59225696
2023-01-05 23:30:00,72.67,73.25,68.99,70.19,55727058.88338918
2023-01-05 23:45:00,70.31,71.13,69.01,69.7,73942676.99571276
2023-01-06 00:00:00,69.58,74.1,66.14,69.0,14507469.394710895
2023-01-06 00:15:00,69.0,71.3,67.7,69.74,4601602.512407335
2023-01-06 00:30:00,69.72,72.7,69.53,70.0,2565737.519735423
2023-01-06 00:45:00,70.0,72.69,69.63,72.52,2686719.3395380303
2023-01-06 01:00:00,72.52,74.19,71.25,74.0,66045818.03063484
2023-01-06 01:15:00,73.7,73.94,71.51,71.93,171305369.94491187
2023-01-06 01:30:00,71.93,72.5,70.31,71.42,23228987.358452518
2023-01-06 01:45:00,71.05,73.29,70.87,72.95,549085.8052
2023-01-06 02:00:00,72.89,72.91,71.53,72.24,213836.34922854236
2023-01-06 02:15:00,72.15,72.4,71.61,71.79,14690459.17856771
2023-01-06 02:30:00,71.79,72.25,70.89,70.94,158476882.51702735
2023-01-06 02:45:00,71.25,71.48,70.91,70.94,98363.1296
2023-01-06 03:00:00,70.96,71.7,70.95,70.98,29753.1114
2023-01-06 03:15:00,71.67,71.67,70.97,71.0,78962.86725077481
2023-01-06 03:30:00,71.0,72.99,70.92,72.99,221090.63058974466
2023-01-06 03:45:00,72.95,72.95,71.98,72.03,287093.3794622013
2023-01-06 04:00:00,72.06,72.67,71.98,72.65,210213.4618
2023-01-06 04:15:00,72.65,73.93,72.08,72.14,426166.8397376184
2023-01-06 04:30:00,73.41,73.41,72.02,73.03,196206.29116337505
2023-01-06 04:45:00,72.92,72.92,71.12,71.99,334589.16381357063
2023-01-06 05:00:00,71.99,72.01,70.9,71.01,787074.0035710322
2023-01-06 05:15:00,70.91,71.96,70.44,71.49,337581.21913247264
2023-01-06 05:30:00,71.5,71.53,70.9,70.91,380398.1815118412
2023-01-06 05:45:00,70.9,71.43,70.22,70.28,776015.6899225195
2023-01-06 06:00:00,70.22,70.22,65.27,67.05,3142523.2286612787
2023-01-06 06:15:00,67.27,68.63,66.58,68.39,762579.0862503233
2023-01-06 06:30:00,68.38,68.38,66.53,66.72,719793.441579374
2023-01-06 06:45:00,66.72,67.24,62.2,63.06,4345781.869085389
2023-01-06 07:00:00,63.42,64.0,62.46,63.22,1633110.4210402064
2023-01-06 07:15:00,62.78,63.88,61.47,62.81,2907438.556
2023-01-06 07:30:00,62.81,62.81,60.24,60.53,2758229.850208983
2023-01-06 07:45:00,60.53,62.83,58.3,58.62,5451687.250809513
2023-01-06 08:00:00,58.61,59.87,55.37,55.98,7057333.0258627925
2023-01-06 08:15:00,55.88,56.98,55.17,55.29,3107203.8259325796
2023-01-06 08:30:00,55.58,57.6,55.31,56.81,2131461.6031642505
2023-01-06 08:45:00,56.49,56.77,55.33,56.15,1571083.2387023582
2023-01-06 09:00:00,56.15,58.47,55.72,56.9,23426443.530361924
2023-01-06 09:15:00,56.89,57.42,55.45,55.93,69387232.22330214
2023-01-06 09:30:00,55.93,56.61,55.56,56.0,1060421.4877424703
2023-01-06 09:45:00,56.0,56.36,55.73,56.31,564319.7506
2023-01-06 10:00:00,56.31,56.5,55.81,56.42,287444.66969759087
2023-01-06 10:15:00,56.2,56.42,56.09,56.33,572512.7193
2023-01-06 10:30:00,56.37,56.39,51.44,52.71,8143814.241982304
2023-01-06 10:45:00,52.71,53.46,51.68,51.68,3715795.5265910164
2023-01-06 11:00:00,51.84,52.78,51.11,52.49,2218899.109933257
2023-01-06 11:15:00,52.5,52.99,52.0,52.0,1531970.810432013
2023-01-06 11:30:00,51.83,52.03,50.03,50.18,5077942.546207011
2023-01-06 11:45:00,50.48,50.84,47.77,48.76,4989022.654035668
2023-01-06 12:00:00,48.72,50.01,48.11,50.01,2881934.482293512
2023-01-06 12:15:00,50.1,50.3,49.2,49.65,1022878.9240644578
2023-01-06 12:30:00,49.67,50.38,49.67,50.0,987137.5854523056
2023-01-06 12:45:00,50.01,50.31,48.85,49.83,1225469.1545253491
2023-01-06 13:00:00,49.61,50.88,49.61,50.41,938738.8711163083
2023-01-06 13:15:00,50.41,50.79,50.35,50.63,568940.5303214965
2023-01-06 13:30:00,50.63,50.67,49.77,50.49,619852.0372753458
2023-01-06 13:45:00,50.5,52.29,50.5,51.45,1331571.9942739243
2023-01-06 14:00:00,51.46,52.15,50.6,51.33,456303.8505235294
2023-01-06 14:15:00,50.76,51.43,50.75,51.35,465296.0892976683
2023-01-06 14:30:00,51.36,52.7,51.15,51.69,1718601.9252262248
2023-01-06 14:45:00,51.31,51.71,50.71,51.06,683178.7000386887
2023-01-06 15:00:00,51.06,51.53,50.84,51.36,421072.5465
2023-01-06 15:15:00,51.36,51.42,51.01,51.2,35578554.517520316
2023-01-06 15:30:00,51.2,51.42,50.87,51.4,55859139.244986154
2023-01-06 15:45:00,51.41,52.0,51.16,51.76,287733.2016558732
2023-01-06 16:00:00,51.76,54.53,51.38,54.0,1772628.567553781
2023-01-06 16:15:00,54.0,54.97,53.02,53.02,2442565.4881462087
2023-01-06 16:30:00,53.03,54.09,52.41,53.8,1453824.4768385307
2023-01-06 16:45:00,53.77,54.86,52.81,53.9,773864.7605917974
2023-01-06 17:00:00,54.85,54.85,53.12,53.54,1125935.589558526
2023-01-06 17:15:00,53.26,54.85,53.04,54.69,922552.0811089715
2023-01-06 17:30:00,54.68,54.84,51.9,53.19,1480467.556426403
2023-01-06 17:45:00,53.17,53.2,52.28,53.01,1193271.975621525
2023-01-06 18:00:00,52.46,52.97,52.27,52.47,421463.6867566401
2023-01-06 18:15:00,52.68,53.82,52.45,53.0,682227.4519047498
2023-01-06 18:30:00,53.0,53.0,52.39,52.96,380400.26127187617
2023-01-06 18:45:00,52.96,52.97,50.71,51.04,1563470.5140428129
2023-01-06 19:00:00,50.88,52.0,50.5,50.54,1128205.2240413253
2023-01-06 19:15:00,50.54,51.02,50.03,50.84,1515998.3342741446
2023-01-06 19:30:00,50.35,50.9,49.16,49.83,2804578.75860164
2023-01-06 19:45:00,50.26,50.26,49.3,49.79,790874.8762
2023-01-06 20:00:00,49.8,51.0,49.79,50.6,667991.4056430499
2023-01-06 20:15:00,50.54,50.54,48.15,48.64,1900087.0406
2023-01-06 20:30:00,48.33,49.86,48.15,49.6,1129748.1635245837
