date,open,high,low,close,volume
2024-01-01 09:00:00,94.7,95.0,94.5,95.0,872590.68179251
2024-01-01 09:15:00,95.0,95.1,94.6,94.6,1314900.17459066
2024-01-01 09:30:00,94.6,95.1,94.6,94.9,489833.13790796
2024-01-01 09:45:00,94.9,95.0,94.8,94.8,365747.15913746
2024-01-01 10:00:00,94.8,94.9,94.5,94.7,877269.19296861
2024-01-01 10:15:00,94.7,94.9,94.7,94.7,351903.09177847
2024-01-01 10:30:00,94.8,95.0,94.6,95.0,767543.22856151
2024-01-01 10:45:00,95.0,95.0,94.8,94.8,483453.39240908
2024-01-01 11:00:00,94.7,94.8,94.1,94.6,1410028.33746251
2024-01-01 11:15:00,94.7,94.9,94.7,94.9,411171.94930637
2024-01-01 11:30:00,94.9,95.0,94.8,94.8,473683.35252736
2024-01-01 11:45:00,94.8,95.0,94.7,94.9,545779.78530569
2024-01-01 12:00:00,94.9,95.0,94.8,94.8,826970.97853675
2024-01-01 12:15:00,94.8,94.9,94.3,94.4,740977.2785046
2024-01-01 12:30:00,94.4,94.6,94.1,94.1,1024349.93029306
2024-01-01 12:45:00,94.1,94.2,93.8,94.1,813723.01880646
2024-01-01 13:00:00,94.1,94.5,93.8,93.9,1593754.25529765
2024-01-01 13:15:00,93.9,94.0,93.6,93.6,1185879.66635155
2024-01-01 13:30:00,93.9,94.0,93.6,93.8,497599.3743456
2024-01-01 13:45:00,93.7,93.8,93.6,93.8,323507.66599048
2024-01-01 14:00:00,93.8,94.0,93.7,93.9,164606.59988957
2024-01-01 14:15:00,93.9,94.0,93.7,94.0,231087.72383644
2024-01-01 14:30:00,93.9,93.9,93.7,93.7,798518.83663087
2024-01-01 14:45:00,93.7,93.9,93.2,93.3,1113149.06743405
2024-01-01 15:00:00,93.3,93.7,93.2,93.4,1373996.93575196
2024-01-01 15:15:00,93.4,93.6,93.4,93.6,554083.82798765
2024-01-01 15:30:00,93.4,93.7,93.4,93.5,326338.98367649
2024-01-01 15:45:00,93.6,93.6,93.3,93.5,361916.85760737
2024-01-01 16:00:00,93.5,93.8,93.4,93.5,348364.52901045
2024-01-01 16:15:00,93.7,93.7,93.3,93.5,758483.1203018
2024-01-01 16:30:00,93.5,93.7,93.4,93.5,688281.6576664
2024-01-01 16:45:00,93.5,93.5,93.3,93.3,264189.66013419
2024-01-01 17:00:00,93.5,94.1,93.3,93.8,630502.26853272
2024-01-01 17:15:00,93.8,93.9,93.6,93.7,176482.67257866
2024-01-01 17:30:00,93.7,93.9,93.7,93.7,262957.48223708
2024-01-01 17:45:00,93.7,93.9,93.7,93.9,162068.58668188
2024-01-01 18:00:00,93.8,93.9,93.8,93.9,161599.81270315
2024-01-01 18:15:00,93.8,93.9,93.7,93.8,163055.58246829
2024-01-01 18:30:00,93.7,93.8,93.6,93.8,671098.54313747
2024-01-01 18:45:00,93.8,93.9,93.7,93.8,460244.90965828
2024-01-01 19:00:00,93.9,94.2,93.8,94.1,840450.14530088
2024-01-01 19:15:00,94.2,94.2,93.9,94.1,310123.37733099
2024-01-01 19:30:00,94.1,94.1,93.9,94.0,270235.82524685
2024-01-01 19:45:00,94.0,94.2,94.0,94.2,352156.4554747
2024-01-01 20:00:00,94.1,94.3,94.1,94.2,625099.08028742
2024-01-01 20:15:00,94.2,94.3,94.1,94.3,205703.88588368
2024-01-01 20:30:00,94.1,94.3,94.0,94.2,277110.94359207
2024-01-01 20:45:00,94.3,94.9,94.2,94.9,953543.3607644
2024-01-01 21:00:00,94.9,95.0,94.8,95.0,804625.86477881
2024-01-01 21:15:00,95.0,95.3,94.9,95.3,619291.05984589
2024-01-01 21:30:00,95.3,95.4,95.1,95.4,1220948.3131513
2024-01-01 21:45:00,95.3,95.4,94.9,95.4,1071784.96312485
2024-01-01 22:00:00,95.3,95.4,94.6,94.9,664418.33385552
2024-01-01 22:15:00,94.9,95.3,94.9,95.1,184718.96090523
2024-01-01 22:30:00,95.1,95.2,94.6,94.9,749836.28776095
2024-01-01 22:45:00,94.9,95.1,94.9,95.1,164928.93003671
2024-01-01 23:00:00,95.1,95.2,94.6,94.7,309376.6975782
2024-01-01 23:15:00,94.7,94.8,94.6,94.7,98129.01685989
2024-01-01 23:30:00,94.7,94.7,94.5,94.7,223852.08036652
2024-01-01 23:45:00,94.7,94.7,94.1,94.4,541341.68427967
2024-01-02 00:00:00,94.5,94.7,94.3,94.7,220509.22867447
2024-01-02 00:15:00,94.6,95.0,94.5,95.0,433035.24561154
2024-01-02 00:30:00,94.9,94.9,94.5,94.9,683881.6676523
2024-01-02 00:45:00,95.0,95.1,94.9,94.9,609578.20177658
2024-01-02 01:00:00,94.7,95.2,94.7,95.1,524574.83187006
2024-01-02 01:15:00,95.1,95.2,94.9,94.9,581461.86258078
2024-01-02 01:30:00,94.9,95.1,94.8,95.1,650521.8481832
2024-01-02 01:45:00,95.1,95.2,94.9,94.9,293819.74032905
2024-01-02 02:00:00,94.9,95.1,94.8,95.1,28890.25374074
2024-01-02 02:15:00,95.1,95.1,95.0,95.0,59209.95896314
2024-01-02 02:30:00,95.0,95.2,95.0,95.2,94617.1387089
2024-01-02 02:45:00,95.2,95.3,94.9,95.3,1100152.56813948
2024-01-02 03:00:00,95.4,95.4,95.2,95.4,136823.26533296
2024-01-02 03:15:00,95.4,95.6,95.4,95.6,442145.01257588
2024-01-02 03:30:00,95.6,95.8,95.6,95.8,445018.73604225
2024-01-02 03:45:00,95.8,95.8,95.5,95.7,357248.58154233
2024-01-02 04:00:00,95.8,95.9,95.5,95.8,351393.59542093
2024-01-02 04:15:00,95.8,96.0,95.8,96.0,129807.77225889
2024-01-02 04:30:00,96.0,96.0,95.7,95.9,172585.76613235
2024-01-02 04:45:00,95.9,96.0,95.7,96.0,284506.41560611
2024-01-02 05:00:00,96.0,96.2,95.9,96.1,612416.11142373
2024-01-02 05:15:00,96.1,96.2,95.5,96.2,968044.41778773
2024-01-02 05:30:00,96.1,96.2,95.6,95.8,592290.55986645
2024-01-02 05:45:00,95.8,96.0,95.6,95.8,277077.34886663
2024-01-02 06:00:00,95.8,96.0,95.8,95.9,254456.82369885
2024-01-02 06:15:00,96.0,96.1,95.7,95.7,300428.94000908
2024-01-02 06:30:00,95.7,95.7,95.5,95.5,144792.14212835
2024-01-02 06:45:00,95.5,95.6,95.4,95.6,551569.7514167
2024-01-02 07:00:00,95.7,95.9,95.6,95.8,239750.06784078
2024-01-02 07:15:00,95.8,95.9,95.4,95.7,398141.71245203
2024-01-02 07:30:00,95.8,95.8,95.5,95.7,224426.98484111
2024-01-02 07:45:00,95.7,95.9,95.5,95.8,238434.52000988
2024-01-02 08:00:00,95.6,96.1,95.6,96.0,667300.73613057
2024-01-02 08:15:00,96.0,96.3,96.0,96.2,517758.47131443
2024-01-02 08:30:00,96.2,96.2,96.0,96.0,723702.1574148
2024-01-02 08:45:00,96.1,96.1,95.8,96.0,942813.13214353
2024-01-02 09:00:00,96.0,98.2,96.0,97.7,12754346.86456815
2024-01-02 09:15:00,97.7,98.2,97.2,97.9,9556908.62429432
2024-01-02 09:30:00,98.0,98.8,96.9,97.0,9282919.5322098
2024-01-02 09:45:00,97.1,97.9,96.9,97.9,1343044.8948363
2024-01-02 10:00:00,97.8,98.1,97.1,97.1,1766308.37460945
2024-01-02 10:15:00,97.1,97.5,96.9,97.3,1143337.33917857
2024-01-02 10:30:00,97.3,97.3,96.6,96.7,2660523.47097646
2024-01-02 10:45:00,96.8,96.8,96.2,96.7,2861757.69538105
2024-01-02 11:00:00,96.7,97.1,96.6,97.0,653803.25942641
2024-01-02 11:15:00,97.0,97.1,96.5,97.0,1586753.36503032
2024-01-02 11:30:00,97.0,97.3,96.8,97.3,772827.55529249
2024-01-02 11:45:00,97.3,97.4,97.1,97.2,579964.31932064
2024-01-02 12:00:00,97.2,97.3,96.5,96.7,1333809.70479094
