Date,Open,High,Low,Close,Volume
2022-01-01 09:00:00,19.52,19.52,19.52,19.52,56.1511
2022-01-01 09:15:00,19.51,19.57,19.48,19.48,35623.5188
2022-01-01 10:00:00,19.59,19.61,19.57,19.58,11021.2504
2022-01-01 10:15:00,19.57,19.58,19.55,19.58,31134.4198
2022-01-01 10:30:00,19.58,19.63,19.58,19.63,52359.0
2022-01-01 10:45:00,19.62,19.69,19.62,19.65,30670.7516
2022-01-01 11:00:00,19.65,19.65,19.65,19.65,3003.71294121
2022-01-01 11:15:00,19.65,19.93,19.64,19.8,82016.02535879
2022-01-01 11:30:00,19.92,19.98,19.86,19.97,63351.09589809
2022-01-01 12:30:00,19.78,19.92,19.78,19.78,44176.5349
2022-01-01 12:45:00,19.92,19.92,19.65,19.65,193612.9939759
2022-01-01 13:45:00,19.78,19.78,19.7,19.7,42776.4968
2022-01-01 14:00:00,19.7,19.7,19.66,19.66,141588.5067
2022-01-01 14:15:00,19.79,19.79,19.79,19.79,1000.0
2022-01-01 14:30:00,19.79,19.8,19.79,19.8,885.2657
2022-01-01 14:45:00,19.81,19.95,19.81,19.95,2838.0903
2022-01-01 15:00:00,19.95,19.95,19.86,19.86,10718.9872
2022-01-01 15:15:00,19.86,19.95,19.8,19.82,165417.0
2022-01-01 15:30:00,19.82,19.82,19.79,19.79,26363.2998
2022-01-01 15:45:00,19.72,19.72,19.72,19.72,20118.8397
2022-01-01 16:00:00,19.72,19.72,19.65,19.72,463677.71029362
2022-01-01 16:15:00,19.72,19.75,19.72,19.75,13871.8781
2022-01-01 17:00:00,19.76,19.77,19.76,19.77,44780.46269428
2022-01-01 17:15:00,19.77,19.77,19.5,19.5,179267.8422577
2022-01-01 17:30:00,19.5,19.53,19.5,19.52,130081.5364
2022-01-01 17:45:00,19.56,19.66,19.52,19.56,164317.62372188
2022-01-01 18:00:00,19.66,19.66,19.58,19.66,34749.8241
2022-01-01 18:15:00,19.67,19.69,19.59,19.69,63612.26551625
2022-01-01 18:30:00,19.7,19.7,19.52,19.52,245630.0638
2022-01-01 18:45:00,19.52,19.66,19.49,19.66,302284.7893
2022-01-01 19:00:00,19.66,19.66,19.66,19.66,5086.47
2022-01-01 19:15:00,19.55,19.66,19.55,19.66,90144.53478474
2022-01-01 19:30:00,19.65,19.7,19.63,19.7,199887.8156
2022-01-01 19:45:00,19.7,19.79,19.7,19.79,272822.1665
2022-01-01 20:00:00,19.8,19.97,19.8,19.97,319817.18432614
2022-01-01 20:15:00,19.86,19.96,19.85,19.96,103734.6827
2022-01-01 20:30:00,19.96,19.99,19.96,19.99,156562.9544
2022-01-01 20:45:00,20.0,20.05,20.0,20.05,52537.7479
2022-01-01 21:00:00,19.99,20.05,19.86,20.04,312747.4029
2022-01-01 21:15:00,20.0,20.0,20.0,20.0,11562.5945
2022-01-01 22:00:00,19.93,20.04,19.93,20.04,67038.30376626
2022-01-01 22:15:00,20.04,20.05,19.96,20.05,164133.44893374
2022-01-01 22:30:00,20.05,20.05,19.93,19.96,187988.09715969
2022-01-01 22:45:00,19.96,20.0,19.95,20.0,75754.6051
2022-01-01 23:00:00,19.99,20.04,19.94,20.04,38567.790496
2022-01-01 23:15:00,19.94,19.94,19.88,19.88,286921.6374
2022-01-01 23:30:00,20.03,20.03,20.03,20.03,8767.659
2022-01-01 23:45:00,20.03,20.33,20.03,20.29,417494.3957526
2022-01-02 00:00:00,20.27,20.27,20.0,20.1,324738.7108
