Date,Open,High,Low,Close,Volume
2023-10-16 19:15:00,27.29,27.94,23.68,24.34,83162481.6753532
2023-10-16 19:30:00,24.34,26.39,23.63,24.34,40335253.63731297
2023-10-16 19:45:00,24.4,26.47,24.4,25.69,23986271.254076015
2023-10-16 20:00:00,25.88,26.78,25.51,25.91,15494972.549104435
2023-10-16 20:15:00,26.0,26.76,25.75,26.21,12419264.212252654
2023-10-16 20:30:00,26.26,26.26,24.66,25.31,15303510.629818967
2023-10-16 20:45:00,25.31,27.55,25.04,27.49,15106107.980317047
2023-10-16 21:00:00,27.49,28.88,26.97,28.69,44423562.77233225
2023-10-16 21:15:00,28.69,29.68,26.5,26.82,40360359.097183935
2023-10-16 21:30:00,26.82,27.02,25.35,26.15,18608977.940955233
2023-10-16 21:45:00,26.15,26.89,26.13,26.65,12187402.9130406
2023-10-16 22:00:00,26.65,26.8,25.56,25.82,6815677.182241576
2023-10-16 22:15:00,25.82,26.5,24.82,24.88,11161493.941661162
2023-10-16 22:30:00,24.87,25.02,24.12,24.83,17322420.341162484
2023-10-16 22:45:00,24.98,25.76,24.61,25.36,10000080.169383593
2023-10-16 23:00:00,25.14,25.7,24.67,25.26,9882036.647470893
2023-10-16 23:15:00,25.3,25.59,24.81,24.85,5442887.8560671965
2023-10-16 23:30:00,25.04,25.74,24.85,25.45,3509803.6182626938
2023-10-16 23:45:00,25.45,25.51,24.96,25.04,5527971.630132443
2023-10-17 00:00:00,25.02,25.97,23.03,23.57,33267437.56938901
2023-10-17 00:15:00,23.68,23.95,22.0,22.44,28063262.89010807
2023-10-17 00:30:00,22.44,23.5,22.31,22.99,9614856.532816185
2023-10-17 00:45:00,23.0,23.68,22.98,23.2,2482818.074568672
2023-10-17 01:00:00,23.3,23.35,22.5,22.76,3571658.3088423153
2023-10-17 01:15:00,22.75,23.28,22.56,22.86,2941744.0332839815
2023-10-17 01:30:00,22.86,23.14,22.62,23.09,1868937.9216053463
2023-10-17 01:45:00,23.09,23.09,21.58,21.63,6356398.768024377
2023-10-17 02:00:00,21.8,22.0,20.53,21.29,11021557.126862235
2023-10-17 02:15:00,21.23,21.23,20.57,20.69,7281086.165648015
2023-10-17 02:30:00,20.73,20.83,19.61,19.86,18123873.43356114
2023-10-17 02:45:00,19.9,20.43,19.8,20.3,3812703.3102618684
2023-10-17 03:00:00,20.35,20.97,20.25,20.57,4065381.2429850483
2023-10-17 03:15:00,20.57,20.79,20.3,20.67,1578591.2542133203
2023-10-17 03:30:00,20.5,20.63,20.0,20.31,2504596.7647516634
2023-10-17 03:45:00,20.27,20.79,20.12,20.3,2009105.087
2023-10-17 04:00:00,20.5,20.55,20.0,20.34,1641294.8713
2023-10-17 04:15:00,20.26,20.34,19.84,19.84,2936159.4175016717
2023-10-17 04:30:00,19.87,20.1,19.68,20.1,1725400.5829308457
2023-10-17 04:45:00,20.05,20.1,19.65,19.73,1751341.04318309
2023-10-17 05:00:00,19.72,20.19,19.66,19.88,1737136.3569680606
2023-10-17 05:15:00,20.11,20.81,19.84,20.55,1373280.9650014667
2023-10-17 05:30:00,20.63,20.73,20.04,20.26,1537221.1906562443
2023-10-17 05:45:00,20.16,20.47,20.1,20.47,956031.3184956069
2023-10-17 06:00:00,20.47,20.59,20.18,20.3,1026584.6463566294
2023-10-17 06:15:00,20.31,20.79,20.31,20.78,2728086.239942694
2023-10-17 06:30:00,20.78,21.9,20.7,21.7,5728061.030750442
2023-10-17 06:45:00,21.7,21.92,21.46,21.91,1938812.676955825
2023-10-17 07:00:00,21.91,22.69,20.97,21.47,6778427.158686888
2023-10-17 07:15:00,21.28,21.68,21.06,21.34,2053290.547149178
2023-10-17 07:30:00,21.34,21.68,20.91,21.22,2972176.321470698
2023-10-17 07:45:00,21.19,21.22,20.75,21.2,4236160.823673181
2023-10-17 08:00:00,21.19,21.21,20.5,20.75,3274166.1257710424
2023-10-17 08:15:00,20.75,20.83,20.45,20.79,3571323.7757864734
